from,to,author,subject_l2,subject_l1,master_id,title,volume,year_start,year_end,time_window,subject_weight,subject_raw
A_1,S_1,"Edkins, J.",Buddhism,Religion and Philosophy,MASTER_00001,"A Buddhist Shastra , Translated from the Chinese",OS 1 Part 1,1858,1858,1858-1867,1.0,Buddhism
A_2,S_2,"Wylie, A.",Numismatics,Arts and Archaeology,MASTER_00002,Coins of the Ta - ts'ing or present dynasty of China *,OS 1 Part 1,1858,1858,1858-1867,1.0,coinage
A_3,S_3,"Macgowan, D. J.",Ethnology,Anthropology and Social Customs,MASTER_00003,Contribution to the ethnology of Eastern Asia,OS 1 Part 1,1858,1858,1858-1867,0.5,ethnology and anthropology
A_3,S_4,"Macgowan, D. J.",Anthropology,Anthropology and Social Customs,MASTER_00003,Contribution to the ethnology of Eastern Asia,OS 1 Part 1,1858,1858,1858-1867,0.5,ethnology and anthropology
A_4,S_5,"Nicolson, F. W.",Meteorology,Natural Sciences,MASTER_00004,"On Cyclones , or the Law of Storms",OS 1 Part 1,1858,1858,1858-1867,1.0,meteorology
A_5,S_6,"Foote, A. H.",Travel,Geography and Travel,MASTER_00005,Visit to Simoda and Hakodadi in Japan,OS 1 Part 1,1858,1858,1858-1867,1.0,travel and general descriptions
A_3,S_7,"Macgowan, D. J.",Language and languages,Literature and Language,MASTER_00006,Chinese bibliography,OS 1 Part 2,1859,1859,1858-1867,1.0,literature and language
A_6,S_5,"Shadwell, C. F. A.",Meteorology,Natural Sciences,MASTER_00007,Memorandum on the present state of some of the magnetic elements in china and palces adjacent,OS 1 Part 2,1859,1859,1858-1867,1.0,meteorology
A_7,S_8,"Syle, E. W.",Music,Arts and Archaeology,MASTER_00008,On the Musical Notation of the Chinese,OS 1 Part 2,1859,1859,1858-1867,1.0,music
A_1,S_9,"Edkins, J.",Philosophy,Religion and Philosophy,MASTER_00009,Notices of the character and writings of Meh tsi,OS 1 Part 2,1859,1859,1858-1867,1.0,philosophy
A_8,S_10,"Ward, J.",Hydrology,Natural Sciences,MASTER_00010,"Sailing directions for the Yang - tsze Kiang, from Woosung to Hankow",OS 1 Part 2,1859,1859,1858-1867,1.0,hydrology
A_9,S_11,"Pompe van Meedervoort, J. L. C.",Education,Education,MASTER_00011,On the Study of the Natural Sciences in Japan,OS 1 Part 2,1859,1859,1858-1867,1.0,education
