time_window,subject_l1,weighted_article_count,article_count,subject_l2_count,author_count,share
1858-1867,Anthropology and Social Customs,6.0,6,3,6,0.0714285714285714
1858-1867,Arts and Archaeology,5.0,5,5,4,0.0595238095238095
1858-1867,Education,1.0,1,1,1,0.0119047619047619
1858-1867,Geography and Travel,13.0,13,1,11,0.1547619047619047
1858-1867,History and Chronology,9.0,9,3,6,0.1071428571428571
1858-1867,Literature and Language,4.0,4,1,4,0.0476190476190476
1858-1867,Natural Sciences,36.0,36,9,26,0.4285714285714285
1858-1867,"Politics, Government, and Law",2.0,2,1,2,0.0238095238095238
1858-1867,Religion and Philosophy,8.0,8,4,6,0.0952380952380952
1868-1877,Anthropology and Social Customs,10.0,10,3,9,0.1515151515151515
1868-1877,Arts and Archaeology,7.0,7,3,7,0.106060606060606
1868-1877,"Economy, Trade, and Technology",2.0,2,1,1,0.0303030303030303
1868-1877,Education,1.0,1,1,1,0.0151515151515151
1868-1877,Geography and Travel,5.0,5,2,5,0.0757575757575757
1868-1877,History and Chronology,16.0,16,4,11,0.2424242424242424
1868-1877,Literature and Language,2.0,2,1,2,0.0303030303030303
1868-1877,Military,0.5,1,1,1,0.0075757575757575
1868-1877,Natural Sciences,17.5,18,7,13,0.2651515151515151
1868-1877,Religion and Philosophy,5.0,5,3,5,0.0757575757575757
1878-1887,Anthropology and Social Customs,6.0,6,3,3,0.072289156626506
1878-1887,Arts and Archaeology,6.0,6,4,6,0.072289156626506
1878-1887,"Economy, Trade, and Technology",3.0,3,2,3,0.036144578313253
1878-1887,Education,1.0,1,1,1,0.0120481927710843
1878-1887,Geography and Travel,16.0,16,2,11,0.1927710843373494
1878-1887,History and Chronology,6.0,6,3,5,0.072289156626506
1878-1887,Literature and Language,16.0,16,2,10,0.1927710843373494
1878-1887,Military,0.5,1,1,1,0.0060240963855421
1878-1887,Natural Sciences,19.5,20,8,14,0.2349397590361445
1878-1887,"Politics, Government, and Law",4.0,4,2,2,0.0481927710843373
1878-1887,Religion and Philosophy,5.0,5,4,5,0.0602409638554216
1888-1897,Anthropology and Social Customs,6.0,6,2,4,0.125
1888-1897,Arts and Archaeology,7.0,7,2,7,0.1458333333333333
1888-1897,"Economy, Trade, and Technology",7.0,7,2,4,0.1458333333333333
1888-1897,Geography and Travel,3.0,3,2,3,0.0625
1888-1897,History and Chronology,8.0,8,1,8,0.1666666666666666
1888-1897,Literature and Language,2.0,2,1,1,0.0416666666666666
1888-1897,Natural Sciences,9.0,9,5,7,0.1875
1888-1897,"Politics, Government, and Law",2.0,2,2,2,0.0416666666666666
1888-1897,Religion and Philosophy,4.0,4,4,4,0.0833333333333333
1898-1907,Anthropology and Social Customs,9.0,9,4,6,0.25
1898-1907,Arts and Archaeology,3.0,3,2,3,0.0833333333333333
1898-1907,"Economy, Trade, and Technology",2.0,2,1,2,0.0555555555555555
1898-1907,Geography and Travel,3.0,3,1,3,0.0833333333333333
1898-1907,History and Chronology,4.0,4,2,4,0.1111111111111111
1898-1907,Natural Sciences,5.0,5,3,4,0.1388888888888889
1898-1907,"Politics, Government, and Law",4.0,4,2,4,0.1111111111111111
1898-1907,Religion and Philosophy,6.0,6,4,6,0.1666666666666666
1908-1917,Anthropology and Social Customs,6.0,6,3,4,0.0821917808219178
1908-1917,Arts and Archaeology,23.5,24,10,12,0.3219178082191781
1908-1917,Geography and Travel,2.0,2,1,2,0.0273972602739726
1908-1917,History and Chronology,5.0,5,3,5,0.0684931506849315
1908-1917,Literature and Language,8.0,8,2,6,0.1095890410958904
1908-1917,Natural Sciences,13.0,13,6,10,0.1780821917808219
1908-1917,"Politics, Government, and Law",2.0,2,1,2,0.0273972602739726
1908-1917,Religion and Philosophy,13.5,14,6,9,0.184931506849315
1918-1927,Anthropology and Social Customs,16.0,16,3,15,0.125
1918-1927,Arts and Archaeology,10.0,10,4,7,0.078125
1918-1927,Geography and Travel,15.0,15,3,13,0.1171875
1918-1927,History and Chronology,6.0,6,3,5,0.046875
1918-1927,Literature and Language,21.0,21,2,13,0.1640625
1918-1927,Natural Sciences,32.0,32,6,19,0.25
1918-1927,"Politics, Government, and Law",1.0,1,1,1,0.0078125
1918-1927,Religion and Philosophy,27.0,27,7,19,0.2109375
1928-1937,Anthropology and Social Customs,6.0,6,3,6,0.0571428571428571
1928-1937,Arts and Archaeology,18.0,18,6,12,0.1714285714285714
1928-1937,"Economy, Trade, and Technology",3.0,3,1,3,0.0285714285714285
1928-1937,Education,1.0,1,1,1,0.0095238095238095
1928-1937,Geography and Travel,15.0,15,3,13,0.1428571428571428
1928-1937,History and Chronology,12.0,12,5,10,0.1142857142857142
1928-1937,Literature and Language,14.0,14,3,13,0.1333333333333333
1928-1937,Natural Sciences,11.0,11,7,10,0.1047619047619047
1928-1937,"Politics, Government, and Law",2.0,2,2,2,0.019047619047619
1928-1937,Religion and Philosophy,23.0,23,7,18,0.219047619047619
1938-1948,Anthropology and Social Customs,3.0,3,1,3,0.0967741935483871
1938-1948,Arts and Archaeology,5.0,5,1,5,0.1612903225806451
1938-1948,"Economy, Trade, and Technology",1.0,1,1,1,0.032258064516129
1938-1948,Geography and Travel,1.0,1,1,1,0.032258064516129
1938-1948,History and Chronology,3.0,3,1,3,0.0967741935483871
1938-1948,Literature and Language,5.0,5,2,5,0.1612903225806451
1938-1948,Natural Sciences,5.0,5,3,3,0.1612903225806451
1938-1948,"Politics, Government, and Law",1.0,1,1,1,0.032258064516129
1938-1948,Religion and Philosophy,7.0,7,2,7,0.2258064516129032
