time_window,subject_l1,subject_l2,weighted_article_count,article_count,author_count,share
1858-1867,Anthropology and Social Customs,Ethnology,2.0,2,2,0.0238095238095238
1858-1867,Anthropology and Social Customs,Manners and customs,2.0,2,2,0.0238095238095238
1858-1867,Anthropology and Social Customs,Mythology,2.0,2,2,0.0238095238095238
1858-1867,Arts and Archaeology,Antiquities,1.0,1,1,0.0119047619047619
1858-1867,Arts and Archaeology,Archaeology,1.0,1,1,0.0119047619047619
1858-1867,Arts and Archaeology,Architecture,1.0,1,1,0.0119047619047619
1858-1867,Arts and Archaeology,Music,1.0,1,1,0.0119047619047619
1858-1867,Arts and Archaeology,Numismatics,1.0,1,1,0.0119047619047619
1858-1867,Education,Education,1.0,1,1,0.0119047619047619
1858-1867,Geography and Travel,Travel,13.0,13,11,0.1547619047619047
1858-1867,History and Chronology,"Chronology, Historical",1.0,1,1,0.0119047619047619
1858-1867,History and Chronology,History,2.0,2,1,0.0238095238095238
1858-1867,History and Chronology,"History, Modern (20th century)",6.0,6,5,0.0714285714285714
1858-1867,Literature and Language,Literature,4.0,4,4,0.0476190476190476
1858-1867,Natural Sciences,Agriculture,5.0,5,4,0.0595238095238095
1858-1867,Natural Sciences,Astronomy,3.0,3,2,0.0357142857142857
1858-1867,Natural Sciences,Botany,1.0,1,1,0.0119047619047619
1858-1867,Natural Sciences,Chemistry,1.0,1,1,0.0119047619047619
1858-1867,Natural Sciences,Geology,6.0,6,5,0.0714285714285714
1858-1867,Natural Sciences,Hydrology,5.0,5,5,0.0595238095238095
1858-1867,Natural Sciences,Medicine,1.0,1,1,0.0119047619047619
1858-1867,Natural Sciences,Meteorology,9.0,9,7,0.1071428571428571
1858-1867,Natural Sciences,Zoology,5.0,5,3,0.0595238095238095
1858-1867,"Politics, Government, and Law",Law,2.0,2,2,0.0238095238095238
1858-1867,Religion and Philosophy,Buddhism,2.0,2,2,0.0238095238095238
1858-1867,Religion and Philosophy,Christianity,3.0,3,3,0.0357142857142857
1858-1867,Religion and Philosophy,Confucianism,1.0,1,1,0.0119047619047619
1858-1867,Religion and Philosophy,Philosophy,2.0,2,2,0.0238095238095238
1868-1877,Anthropology and Social Customs,Ethnology,5.0,5,5,0.0757575757575757
1868-1877,Anthropology and Social Customs,Manners and customs,3.0,3,3,0.0454545454545454
1868-1877,Anthropology and Social Customs,Mythology,2.0,2,2,0.0303030303030303
1868-1877,Arts and Archaeology,Antiquities,2.0,2,2,0.0303030303030303
1868-1877,Arts and Archaeology,Archaeology,2.0,2,2,0.0303030303030303
1868-1877,Arts and Archaeology,Music,3.0,3,3,0.0454545454545454
1868-1877,"Economy, Trade, and Technology",Economics,2.0,2,1,0.0303030303030303
1868-1877,Education,Education,1.0,1,1,0.0151515151515151
1868-1877,Geography and Travel,Geography,1.0,1,1,0.0151515151515151
1868-1877,Geography and Travel,Travel,4.0,4,4,0.0606060606060606
1868-1877,History and Chronology,Biography,2.0,2,2,0.0303030303030303
1868-1877,History and Chronology,History,5.5,6,6,0.0833333333333333
1868-1877,History and Chronology,"History, Ancient",0.5,1,1,0.0075757575757575
1868-1877,History and Chronology,"History, Modern (20th century)",8.0,8,5,0.1212121212121212
1868-1877,Literature and Language,Literature,2.0,2,2,0.0303030303030303
1868-1877,Military,Military art and science,0.5,1,1,0.0075757575757575
1868-1877,Natural Sciences,Agriculture,2.0,2,1,0.0303030303030303
1868-1877,Natural Sciences,Geology,4.0,4,3,0.0606060606060606
1868-1877,Natural Sciences,Hydrology,1.0,1,1,0.0151515151515151
1868-1877,Natural Sciences,Medicine,3.0,3,1,0.0454545454545454
1868-1877,Natural Sciences,Meteorology,4.0,4,3,0.0606060606060606
1868-1877,Natural Sciences,Science,1.5,2,2,0.0227272727272727
1868-1877,Natural Sciences,Zoology,2.0,2,2,0.0303030303030303
1868-1877,Religion and Philosophy,Buddhism,2.0,2,2,0.0303030303030303
1868-1877,Religion and Philosophy,Confucianism,1.0,1,1,0.0151515151515151
1868-1877,Religion and Philosophy,Religion,2.0,2,2,0.0303030303030303
1878-1887,Anthropology and Social Customs,Ethnology,1.0,1,1,0.0120481927710843
1878-1887,Anthropology and Social Customs,Folklore,1.0,1,0,0.0120481927710843
1878-1887,Anthropology and Social Customs,Manners and customs,4.0,4,2,0.0481927710843373
1878-1887,Arts and Archaeology,Antiquities,1.0,1,1,0.0120481927710843
1878-1887,Arts and Archaeology,Art,1.0,1,1,0.0120481927710843
1878-1887,Arts and Archaeology,Numismatics,3.0,3,3,0.036144578313253
1878-1887,Arts and Archaeology,Porcelain,1.0,1,1,0.0120481927710843
1878-1887,"Economy, Trade, and Technology",Economics,2.0,2,2,0.0240963855421686
1878-1887,"Economy, Trade, and Technology",Telecommunication,1.0,1,1,0.0120481927710843
1878-1887,Education,Education,1.0,1,1,0.0120481927710843
1878-1887,Geography and Travel,Geography,7.0,7,4,0.0843373493975903
1878-1887,Geography and Travel,Travel,9.0,9,7,0.108433734939759
1878-1887,History and Chronology,Biography,1.0,1,1,0.0120481927710843
1878-1887,History and Chronology,"Chronology, Historical",2.0,2,2,0.0240963855421686
1878-1887,History and Chronology,History,3.0,3,3,0.036144578313253
1878-1887,Literature and Language,Language and languages,2.0,2,1,0.0240963855421686
1878-1887,Literature and Language,Literature,14.0,14,10,0.1686746987951807
1878-1887,Military,Military art and science,0.5,1,1,0.0060240963855421
1878-1887,Natural Sciences,Agriculture,3.0,3,3,0.036144578313253
1878-1887,Natural Sciences,Astronomy,1.0,1,1,0.0120481927710843
1878-1887,Natural Sciences,Botany,3.0,3,2,0.036144578313253
1878-1887,Natural Sciences,Geology,5.0,5,3,0.0602409638554216
1878-1887,Natural Sciences,Hydrology,1.0,1,1,0.0120481927710843
1878-1887,Natural Sciences,Meteorology,4.0,4,4,0.0481927710843373
1878-1887,Natural Sciences,Science,0.5,1,1,0.0060240963855421
1878-1887,Natural Sciences,Zoology,2.0,2,2,0.0240963855421686
1878-1887,"Politics, Government, and Law",Government,2.0,2,1,0.0240963855421686
1878-1887,"Politics, Government, and Law",Law,2.0,2,1,0.0240963855421686
1878-1887,Religion and Philosophy,Buddhism,1.0,1,1,0.0120481927710843
1878-1887,Religion and Philosophy,Confucianism,1.0,1,1,0.0120481927710843
1878-1887,Religion and Philosophy,Philosophy,1.0,1,1,0.0120481927710843
1878-1887,Religion and Philosophy,Religion,2.0,2,2,0.0240963855421686
1888-1897,Anthropology and Social Customs,Ethnology,4.0,4,3,0.0833333333333333
1888-1897,Anthropology and Social Customs,Manners and customs,2.0,2,1,0.0416666666666666
1888-1897,Arts and Archaeology,Architecture,3.0,3,3,0.0625
1888-1897,Arts and Archaeology,Numismatics,4.0,4,4,0.0833333333333333
1888-1897,"Economy, Trade, and Technology",Economics,5.0,5,2,0.1041666666666666
1888-1897,"Economy, Trade, and Technology",Telecommunication,2.0,2,2,0.0416666666666666
1888-1897,Geography and Travel,Geography,1.0,1,1,0.0208333333333333
