subject_id,subject_l1,subject_l2
SUBJ_00001,Anthropology and Social Customs,Anthropology
SUBJ_00002,Anthropology and Social Customs,Ethnology
SUBJ_00003,Anthropology and Social Customs,Folklore
SUBJ_00004,Anthropology and Social Customs,Manners and customs
SUBJ_00005,Anthropology and Social Customs,Mythology
SUBJ_00006,Arts and Archaeology,Antiquities
SUBJ_00007,Arts and Archaeology,Archaeology
SUBJ_00008,Arts and Archaeology,Architecture
SUBJ_00009,Arts and Archaeology,Art
SUBJ_00010,Arts and Archaeology,Bronzes
SUBJ_00011,Arts and Archaeology,Decorative arts
SUBJ_00012,Arts and Archaeology,Music
SUBJ_00013,Arts and Archaeology,Numismatics
SUBJ_00014,Arts and Archaeology,Painting
SUBJ_00015,Arts and Archaeology,Porcelain
SUBJ_00016,Arts and Archaeology,Sculpture
SUBJ_00017,"Economy, Trade, and Technology",Commerce
SUBJ_00018,"Economy, Trade, and Technology",Economics
SUBJ_00019,"Economy, Trade, and Technology",Industries
SUBJ_00020,"Economy, Trade, and Technology",Telecommunication
SUBJ_00021,Education,Education
SUBJ_00022,Geography and Travel,Asia
SUBJ_00023,Geography and Travel,Geography
SUBJ_00024,Geography and Travel,Navigation
SUBJ_00025,Geography and Travel,Travel
SUBJ_00026,History and Chronology,Biography
SUBJ_00027,History and Chronology,"Chronology, Historical"
SUBJ_00028,History and Chronology,History
SUBJ_00029,History and Chronology,"History, Ancient"
SUBJ_00030,History and Chronology,"History, Modern"
SUBJ_00031,History and Chronology,"History, Modern (20th century)"
SUBJ_00032,Inscriptions and Miscellaneous,Inscriptions
SUBJ_00033,Inscriptions and Miscellaneous,Miscellaneous
SUBJ_00034,Literature and Language,East Asian languages
SUBJ_00035,Literature and Language,Language and languages
SUBJ_00036,Literature and Language,Literature
SUBJ_00037,Military,Military art and science
SUBJ_00038,Natural Sciences,Agriculture
SUBJ_00039,Natural Sciences,Astronomy
SUBJ_00040,Natural Sciences,Botany
SUBJ_00041,Natural Sciences,Chemistry
SUBJ_00042,Natural Sciences,Geology
SUBJ_00043,Natural Sciences,Hydrology
SUBJ_00044,Natural Sciences,Medicine
SUBJ_00045,Natural Sciences,Meteorology
SUBJ_00046,Natural Sciences,Science
SUBJ_00047,Natural Sciences,Zoology
SUBJ_00048,"Politics, Government, and Law","Associations, institutions, etc."
SUBJ_00049,"Politics, Government, and Law",Government
SUBJ_00050,"Politics, Government, and Law",Law
SUBJ_00051,"Politics, Government, and Law",Political science
SUBJ_00052,"Politics, Government, and Law",Political science--Philosophy
SUBJ_00053,Religion and Philosophy,Buddhism
SUBJ_00054,Religion and Philosophy,China--Religion
SUBJ_00055,Religion and Philosophy,Christianity
SUBJ_00056,Religion and Philosophy,Confucianism
SUBJ_00057,Religion and Philosophy,Islam
SUBJ_00058,Religion and Philosophy,Judaism
SUBJ_00059,Religion and Philosophy,Philosophy
SUBJ_00060,Religion and Philosophy,Religion
SUBJ_00061,Religion and Philosophy,Taoism
