time_window,subject_l1,subject_l2,term,term_count,article_count,share,idf,tfidf
1858-1867,Geography and Travel,Travel,overland,4,4,0.0634920634920634,2.203972804325936,8.815891217303744
1858-1867,History and Chronology,"History, Modern (20th century)",retrospect,4,4,0.2222222222222222,2.203972804325936,8.815891217303744
1858-1867,History and Chronology,"History, Modern (20th century)",events,4,4,0.2222222222222222,2.203972804325936,8.815891217303744
1858-1867,Geography and Travel,Travel,journey,5,5,0.0793650793650793,1.5108256237659907,7.554128118829953
1858-1867,Geography and Travel,Travel,visit,3,3,0.0476190476190476,1.916290731874155,5.748872195622465
1858-1867,Geography and Travel,Travel,peking,3,3,0.0476190476190476,1.916290731874155,5.748872195622465
1858-1867,Natural Sciences,Meteorology,magnetic,2,2,0.0408163265306122,2.6094379124341005,5.218875824868201
1858-1867,Natural Sciences,Meteorology,adjacent,2,2,0.0408163265306122,2.6094379124341005,5.218875824868201
1858-1867,Natural Sciences,Meteorology,taken,2,2,0.0408163265306122,2.6094379124341005,5.218875824868201
1858-1867,Geography and Travel,Travel,march,2,2,0.0317460317460317,2.6094379124341005,5.218875824868201
1858-1867,Religion and Philosophy,Christianity,t'ien,2,1,0.0833333333333333,2.6094379124341005,5.218875824868201
1858-1867,Natural Sciences,Agriculture,productions,2,2,0.1052631578947368,2.6094379124341005,5.218875824868201
1858-1867,"Economy, Trade, and Technology",Industries,productions,2,2,0.1052631578947368,2.6094379124341005,5.218875824868201
1858-1867,"Economy, Trade, and Technology",Commerce,productions,2,2,0.1052631578947368,2.6094379124341005,5.218875824868201
1858-1867,Natural Sciences,Meteorology,elements,2,2,0.0408163265306122,2.203972804325936,4.407945608651872
1858-1867,Natural Sciences,Hydrology,hankow,2,2,0.0526315789473684,2.203972804325936,4.407945608651872
1858-1867,Geography and Travel,Travel,narrative,2,2,0.0317460317460317,2.203972804325936,4.407945608651872
1858-1867,Natural Sciences,Geology,mineral,2,2,0.0476190476190476,2.203972804325936,4.407945608651872
1858-1867,Geography and Travel,Travel,hunan,2,2,0.0317460317460317,2.203972804325936,4.407945608651872
1858-1867,Geography and Travel,Travel,hankow,2,2,0.0317460317460317,2.203972804325936,4.407945608651872
1858-1867,Natural Sciences,Geology,sketch,2,2,0.0476190476190476,2.203972804325936,4.407945608651872
1858-1867,Geography and Travel,Travel,february,2,2,0.0317460317460317,2.203972804325936,4.407945608651872
1858-1867,Natural Sciences,Astronomy,eclipses,2,2,0.3333333333333333,2.203972804325936,4.407945608651872
1858-1867,Natural Sciences,Geology,provinces,2,2,0.0476190476190476,2.203972804325936,4.407945608651872
1858-1867,Geography and Travel,Travel,japan,3,3,0.0476190476190476,1.3566749439387324,4.070024831816197
1858-1867,Natural Sciences,Meteorology,state,2,2,0.0408163265306122,1.916290731874155,3.83258146374831
1858-1867,Natural Sciences,Hydrology,kiang,2,2,0.0526315789473684,1.916290731874155,3.83258146374831
