from,to,author,subject_l2,subject_l1,master_id,title,volume,year_start,year_end,time_window,subject_weight,subject_raw
A_1,S_1,"Edkins, J.",Buddhism,Religion and Philosophy,MASTER_00001,"A Buddhist Shastra , Translated from the Chinese",OS 1 Part 1,1858,1858,1858-1867,1,Buddhism
A_2,S_2,"Wylie, A.",Numismatics,Arts and Archaeology,MASTER_00002,Coins of the Ta - ts'ing or present dynasty of China *,OS 1 Part 1,1858,1858,1858-1867,1,Numismatics
A_3,S_3,"Macgowan, D. J.",Ethnology,Anthropology and Social Customs,MASTER_00003,Contribution to the ethnology of Eastern Asia,OS 1 Part 1,1858,1858,1858-1867,1,Ethnology
A_4,S_4,"Nicolson, F. W.",Meteorology,Natural Sciences,MASTER_00004,"On Cyclones , or the Law of Storms",OS 1 Part 1,1858,1858,1858-1867,1,Meteorology
A_5,S_5,"Foote, A. H.",Travel,Geography and Travel,MASTER_00006,Visit to Simoda and Hakodadi in Japan,OS 1 Part 1,1858,1858,1858-1867,1,Travel
A_3,S_6,"Macgowan, D. J.",Literature,Literature and Language,MASTER_00007,Chinese bibliography,OS 1 Part 2,1859,1859,1858-1867,1,Literature
A_6,S_4,"Shadwell, C. F. A.",Meteorology,Natural Sciences,MASTER_00008,Memorandum on the present state of some of the magnetic elements in china and palces adjacent,OS 1 Part 2,1859,1859,1858-1867,1,Meteorology
A_7,S_7,"Syle, E. W.",Music,Arts and Archaeology,MASTER_00009,On the Musical Notation of the Chinese,OS 1 Part 2,1859,1859,1858-1867,1,Music
A_1,S_8,"Edkins, J.",Philosophy,Religion and Philosophy,MASTER_00010,Notices of the character and writings of Meh tsi,OS 1 Part 2,1859,1859,1858-1867,1,Philosophy
A_8,S_9,"Ward, J.",Hydrology,Natural Sciences,MASTER_00012,"Sailing directions for the Yang - tsze Kiang, from Woosung to Hankow",OS 1 Part 2,1859,1859,1858-1867,1,Hydrology
A_9,S_10,"Pompe van Meedervoort, J. L. C.",Education,Education,MASTER_00013,On the Study of the Natural Sciences in Japan,OS 1 Part 2,1859,1859,1858-1867,1,Education
A_10,S_4,"Fedorovitch, J.",Meteorology,Natural Sciences,MASTER_00014,"Thermometrical observations, taken during a passage from Nagasaki to Shanghai",OS 1 Part 2,1859,1859,1858-1867,1,Meteorology
A_11,S_5,"Williams, S. W.",Travel,Geography and Travel,MASTER_00015,Lecture on Japan,OS 1 Part 2,1859,1859,1858-1867,1,Travel
A_12,S_5,"Swinhoe, R.",Travel,Geography and Travel,MASTER_00016,Narrative of a visit to the island of Formosa,OS 1 Part 2,1859,1859,1858-1867,1,Travel
A_12,S_11,"Swinhoe, R.",Zoology,Natural Sciences,MASTER_00017,Notes on some new species of birds found on the island of Formosa,OS 1 Part 2,1859,1859,1858-1867,1,Zoology
A_12,S_11,"Swinhoe, R.",Zoology,Natural Sciences,MASTER_00018,The Small Chinese Lark,OS 1 Part 3,1859,1859,1858-1867,1,Zoology
A_3,S_12,"Macgowan, D. J.",Law,"Politics, Government, and Law",MASTER_00019,On the Banishment of Criminals in China,OS 1 Part 3,1859,1859,1858-1867,1,Law
A_13,S_13,"Robertson, D. B.",Agriculture,Natural Sciences,MASTER_00020,Cotton in China,OS 1 Part 3,1859,1859,1858-1867,1,Agriculture
