from,to,author,subject_l2,subject_l1,time_window,article_count,weight,first_year,last_year,titles
A_14,S_3,"Bridgman, E. C.",Ethnology,Anthropology and Social Customs,1858-1867,1,1,1859,1859,Sketches of the Miau - tsze
A_3,S_3,"Macgowan, D. J.",Ethnology,Anthropology and Social Customs,1858-1867,1,1,1858,1858,Contribution to the ethnology of Eastern Asia
A_1,S_14,"Edkins, J.",Mythology,Anthropology and Social Customs,1858-1867,1,1,1859,1859,A Sketch of the Tauist Mythology in its modern form
A_47,S_14,"Watters, T.",Mythology,Anthropology and Social Customs,1858-1867,1,1,1867,1867,Chinese notions about pigeons and doves
A_2,S_20,"Wylie, A.",Antiquities,Arts and Archaeology,1858-1867,1,1,1864,1864,"Remarks on some impressions from a Lapidary Inscription at Keu - yung - kwan, on the Great Wall near Peking"
A_32,S_23,Bastion,Archaeology,Arts and Archaeology,1858-1867,1,1,1865,1865,The Remains of Ancient Kambodia
A_37,S_25,"Keer, J. G.",Architecture,Arts and Archaeology,1858-1867,1,1,1866,1866,Description of the Great Examination Hall at Canton
A_7,S_7,"Syle, E. W.",Music,Arts and Archaeology,1858-1867,1,1,1859,1859,On the Musical Notation of the Chinese
A_2,S_2,"Wylie, A.",Numismatics,Arts and Archaeology,1858-1867,1,1,1858,1858,Coins of the Ta - ts'ing or present dynasty of China *
A_9,S_10,"Pompe van Meedervoort, J. L. C.",Education,Education,1858-1867,1,1,1859,1859,On the Study of the Natural Sciences in Japan
A_22,S_5,"Canny, J. M.",Travel,Geography and Travel,1858-1867,1,1,1864,1864,The Sea-board of Russian Manchuria
A_21,S_5,"Dickson, W.",Travel,Geography and Travel,1858-1867,1,1,1864,1864,"Narrative of an overland trip, through Hunan, from Canton to Hankow"
A_1,S_5,"Edkins, J.",Travel,Geography and Travel,1858-1867,1,1,1865,1865,A Visit to the Agricultural Mongols
A_5,S_5,"Foote, A. H.",Travel,Geography and Travel,1858-1867,1,1,1858,1858,Visit to Simoda and Hakodadi in Japan
A_19,S_5,"Lindau, R.",Travel,Geography and Travel,1858-1867,1,1,1864,1864,"Notes on the city of Yedo, the capital of Japan *"
A_35,S_5,"Martin, W. A. P.",Travel,Geography and Travel,1858-1867,2,2,1864,1865,"Account of an overland journey from Peking to Shanghai, February and March 1865 | Account of an overland journey from Peking to Shanghai, February and March 1866"
A_12,S_5,"Swinhoe, R.",Travel,Geography and Travel,1858-1867,1,1,1859,1859,Narrative of a visit to the island of Formosa
A_25,S_5,"Wilds, E.",Travel,Geography and Travel,1858-1867,1,1,1864,1864,Report on the appearance of the Rugged Islands
A_11,S_5,"Williams, S. W.",Travel,Geography and Travel,1858-1867,1,1,1859,1859,Lecture on Japan
A_36,S_5,"Williamson, A.",Travel,Geography and Travel,1858-1867,1,1,1866,1866,"Notes of a Journey from Peking to Chefoo via Grand Canal , Yen -chow -foo, &c"
A_2,S_5,"Wylie, A.",Travel,Geography and Travel,1858-1867,1,1,1864,1864,"Overland journey from St. Petersburg to Pekin, The"
A_44,S_27,"Mayers, W. F.","Chronology, Historical",History and Chronology,1858-1867,1,1,1867,1867,Chinese chronological tables
A_11,S_26,"Williams, S. W.",History,History and Chronology,1858-1867,1,1,1866,1866,Political intercourse between China and Lewchew
A_39,S_15,"Butcher, C. H.","History, Modern (20th century)",History and Chronology,1858-1867,1,1,1866,1866,"Retrospect of events in the north of China, 1866"
A_17,S_15,Editorial Committee,"History, Modern (20th century)",History and Chronology,1858-1867,1,1,1860,1860,"Record of occurrences, 1860"
A_23,S_15,"Jamieson, R. A.","History, Modern (20th century)",History and Chronology,1858-1867,1,1,1864,1864,"Retrospect of events in the north of China, 1861-1864"
A_29,S_15,"Kingsmill, T. W.","History, Modern (20th century)",History and Chronology,1858-1867,2,2,1865,1867,"Retrospect of events in China and Japan | Retrospect of events in China and Japan, 1867"
A_11,S_15,"Williams, S. W.","History, Modern (20th century)",History and Chronology,1858-1867,1,1,1859,1859,Narrative of the American Embassy to Peking
A_27,S_6,"Gamble, W.",Literature,Literature and Language,1858-1867,1,1,1864,1864,Specimen of a new font of Chinese movable type belonging to the American Presbyterian Mission *
A_23,S_6,"Jamieson, R. A.",Literature,Literature and Language,1858-1867,1,1,1864,1864,The Hieroglyphic Character of the Chinese written Lan. 113
A_3,S_6,"Macgowan, D. J.",Literature,Literature and Language,1858-1867,1,1,1859,1859,Chinese bibliography
A_9,S_6,"Pompe van Meedervoort, J. L. C.",Literature,Literature and Language,1858-1867,1,1,1860,1860,Dissection of a Japanese criminal
A_33,S_13,"Jarvie, R.",Agriculture,Natural Sciences,1858-1867,1,1,1864,1864,Respecting China grass
A_13,S_13,"Robertson, D. B.",Agriculture,Natural Sciences,1858-1867,1,1,1859,1859,Cotton in China
A_46,S_13,"Simon, G. E.",Agriculture,Natural Sciences,1858-1867,1,1,1867,1867,"Carte agricole generale de l'Empire Chinois. Texte preface, legende et repertoire"
A_36,S_13,"Williamson, A.",Agriculture,Natural Sciences,1858-1867,2,2,1867,1867,"Notes on the north of China, its productions and communications | Notes on the productions, chiefly mineral of Shantung"
A_3,S_16,"Macgowan, D. J.",Astronomy,Natural Sciences,1858-1867,1,1,1860,1860,"On the Cosmical Phenomena observed in the neighborhood of Shanghai , during the past thirteen centuries"
A_2,S_16,"Wylie, A.",Astronomy,Natural Sciences,1858-1867,2,2,1866,1867,Notes on the opinions of the Chinese with regard to eclipses | Eclipses recorded in Chinese works
A_31,S_22,"Collins, V. D.",Botany,Natural Sciences,1858-1867,1,1,1865,1865,"Sorgo, or Northern Chinese sugar cane"
A_28,S_24,Lamprey,Chemistry,Natural Sciences,1858-1867,1,1,1864,1864,"Remarks on the "" water we use "" in Shanghai"
A_40,S_18,"Bickmore, A. S.",Geology,Natural Sciences,1858-1867,1,1,1867,1867,"Sketch of a journey from Canton to Hankow through the Provinces of Kwangtung, Kwangsi, and Hunan, with geological notes *"
A_1,S_18,"Edkins, J.",Geology,Natural Sciences,1858-1867,1,1,1867,1867,The Bituminous coal mines west of Peking
A_29,S_18,"Kingsmill, T. W.",Geology,Natural Sciences,1858-1867,2,2,1865,1866,A Sketch of the Geology of Quang -tung Province | Notes on some outlying coal-fields in the south-eastern provinces of China
A_28,S_18,Lamprey,Geology,Natural Sciences,1858-1867,1,1,1865,1865,Notes on the geology of the Great Plain *
A_16,S_18,"Shock, W. H.",Geology,Natural Sciences,1858-1867,1,1,1860,1860,"Notes on the mineral resources of Japan, etc."
A_1,S_9,"Edkins, J.",Hydrology,Natural Sciences,1858-1867,1,1,1860,1860,On the ancient mouths of Yangts<U+00EF> kiang
A_24,S_9,Edwards,Hydrology,Natural Sciences,1858-1867,1,1,1864,1864,Extracts from a report on the present condition of the sea wall at the head of Hang - chow Bay
A_43,S_9,"Ellias, N.",Hydrology,Natural Sciences,1858-1867,1,1,1867,1867,Notes on a portion of the old bed of the Yellow River an the water supply of the Grand Canal
