time_window,subject_l1,weighted_article_count,article_count,subject_l2_count,author_count,share
1858-1867,Anthropology and Social Customs,6.0,7,4,7,0.07142857142857142
1858-1867,Arts and Archaeology,3.5,4,4,4,0.041666666666666664
1858-1867,"Economy, Trade, and Technology",3.249999999999998,5,3,4,0.038690476190476164
1858-1867,Education,1.5,2,1,2,0.017857142857142856
1858-1867,Geography and Travel,12.5,13,1,12,0.1488095238095238
1858-1867,History and Chronology,8.5,9,3,6,0.10119047619047619
1858-1867,Inscriptions and Miscellaneous,1.0,1,1,1,0.011904761904761904
1858-1867,Literature and Language,5.166666666666666,6,2,5,0.0615079365079365
1858-1867,Natural Sciences,32.75,37,9,27,0.3898809523809524
1858-1867,"Politics, Government, and Law",2.0,2,1,2,0.023809523809523808
1858-1867,Religion and Philosophy,7.833333333333333,9,5,7,0.09325396825396826
1868-1877,Anthropology and Social Customs,8.5,10,4,9,0.13076923076923078
1868-1877,Arts and Archaeology,4.333333333333333,5,2,5,0.06666666666666667
1868-1877,"Economy, Trade, and Technology",3.166666666666666,4,3,2,0.04871794871794871
1868-1877,Education,1.0,1,1,1,0.015384615384615385
1868-1877,Geography and Travel,7.083333333333333,10,3,9,0.10897435897435898
1868-1877,History and Chronology,14.25,16,3,11,0.21923076923076923
1868-1877,Inscriptions and Miscellaneous,3.0,3,2,3,0.046153846153846156
1868-1877,Literature and Language,6.166666666666666,7,2,6,0.09487179487179487
1868-1877,Military,1.0,1,1,1,0.015384615384615385
1868-1877,Natural Sciences,12.666666666666664,16,8,12,0.19487179487179485
1868-1877,Religion and Philosophy,3.833333333333333,5,3,5,0.05897435897435897
1878-1887,Anthropology and Social Customs,6.166666666666666,7,4,4,0.07429718875502009
1878-1887,Arts and Archaeology,3.25,4,2,4,0.039156626506024104
1878-1887,"Economy, Trade, and Technology",5.4999999999999964,9,4,6,0.06626506024096382
1878-1887,Education,0.333333333333333,1,1,1,0.004016064257028109
1878-1887,Geography and Travel,15.33333333333333,16,3,11,0.18473895582329317
1878-1887,History and Chronology,6.5,7,3,5,0.07831325301204821
1878-1887,Inscriptions and Miscellaneous,1.0,1,1,1,0.01204819277108434
1878-1887,Literature and Language,18.833333333333332,20,2,12,0.22690763052208837
1878-1887,Military,1.0,1,1,1,0.01204819277108434
1878-1887,Natural Sciences,17.249999999999996,20,7,13,0.20783132530120482
1878-1887,"Politics, Government, and Law",3.499999999999998,5,3,3,0.042168674698795164
1878-1887,Religion and Philosophy,4.333333333333333,5,4,5,0.052208835341365466
