time_window,subject_l1,subject_l2,weighted_article_count,article_count,author_count,share
1858-1867,Anthropology and Social Customs,Ethnology,2,2,2,0.024390243902439025
1858-1867,Anthropology and Social Customs,Mythology,2,2,2,0.024390243902439025
1858-1867,Arts and Archaeology,Antiquities,1,1,1,0.012195121951219513
1858-1867,Arts and Archaeology,Archaeology,1,1,1,0.012195121951219513
1858-1867,Arts and Archaeology,Architecture,1,1,1,0.012195121951219513
1858-1867,Arts and Archaeology,Music,1,1,1,0.012195121951219513
1858-1867,Arts and Archaeology,Numismatics,1,1,1,0.012195121951219513
1858-1867,Education,Education,1,1,1,0.012195121951219513
1858-1867,Geography and Travel,Travel,13,13,11,0.15853658536585366
1858-1867,History and Chronology,"Chronology, Historical",1,1,1,0.012195121951219513
1858-1867,History and Chronology,History,2,2,1,0.024390243902439025
1858-1867,History and Chronology,"History, Modern (20th century)",6,6,5,0.07317073170731707
1858-1867,Literature and Language,Literature,4,4,4,0.04878048780487805
1858-1867,Natural Sciences,Agriculture,5,5,4,0.06097560975609756
1858-1867,Natural Sciences,Astronomy,3,3,2,0.036585365853658534
1858-1867,Natural Sciences,Botany,1,1,1,0.012195121951219513
1858-1867,Natural Sciences,Chemistry,1,1,1,0.012195121951219513
1858-1867,Natural Sciences,Geology,6,6,5,0.07317073170731707
1858-1867,Natural Sciences,Hydrology,5,5,5,0.06097560975609756
1858-1867,Natural Sciences,Medicine,1,1,1,0.012195121951219513
1858-1867,Natural Sciences,Meteorology,9,9,7,0.10975609756097561
1858-1867,Natural Sciences,Zoology,5,5,3,0.06097560975609756
1858-1867,"Politics, Government, and Law",Law,2,2,2,0.024390243902439025
1858-1867,Religion and Philosophy,Buddhism,2,2,2,0.024390243902439025
1858-1867,Religion and Philosophy,Christianity,3,3,3,0.036585365853658534
1858-1867,Religion and Philosophy,Confucianism,1,1,1,0.012195121951219513
1858-1867,Religion and Philosophy,Philosophy,2,2,2,0.024390243902439025
1868-1877,Anthropology and Social Customs,Ethnology,5,5,5,0.08333333333333333
1868-1877,Anthropology and Social Customs,Mythology,2,2,2,0.03333333333333333
1868-1877,Arts and Archaeology,Antiquities,2,2,2,0.03333333333333333
1868-1877,Arts and Archaeology,Archaeology,2,2,2,0.03333333333333333
1868-1877,Arts and Archaeology,Music,3,3,3,0.05
1868-1877,"Economy, Trade, and Technology",Economics,2,2,1,0.03333333333333333
1868-1877,Education,Education,1,1,1,0.016666666666666666
1868-1877,Geography and Travel,Geography,1,1,1,0.016666666666666666
1868-1877,Geography and Travel,Travel,4,4,4,0.06666666666666667
1868-1877,History and Chronology,Biography,2,2,2,0.03333333333333333
1868-1877,History and Chronology,History,6,6,6,0.1
1868-1877,History and Chronology,"History, Modern (20th century)",8,8,5,0.13333333333333333
1868-1877,Literature and Language,Literature,2,2,2,0.03333333333333333
1868-1877,Natural Sciences,Agriculture,2,2,1,0.03333333333333333
1868-1877,Natural Sciences,Geology,3,3,3,0.05
1868-1877,Natural Sciences,Hydrology,1,1,1,0.016666666666666666
1868-1877,Natural Sciences,Medicine,3,3,1,0.05
1868-1877,Natural Sciences,Meteorology,4,4,3,0.06666666666666667
1868-1877,Natural Sciences,Zoology,2,2,2,0.03333333333333333
1868-1877,Religion and Philosophy,Buddhism,2,2,2,0.03333333333333333
1868-1877,Religion and Philosophy,Confucianism,1,1,1,0.016666666666666666
1868-1877,Religion and Philosophy,Religion,2,2,2,0.03333333333333333
1878-1887,Anthropology and Social Customs,Ethnology,1,1,1,0.013157894736842105
1878-1887,Anthropology and Social Customs,Folklore,1,1,0,0.013157894736842105
1878-1887,Arts and Archaeology,Antiquities,1,1,1,0.013157894736842105
1878-1887,Arts and Archaeology,Numismatics,3,3,3,0.039473684210526314
1878-1887,Arts and Archaeology,Porcelain,1,1,1,0.013157894736842105
1878-1887,"Economy, Trade, and Technology",Economics,2,2,2,0.02631578947368421
1878-1887,Education,Education,1,1,1,0.013157894736842105
1878-1887,Geography and Travel,Geography,7,7,4,0.09210526315789473
1878-1887,Geography and Travel,Travel,9,9,7,0.11842105263157894
1878-1887,History and Chronology,Biography,1,1,1,0.013157894736842105
1878-1887,History and Chronology,"Chronology, Historical",2,2,2,0.02631578947368421
1878-1887,History and Chronology,History,3,3,3,0.039473684210526314
1878-1887,Literature and Language,Language and languages,2,2,1,0.02631578947368421
1878-1887,Literature and Language,Literature,14,14,10,0.18421052631578946
1878-1887,Natural Sciences,Agriculture,3,3,3,0.039473684210526314
1878-1887,Natural Sciences,Astronomy,1,1,1,0.013157894736842105
1878-1887,Natural Sciences,Botany,3,3,2,0.039473684210526314
1878-1887,Natural Sciences,Geology,5,5,3,0.06578947368421052
1878-1887,Natural Sciences,Hydrology,1,1,1,0.013157894736842105
1878-1887,Natural Sciences,Meteorology,4,4,4,0.05263157894736842
1878-1887,Natural Sciences,Zoology,2,2,2,0.02631578947368421
1878-1887,"Politics, Government, and Law",Government,2,2,1,0.02631578947368421
1878-1887,"Politics, Government, and Law",Law,2,2,1,0.02631578947368421
1878-1887,Religion and Philosophy,Buddhism,1,1,1,0.013157894736842105
1878-1887,Religion and Philosophy,Confucianism,1,1,1,0.013157894736842105
1878-1887,Religion and Philosophy,Philosophy,1,1,1,0.013157894736842105
1878-1887,Religion and Philosophy,Religion,2,2,2,0.02631578947368421
1888-1897,Anthropology and Social Customs,Ethnology,4,4,3,0.09090909090909091
1888-1897,Arts and Archaeology,Architecture,3,3,3,0.06818181818181818
1888-1897,Arts and Archaeology,Numismatics,4,4,4,0.09090909090909091
1888-1897,"Economy, Trade, and Technology",Economics,5,5,2,0.11363636363636363
1888-1897,Geography and Travel,Geography,1,1,1,0.022727272727272728
1888-1897,Geography and Travel,Travel,2,2,2,0.045454545454545456
1888-1897,History and Chronology,History,8,8,8,0.18181818181818182
1888-1897,Literature and Language,Literature,2,2,1,0.045454545454545456
1888-1897,Natural Sciences,Agriculture,1,1,1,0.022727272727272728
1888-1897,Natural Sciences,Astronomy,1,1,1,0.022727272727272728
1888-1897,Natural Sciences,Botany,4,4,2,0.09090909090909091
1888-1897,Natural Sciences,Hydrology,2,2,2,0.045454545454545456
1888-1897,Natural Sciences,Zoology,1,1,1,0.022727272727272728
1888-1897,"Politics, Government, and Law",Government,1,1,1,0.022727272727272728
1888-1897,"Politics, Government, and Law",Law,1,1,1,0.022727272727272728
1888-1897,Religion and Philosophy,Buddhism,1,1,1,0.022727272727272728
1888-1897,Religion and Philosophy,Christianity,1,1,1,0.022727272727272728
1888-1897,Religion and Philosophy,Philosophy,1,1,1,0.022727272727272728
1888-1897,Religion and Philosophy,Taoism,1,1,1,0.022727272727272728
1898-1907,Anthropology and Social Customs,Ethnology,4,4,2,0.12903225806451613
1898-1907,Anthropology and Social Customs,Mythology,1,1,1,0.03225806451612903
1898-1907,Arts and Archaeology,Numismatics,2,2,2,0.06451612903225806
1898-1907,"Economy, Trade, and Technology",Economics,2,2,2,0.06451612903225806
1898-1907,Geography and Travel,Travel,3,3,3,0.0967741935483871
1898-1907,History and Chronology,Biography,2,2,2,0.06451612903225806
1898-1907,History and Chronology,History,2,2,2,0.06451612903225806
1898-1907,Natural Sciences,Agriculture,3,3,2,0.0967741935483871
1898-1907,Natural Sciences,Astronomy,1,1,1,0.03225806451612903
1898-1907,Natural Sciences,Botany,1,1,1,0.03225806451612903
1898-1907,"Politics, Government, and Law",Government,2,2,2,0.06451612903225806
1898-1907,"Politics, Government, and Law",Law,2,2,2,0.06451612903225806
1898-1907,Religion and Philosophy,Confucianism,1,1,1,0.03225806451612903
1898-1907,Religion and Philosophy,Judaism,1,1,1,0.03225806451612903
1898-1907,Religion and Philosophy,Philosophy,3,3,3,0.0967741935483871
1898-1907,Religion and Philosophy,Religion,1,1,1,0.03225806451612903
1908-1917,Anthropology and Social Customs,Ethnology,1,1,1,0.015873015873015872
1908-1917,Anthropology and Social Customs,Mythology,1,1,1,0.015873015873015872
1908-1917,Arts and Archaeology,Antiquities,1,1,1,0.015873015873015872
1908-1917,Arts and Archaeology,Archaeology,6,6,6,0.09523809523809523
1908-1917,Arts and Archaeology,Architecture,1,1,1,0.015873015873015872
1908-1917,Arts and Archaeology,Decorative arts,3,3,1,0.047619047619047616
1908-1917,Arts and Archaeology,Music,2,2,2,0.031746031746031744
1908-1917,Arts and Archaeology,Numismatics,1,1,1,0.015873015873015872
1908-1917,Arts and Archaeology,Painting,2,2,1,0.031746031746031744
1908-1917,Arts and Archaeology,Sculpture,1,1,1,0.015873015873015872
1908-1917,Geography and Travel,Travel,2,2,2,0.031746031746031744
1908-1917,History and Chronology,"Chronology, Historical",1,1,1,0.015873015873015872
1908-1917,History and Chronology,History,3,3,3,0.047619047619047616
1908-1917,History and Chronology,"History, Modern (20th century)",1,1,1,0.015873015873015872
1908-1917,Literature and Language,Language and languages,1,1,1,0.015873015873015872
1908-1917,Literature and Language,Literature,7,7,5,0.1111111111111111
1908-1917,Natural Sciences,Astronomy,1,1,1,0.015873015873015872
1908-1917,Natural Sciences,Botany,1,1,1,0.015873015873015872
1908-1917,Natural Sciences,Geology,1,1,1,0.015873015873015872
1908-1917,Natural Sciences,Hydrology,1,1,1,0.015873015873015872
1908-1917,Natural Sciences,Meteorology,1,1,1,0.015873015873015872
1908-1917,Natural Sciences,Zoology,8,8,7,0.12698412698412698
1908-1917,"Politics, Government, and Law",Law,2,2,2,0.031746031746031744
1908-1917,Religion and Philosophy,Buddhism,3,3,1,0.047619047619047616
