time_window,subject_l1,subject_l2,strength,article_count,author_count,degree,betweenness
1858-1867,Anthropology and Social Customs,Ethnology,2.0,2,2,2,59.0
1858-1867,Anthropology and Social Customs,Mythology,2.0,2,2,2,59.0
1858-1867,Arts and Archaeology,Antiquities,1.0,1,1,1,0.0
1858-1867,Arts and Archaeology,Archaeology,1.0,1,1,1,0.0
1858-1867,Arts and Archaeology,Architecture,1.0,1,1,1,0.0
1858-1867,Arts and Archaeology,Music,1.0,1,1,1,0.0
1858-1867,Arts and Archaeology,Numismatics,1.0,1,1,1,0.0
1858-1867,Education,Education,1.0,1,1,1,0.0
1858-1867,Geography and Travel,Travel,13.0,13,11,11,992.8333333333337
1858-1867,History and Chronology,"Chronology, Historical",1.0,1,1,1,0.0
1858-1867,History and Chronology,History,2.0,2,1,1,0.0
1858-1867,History and Chronology,"History, Modern (20th century)",6.0,6,5,5,603.8333333333333
1858-1867,Literature and Language,Literature,4.0,4,4,4,300.5
1858-1867,Natural Sciences,Agriculture,5.0,5,4,4,174.0
1858-1867,Natural Sciences,Astronomy,3.0,3,2,2,170.16666666666666
1858-1867,Natural Sciences,Botany,1.0,1,1,1,0.0
1858-1867,Natural Sciences,Chemistry,1.0,1,1,1,0.0
1858-1867,Natural Sciences,Geology,6.0,6,5,5,290.66666666666663
1858-1867,Natural Sciences,Hydrology,5.0,5,5,5,230.0
1858-1867,Natural Sciences,Medicine,1.0,1,1,1,0.0
1858-1867,Natural Sciences,Meteorology,9.0,9,7,7,391.0
1858-1867,Natural Sciences,Zoology,5.0,5,3,3,117.0
1858-1867,"Politics, Government, and Law",Law,2.0,2,2,2,59.0
1858-1867,Religion and Philosophy,Buddhism,2.0,2,2,2,174.0
1858-1867,Religion and Philosophy,Christianity,3.0,3,3,3,3.0
1858-1867,Religion and Philosophy,Confucianism,1.0,1,1,1,0.0
1858-1867,Religion and Philosophy,Philosophy,2.0,2,2,2,59.0
1868-1877,Anthropology and Social Customs,Ethnology,5.0,5,5,5,268.0
1868-1877,Anthropology and Social Customs,Mythology,2.0,2,2,2,128.0
1868-1877,Arts and Archaeology,Antiquities,2.0,2,2,2,1.0
1868-1877,Arts and Archaeology,Archaeology,2.0,2,2,2,1.0
1868-1877,Arts and Archaeology,Music,3.0,3,3,3,69.0
1868-1877,"Economy, Trade, and Technology",Economics,2.0,2,1,1,0.0
1868-1877,Education,Education,1.0,1,1,1,0.0
1868-1877,Geography and Travel,Geography,1.0,1,1,1,0.0
1868-1877,Geography and Travel,Travel,4.0,4,4,4,102.0
1868-1877,History and Chronology,Biography,2.0,2,2,2,35.0
1868-1877,History and Chronology,History,6.0,6,6,6,448.0
1868-1877,History and Chronology,"History, Modern (20th century)",8.0,8,5,5,134.0
1868-1877,Literature and Language,Literature,2.0,2,2,2,2.0
1868-1877,Natural Sciences,Agriculture,2.0,2,1,1,0.0
1868-1877,Natural Sciences,Geology,3.0,3,3,3,101.0
1868-1877,Natural Sciences,Hydrology,1.0,1,1,1,0.0
1868-1877,Natural Sciences,Medicine,3.0,3,1,1,0.0
1868-1877,Natural Sciences,Meteorology,4.0,4,3,3,5.0
1868-1877,Natural Sciences,Zoology,2.0,2,2,2,1.0
1868-1877,Religion and Philosophy,Buddhism,2.0,2,2,2,35.0
1868-1877,Religion and Philosophy,Confucianism,1.0,1,1,1,0.0
1868-1877,Religion and Philosophy,Religion,2.0,2,2,2,35.0
1878-1887,Anthropology and Social Customs,Ethnology,1.0,1,1,1,0.0
1878-1887,Anthropology and Social Customs,Folklore,1.0,1,0,0,0.0
1878-1887,Arts and Archaeology,Antiquities,1.0,1,1,1,0.0
1878-1887,Arts and Archaeology,Numismatics,3.0,3,3,3,3.0
1878-1887,Arts and Archaeology,Porcelain,1.0,1,1,1,0.0
1878-1887,"Economy, Trade, and Technology",Economics,2.0,2,2,2,4.416666666666667
1878-1887,Education,Education,1.0,1,1,1,0.0
1878-1887,Geography and Travel,Geography,7.0,7,4,4,137.75
1878-1887,Geography and Travel,Travel,9.0,9,7,7,184.49999999999997
1878-1887,History and Chronology,Biography,1.0,1,1,1,0.0
1878-1887,History and Chronology,"Chronology, Historical",2.0,2,2,2,13.5
1878-1887,History and Chronology,History,3.0,3,3,3,172.75
1878-1887,Literature and Language,Language and languages,2.0,2,1,1,0.0
1878-1887,Literature and Language,Literature,14.0,14,10,10,427.4166666666668
1878-1887,Natural Sciences,Agriculture,3.0,3,3,3,196.66666666666669
1878-1887,Natural Sciences,Astronomy,1.0,1,1,1,0.0
1878-1887,Natural Sciences,Botany,3.0,3,2,2,1.0
1878-1887,Natural Sciences,Geology,5.0,5,3,3,75.0
1878-1887,Natural Sciences,Hydrology,1.0,1,1,1,0.0
1878-1887,Natural Sciences,Meteorology,4.0,4,4,4,9.0
1878-1887,Natural Sciences,Zoology,2.0,2,2,2,1.0
1878-1887,"Politics, Government, and Law",Government,2.0,2,1,1,0.0
1878-1887,"Politics, Government, and Law",Law,2.0,2,1,1,0.0
1878-1887,Religion and Philosophy,Buddhism,1.0,1,1,1,0.0
1878-1887,Religion and Philosophy,Confucianism,1.0,1,1,1,0.0
1878-1887,Religion and Philosophy,Philosophy,1.0,1,1,1,0.0
1878-1887,Religion and Philosophy,Religion,2.0,2,2,2,38.0
1888-1897,Anthropology and Social Customs,Ethnology,4.0,4,3,3,14.0
1888-1897,Arts and Archaeology,Architecture,3.0,3,3,3,3.0
1888-1897,Arts and Archaeology,Numismatics,4.0,4,4,4,6.0
1888-1897,"Economy, Trade, and Technology",Economics,5.0,5,2,2,6.0
1888-1897,Geography and Travel,Geography,1.0,1,1,1,0.0
1888-1897,Geography and Travel,Travel,2.0,2,2,2,1.0
1888-1897,History and Chronology,History,8.0,8,8,8,49.0
1888-1897,Literature and Language,Literature,2.0,2,1,1,0.0
1888-1897,Natural Sciences,Agriculture,1.0,1,1,1,0.0
1888-1897,Natural Sciences,Astronomy,1.0,1,1,1,0.0
1888-1897,Natural Sciences,Botany,4.0,4,2,2,18.0
1888-1897,Natural Sciences,Hydrology,2.0,2,2,2,2.0
1888-1897,Natural Sciences,Zoology,1.0,1,1,1,0.0
1888-1897,"Politics, Government, and Law",Government,1.0,1,1,1,0.0
1888-1897,"Politics, Government, and Law",Law,1.0,1,1,1,0.0
1888-1897,Religion and Philosophy,Buddhism,1.0,1,1,1,0.0
1888-1897,Religion and Philosophy,Christianity,1.0,1,1,1,0.0
1888-1897,Religion and Philosophy,Philosophy,1.0,1,1,1,0.0
1888-1897,Religion and Philosophy,Taoism,1.0,1,1,1,0.0
1898-1907,Anthropology and Social Customs,Ethnology,4.0,4,2,2,2.0
1898-1907,Anthropology and Social Customs,Mythology,1.0,1,1,1,0.0
1898-1907,Arts and Archaeology,Numismatics,2.0,2,2,2,1.0
1898-1907,"Economy, Trade, and Technology",Economics,2.0,2,2,2,24.0
1898-1907,Geography and Travel,Travel,3.0,3,3,3,17.0
1898-1907,History and Chronology,Biography,2.0,2,2,2,24.0
1898-1907,History and Chronology,History,2.0,2,2,2,1.0
1898-1907,Natural Sciences,Agriculture,3.0,3,2,2,1.0
1898-1907,Natural Sciences,Astronomy,1.0,1,1,1,0.0
1898-1907,Natural Sciences,Botany,1.0,1,1,1,0.0
1898-1907,"Politics, Government, and Law",Government,2.0,2,2,2,1.0
1898-1907,"Politics, Government, and Law",Law,2.0,2,2,2,2.0
