time_window,subject_l1,subject_l2,strength,article_count,author_count,degree,betweenness
1858-1867,Anthropology and Social Customs,Ethnology,2.0,2,2,2,61.0
1858-1867,Anthropology and Social Customs,Manners and customs,2.0,2,2,2,61.0
1858-1867,Anthropology and Social Customs,Mythology,2.0,2,2,2,61.0
1858-1867,Arts and Archaeology,Antiquities,1.0,1,1,1,0.0
1858-1867,Arts and Archaeology,Archaeology,1.0,1,1,1,0.0
1858-1867,Arts and Archaeology,Architecture,1.0,1,1,1,0.0
1858-1867,Arts and Archaeology,Music,1.0,1,1,1,0.0
1858-1867,Arts and Archaeology,Numismatics,1.0,1,1,1,0.0
1858-1867,Education,Education,1.0,1,1,1,0.0
1858-1867,Geography and Travel,Travel,13.0,13,11,11,1037.166666666667
1858-1867,History and Chronology,"Chronology, Historical",1.0,1,1,1,0.0
1858-1867,History and Chronology,History,2.0,2,1,1,0.0
1858-1867,History and Chronology,"History, Modern (20th century)",6.0,6,5,5,721.8333333333333
1858-1867,Literature and Language,Literature,4.0,4,4,4,317.50000000000006
1858-1867,Natural Sciences,Agriculture,5.0,5,4,4,180.0
1858-1867,Natural Sciences,Astronomy,3.0,3,2,2,170.16666666666666
1858-1867,Natural Sciences,Botany,1.0,1,1,1,0.0
1858-1867,Natural Sciences,Chemistry,1.0,1,1,1,0.0
1858-1867,Natural Sciences,Geology,6.0,6,5,5,306.0000000000001
1858-1867,Natural Sciences,Hydrology,5.0,5,5,5,238.0
1858-1867,Natural Sciences,Medicine,1.0,1,1,1,0.0
1858-1867,Natural Sciences,Meteorology,9.0,9,7,7,405.0
1858-1867,Natural Sciences,Zoology,5.0,5,3,3,121.0
1858-1867,"Politics, Government, and Law",Law,2.0,2,2,2,61.0
1858-1867,Religion and Philosophy,Buddhism,2.0,2,2,2,181.33333333333331
1858-1867,Religion and Philosophy,Christianity,3.0,3,3,3,3.0
1858-1867,Religion and Philosophy,Confucianism,1.0,1,1,1,0.0
1858-1867,Religion and Philosophy,Philosophy,2.0,2,2,2,61.0
1868-1877,Anthropology and Social Customs,Ethnology,5.0,5,5,5,358.0
1868-1877,Anthropology and Social Customs,Manners and customs,3.0,3,3,3,89.0
1868-1877,Anthropology and Social Customs,Mythology,2.0,2,2,2,273.0
1868-1877,Arts and Archaeology,Antiquities,2.0,2,2,2,1.0
1868-1877,Arts and Archaeology,Archaeology,2.0,2,2,2,1.0
1868-1877,Arts and Archaeology,Music,3.0,3,3,3,89.0
1868-1877,"Economy, Trade, and Technology",Economics,2.0,2,1,1,0.0
1868-1877,Education,Education,1.0,1,1,1,0.0
1868-1877,Geography and Travel,Geography,1.0,1,1,1,0.0
1868-1877,Geography and Travel,Travel,4.0,4,4,4,132.0
1868-1877,History and Chronology,Biography,2.0,2,2,2,45.0
1868-1877,History and Chronology,History,5.5,6,6,6,782.0
1868-1877,History and Chronology,"History, Ancient",0.5,1,1,1,0.0
1868-1877,History and Chronology,"History, Modern (20th century)",8.0,8,5,5,174.0
1868-1877,Literature and Language,Literature,2.0,2,2,2,45.0
1868-1877,Military,Military art and science,0.5,1,1,1,0.0
1868-1877,Natural Sciences,Agriculture,2.0,2,1,1,0.0
1868-1877,Natural Sciences,Geology,4.0,4,3,3,131.0
1868-1877,Natural Sciences,Hydrology,1.0,1,1,1,0.0
1868-1877,Natural Sciences,Medicine,3.0,3,1,1,0.0
1868-1877,Natural Sciences,Meteorology,4.0,4,3,3,5.0
1868-1877,Natural Sciences,Science,1.5,2,2,2,168.0
1868-1877,Natural Sciences,Zoology,2.0,2,2,2,1.0
1868-1877,Religion and Philosophy,Buddhism,2.0,2,2,2,45.0
1868-1877,Religion and Philosophy,Confucianism,1.0,1,1,1,0.0
1868-1877,Religion and Philosophy,Religion,2.0,2,2,2,45.0
