time_window,bigram,term_count,article_count,share
1858-1867,overland journey,4,4,0.014545454545454545
1858-1867,retrospect events,4,4,0.014545454545454545
1858-1867,journey peking,4,4,0.014545454545454545
1858-1867,peking shanghai,3,3,0.01090909090909091
1858-1867,february march,3,3,0.01090909090909091
1858-1867,state magnetic,2,2,0.007272727272727273
1858-1867,magnetic elements,2,2,0.007272727272727273
1858-1867,island formosa,2,2,0.007272727272727273
1858-1867,canton hankow,2,2,0.007272727272727273
1858-1867,events north,2,2,0.007272727272727273
1858-1867,events japan,2,2,0.007272727272727273
1858-1867,shanghai february,2,2,0.007272727272727273
1858-1867,grand canal,2,2,0.007272727272727273
1858-1867,buddhist shastra,1,1,0.0036363636363636364
1858-1867,coins qing,1,1,0.0036363636363636364
1858-1867,qing dynasty,1,1,0.0036363636363636364
1858-1867,ethnology eastern,1,1,0.0036363636363636364
1858-1867,eastern asia,1,1,0.0036363636363636364
1858-1867,cyclones law,1,1,0.0036363636363636364
1858-1867,law storms,1,1,0.0036363636363636364
1858-1867,visit simoda,1,1,0.0036363636363636364
1858-1867,simoda hakodadi,1,1,0.0036363636363636364
1858-1867,hakodadi japan,1,1,0.0036363636363636364
1858-1867,elements palces,1,1,0.0036363636363636364
1858-1867,palces adjacent,1,1,0.0036363636363636364
1858-1867,musical notation,1,1,0.0036363636363636364
1858-1867,character writings,1,1,0.0036363636363636364
1858-1867,writings mozi,1,1,0.0036363636363636364
1858-1867,sailing directions,1,1,0.0036363636363636364
1858-1867,directions yangtze,1,1,0.0036363636363636364
1858-1867,yangtze kiang,1,1,0.0036363636363636364
1858-1867,kiang woosung,1,1,0.0036363636363636364
1858-1867,woosung hankow,1,1,0.0036363636363636364
1858-1867,study natural,1,1,0.0036363636363636364
1858-1867,natural sciences,1,1,0.0036363636363636364
1858-1867,sciences japan,1,1,0.0036363636363636364
1858-1867,thermometrical taken,1,1,0.0036363636363636364
1858-1867,taken passage,1,1,0.0036363636363636364
1858-1867,passage nagasaki,1,1,0.0036363636363636364
1858-1867,nagasaki shanghai,1,1,0.0036363636363636364
1858-1867,narrative visit,1,1,0.0036363636363636364
1858-1867,visit island,1,1,0.0036363636363636364
1858-1867,species birds,1,1,0.0036363636363636364
1858-1867,birds found,1,1,0.0036363636363636364
1858-1867,found island,1,1,0.0036363636363636364
1858-1867,small lark,1,1,0.0036363636363636364
1858-1867,banishment criminals,1,1,0.0036363636363636364
1858-1867,meteorological tables,1,1,0.0036363636363636364
1858-1867,tables made,1,1,0.0036363636363636364
1858-1867,made japan,1,1,0.0036363636363636364
1858-1867,sketch tauist,1,1,0.0036363636363636364
1858-1867,tauist mythology,1,1,0.0036363636363636364
1858-1867,mythology modern,1,1,0.0036363636363636364
1858-1867,modern form,1,1,0.0036363636363636364
1858-1867,narrative american,1,1,0.0036363636363636364
1858-1867,american embassy,1,1,0.0036363636363636364
1858-1867,embassy peking,1,1,0.0036363636363636364
1858-1867,sketches miau,1,1,0.0036363636363636364
1858-1867,miau tsze,1,1,0.0036363636363636364
1858-1867,ancient mouths,1,1,0.0036363636363636364
1858-1867,mouths yangts,1,1,0.0036363636363636364
1858-1867,yangts kiang,1,1,0.0036363636363636364
1858-1867,cosmical phenomena,1,1,0.0036363636363636364
1858-1867,phenomena observed,1,1,0.0036363636363636364
1858-1867,observed neighborhood,1,1,0.0036363636363636364
1858-1867,neighborhood shanghai,1,1,0.0036363636363636364
1858-1867,shanghai past,1,1,0.0036363636363636364
1858-1867,past thirteen,1,1,0.0036363636363636364
1858-1867,thirteen centuries,1,1,0.0036363636363636364
1858-1867,sketch life,1,1,0.0036363636363636364
1858-1867,life confucius,1,1,0.0036363636363636364
1858-1867,ethics special,1,1,0.0036363636363636364
1858-1867,special reference,1,1,0.0036363636363636364
1858-1867,reference doctrine,1,1,0.0036363636363636364
1858-1867,doctrine human,1,1,0.0036363636363636364
1858-1867,human nature,1,1,0.0036363636363636364
1858-1867,nature sin,1,1,0.0036363636363636364
1858-1867,dissection japanese,1,1,0.0036363636363636364
1858-1867,japanese criminal,1,1,0.0036363636363636364
1858-1867,mineral resources,1,1,0.0036363636363636364
1858-1867,resources japan,1,1,0.0036363636363636364
1858-1867,japan etc,1,1,0.0036363636363636364
1858-1867,record occurrences,1,1,0.0036363636363636364
1858-1867,supplemental state,1,1,0.0036363636363636364
1858-1867,elements places,1,1,0.0036363636363636364
1858-1867,places adjacent,1,1,0.0036363636363636364
1858-1867,temperature hakodadi,1,1,0.0036363636363636364
1858-1867,winds weather,1,1,0.0036363636363636364
1858-1867,weather chefoo,1,1,0.0036363636363636364
1858-1867,city yedo,1,1,0.0036363636363636364
1858-1867,yedo capital,1,1,0.0036363636363636364
1858-1867,capital japan,1,1,0.0036363636363636364
1858-1867,physical causes,1,1,0.0036363636363636364
1858-1867,causes modify,1,1,0.0036363636363636364
1858-1867,modify climate,1,1,0.0036363636363636364
1858-1867,narrative overland,1,1,0.0036363636363636364
1858-1867,overland trip,1,1,0.0036363636363636364
1858-1867,trip hunan,1,1,0.0036363636363636364
1858-1867,hunan canton,1,1,0.0036363636363636364
1858-1867,journey petersburg,1,1,0.0036363636363636364
1858-1867,petersburg pekin,1,1,0.0036363636363636364
1858-1867,medicine medical,1,1,0.0036363636363636364
1858-1867,medical practice,1,1,0.0036363636363636364
1858-1867,sea-board russian,1,1,0.0036363636363636364
1858-1867,russian manchuria,1,1,0.0036363636363636364
1858-1867,impressions lapidary,1,1,0.0036363636363636364
1858-1867,lapidary inscription,1,1,0.0036363636363636364
1858-1867,inscription keu,1,1,0.0036363636363636364
1858-1867,keu yung,1,1,0.0036363636363636364
1858-1867,yung kwan,1,1,0.0036363636363636364
1858-1867,kwan great,1,1,0.0036363636363636364
1858-1867,great wall,1,1,0.0036363636363636364
1858-1867,wall near,1,1,0.0036363636363636364
1858-1867,near peking,1,1,0.0036363636363636364
1858-1867,condition sea,1,1,0.0036363636363636364
1858-1867,sea wall,1,1,0.0036363636363636364
1858-1867,wall head,1,1,0.0036363636363636364
1858-1867,head hang,1,1,0.0036363636363636364
1858-1867,hang chow,1,1,0.0036363636363636364
1858-1867,chow bay,1,1,0.0036363636363636364
1858-1867,appearance rugged,1,1,0.0036363636363636364
1858-1867,rugged islands,1,1,0.0036363636363636364
1858-1867,barometric thermometric,1,1,0.0036363636363636364
1858-1867,thermometric taken,1,1,0.0036363636363636364
1858-1867,taken september,1,1,0.0036363636363636364
1858-1867,september view,1,1,0.0036363636363636364
1858-1867,view determining,1,1,0.0036363636363636364
1858-1867,determining height,1,1,0.0036363636363636364
1858-1867,height lew,1,1,0.0036363636363636364
1858-1867,lew shan,1,1,0.0036363636363636364
1858-1867,specimen font,1,1,0.0036363636363636364
1858-1867,font movable,1,1,0.0036363636363636364
1858-1867,movable type,1,1,0.0036363636363636364
1858-1867,type belonging,1,1,0.0036363636363636364
1858-1867,belonging american,1,1,0.0036363636363636364
1858-1867,american presbyterian,1,1,0.0036363636363636364
1858-1867,presbyterian mission,1,1,0.0036363636363636364
1858-1867,geology great,1,1,0.0036363636363636364
1858-1867,great plain,1,1,0.0036363636363636364
1858-1867,sketch geology,1,1,0.0036363636363636364
1858-1867,geology quang,1,1,0.0036363636363636364
1858-1867,quang tung,1,1,0.0036363636363636364
1858-1867,tung province,1,1,0.0036363636363636364
1858-1867,birds beasts,1,1,0.0036363636363636364
1858-1867,beasts formosa,1,1,0.0036363636363636364
1858-1867,annals western,1,1,0.0036363636363636364
1858-1867,western ocean,1,1,0.0036363636363636364
1858-1867,sorgo northern,1,1,0.0036363636363636364
1858-1867,northern sugar,1,1,0.0036363636363636364
1858-1867,sugar cane,1,1,0.0036363636363636364
1858-1867,visit agricultural,1,1,0.0036363636363636364
1858-1867,agricultural mongols,1,1,0.0036363636363636364
1858-1867,remains ancient,1,1,0.0036363636363636364
1858-1867,ancient kambodia,1,1,0.0036363636363636364
1858-1867,hieroglyphic character,1,1,0.0036363636363636364
1858-1867,character written,1,1,0.0036363636363636364
1858-1867,written lan,1,1,0.0036363636363636364
1858-1867,respecting grass,1,1,0.0036363636363636364
1858-1867,funeral rites,1,1,0.0036363636363636364
1858-1867,rites performed,1,1,0.0036363636363636364
1858-1867,performed obsequies,1,1,0.0036363636363636364
1858-1867,obsequies takee,1,1,0.0036363636363636364
1858-1867,traces judicium,1,1,0.0036363636363636364
1858-1867,judicium dei,1,1,0.0036363636363636364
