historical_name,modern_name,place_label,lat,lon
batang,Batang,Batang,30.0,99.1
pekin,Beijing,Beijing（pekin）,39.9,116.4
ch'eng tu; cheng tu,Chengdu,Chengdu（ch'eng tu; cheng tu）,30.7,104.1
fukien,Fujian Province,Fujian Province（fukien）,26.1,117.9
foochow,Fuzhou,Fuzhou（foochow）,26.1,119.3
kansu,Gansu Province,Gansu Province（kansu）,36.1,103.8
kwang-tung; kwang tung; kwangtung,Guangdong,Guangdong（kwang-tung; kwang tung; kwangtung）,23.1,113.3
kwangsi,Guangxi Province,Guangxi Province（kwangsi）,22.8,108.3
canton,Guangzhou,Guangzhou（canton）,23.1,113.3
kweichow,Guizhou,Guizhou（kweichow）,26.6,106.7
hankow,Hankou,Hankou（hankow）,30.6,114.3
honan,Henan Province,Henan Province（honan）,34.8,113.6
hunan,Hunan,Hunan,28.2,112.9
kaifungfu,Kaifengfu,Kaifengfu（kaifungfu）,34.8,114.3
lampacao,Lampacau,Lampacau（lampacao）,22.2,113.5
menkong,Mangkang,Mangkang（menkong）,29.7,98.6
szemao,Pu'er,Pu'er（szemao）,22.8,100.9
saghalien,Sakhalin,Sakhalin（saghalien）,50.7,143.0
shen-hsi,Shaanxi Province,Shaanxi Province（shen-hsi）,34.3,108.9
shan tung; shantung,Shandong,Shandong（shan tung; shantung）,36.7,117.0
shan-hsi,Shanxi Province,Shanxi Province（shan-hsi）,37.9,112.5
shaohing,Shaoxing,Shaoxing（shaohing）,30.0,120.6
ssuch'uan,Sichuan,Sichuan（ssuch'uan）,30.7,104.1
sze chuen; szechuen,Sichuan,Sichuan（sze chuen; szechuen）,30.7,104.1
sungp'an,Songpan,Songpan（sungp'an）,32.7,103.6
t'ai shan; tai shan,Tai Shan,Tai Shan（t'ai shan）,36.3,117.1
formosa,Taiwan,Taiwan（formosa）,23.7,121.0
tong-king,Tonkin,Tonkin（tong-king）,21.0,105.8
woosung,Wusong,Wusong（woosung）,31.4,121.5
rangoon,Yangon,Yangon（rangoon）,16.8,96.2
yang-tsze kiang; yang - tsze kiang,Yangtzi River,Yangtzi River（yang-tsze kiang; yang - tsze kiang）,30.6,114.3
yangtse,Yangtzi River,Yangtzi River（yangtse）,30.6,114.3
yentai hill,Yantai Hill,Yantai Hill（yentai hill）,37.5,121.4
chinkiang,Zhenjiang,Zhenjiang（chinkiang）,32.2,119.5
