time_window,place_label,modern_name,historical_name,lat,lon,place_count,article_count,share,idf,tfidf
1858-1867,Hankou（hankow）,Hankou,hankow,30.6,114.3,3,3,0.21428571428571427,2.386294361119891,7.158883083359672
1858-1867,Taiwan（formosa）,Taiwan,formosa,23.7,121.0,3,3,0.21428571428571427,1.9808292530117262,5.942487759035179
1858-1867,Beijing（pekin）,Beijing,pekin,39.9,116.4,1,1,0.07142857142857142,2.386294361119891,2.386294361119891
1858-1867,Guangdong（kwang tung; kwang-tung; kwangtung）,Guangdong,kwang tung; kwang-tung; kwangtung,23.1,113.3,1,1,0.07142857142857142,1.9808292530117262,1.9808292530117262
1858-1867,Guangxi Province（kwangsi）,Guangxi Province,kwangsi,22.8,108.3,1,1,0.07142857142857142,2.386294361119891,2.386294361119891
1858-1867,Guangzhou（canton）,Guangzhou,canton,23.1,113.3,1,1,0.07142857142857142,2.386294361119891,2.386294361119891
1858-1867,Hunan,Hunan,hunan,28.2,112.9,1,1,0.07142857142857142,2.386294361119891,2.386294361119891
1858-1867,Shandong（shan tung; shantung）,Shandong,shan tung; shantung,36.7,117.0,1,1,0.07142857142857142,1.9808292530117262,1.9808292530117262
1858-1867,Wusong（woosung）,Wusong,woosung,31.4,121.5,1,1,0.07142857142857142,2.386294361119891,2.386294361119891
1858-1867,Yangtzi River（yang-tsze kiang; yang - tsze kiang）,Yangtzi River,yang-tsze kiang; yang - tsze kiang,30.6,114.3,1,1,0.07142857142857142,2.386294361119891,2.386294361119891
1868-1877,Shaanxi Province（shen-hsi）,Shaanxi Province,shen-hsi,34.3,108.9,1,1,0.2,1.9808292530117262,1.9808292530117262
1868-1877,Shanxi Province（shan-hsi）,Shanxi Province,shan-hsi,37.9,112.5,1,1,0.2,2.386294361119891,2.386294361119891
1868-1877,Sichuan（sze chuen; szechuen）,Sichuan,sze chuen; szechuen,30.7,104.1,1,1,0.2,1.9808292530117262,1.9808292530117262
1868-1877,Taiwan（formosa）,Taiwan,formosa,23.7,121.0,1,1,0.2,1.9808292530117262,1.9808292530117262
1868-1877,Tonkin（tong-king）,Tonkin,tong-king,21.0,105.8,1,1,0.2,2.386294361119891,2.386294361119891
1878-1887,Fujian Province（fukien）,Fujian Province,fukien,26.1,117.9,1,1,0.14285714285714285,2.386294361119891,2.386294361119891
1878-1887,Fuzhou（foochow）,Fuzhou,foochow,26.1,119.3,1,1,0.14285714285714285,1.9808292530117262,1.9808292530117262
1878-1887,Sakhalin（saghalien）,Sakhalin,saghalien,50.7,143.0,1,1,0.14285714285714285,2.386294361119891,2.386294361119891
1878-1887,Shandong（shan tung; shantung）,Shandong,shan tung; shantung,36.7,117.0,1,1,0.14285714285714285,1.9808292530117262,1.9808292530117262
1878-1887,Sichuan（sze chuen; szechuen）,Sichuan,sze chuen; szechuen,30.7,104.1,1,1,0.14285714285714285,1.9808292530117262,1.9808292530117262
1878-1887,Yangtzi River（yangtse）,Yangtzi River,yangtse,30.6,114.3,1,1,0.14285714285714285,2.386294361119891,2.386294361119891
1878-1887,Yantai Hill（yentai hill）,Yantai Hill,yentai hill,37.5,121.4,1,1,0.14285714285714285,2.386294361119891,2.386294361119891
1888-1897,Sichuan（ssuch'uan）,Sichuan,ssuch'uan,30.7,104.1,1,1,1.0,2.386294361119891,2.386294361119891
1898-1907,Chengdu（ch'eng tu; cheng tu）,Chengdu,ch'eng tu; cheng tu,30.7,104.1,1,1,0.16666666666666666,2.386294361119891,2.386294361119891
1898-1907,Kaifengfu（kaifungfu）,Kaifengfu,kaifungfu,34.8,114.3,1,1,0.16666666666666666,2.386294361119891,2.386294361119891
1898-1907,Pu'er（szemao）,Pu'er,szemao,22.8,100.9,1,1,0.16666666666666666,2.386294361119891,2.386294361119891
1898-1907,Shaoxing（shaohing）,Shaoxing,shaohing,30.0,120.6,1,1,0.16666666666666666,2.386294361119891,2.386294361119891
1898-1907,Songpan（sungp'an）,Songpan,sungp'an,32.7,103.6,1,1,0.16666666666666666,2.386294361119891,2.386294361119891
1898-1907,Yangon（rangoon）,Yangon,rangoon,16.8,96.2,1,1,0.16666666666666666,2.386294361119891,2.386294361119891
1908-1917,Batang,Batang,batang,30.0,99.1,1,1,0.25,2.386294361119891,2.386294361119891
1908-1917,Henan Province（honan）,Henan Province,honan,34.8,113.6,1,1,0.25,2.386294361119891,2.386294361119891
1908-1917,Mangkang（menkong）,Mangkang,menkong,29.7,98.6,1,1,0.25,2.386294361119891,2.386294361119891
1908-1917,Tai Shan（t'ai shan）,Tai Shan,t'ai shan; tai shan,36.3,117.1,1,1,0.25,2.386294361119891,2.386294361119891
1918-1927,Fuzhou（foochow）,Fuzhou,foochow,26.1,119.3,1,1,0.14285714285714285,1.9808292530117262,1.9808292530117262
1918-1927,Gansu Province（kansu）,Gansu Province,kansu,36.1,103.8,1,1,0.14285714285714285,2.386294361119891,2.386294361119891
1918-1927,Guangdong（kwang tung; kwang-tung; kwangtung）,Guangdong,kwang tung; kwang-tung; kwangtung,23.1,113.3,1,1,0.14285714285714285,1.9808292530117262,1.9808292530117262
1918-1927,Guizhou（kweichow）,Guizhou,kweichow,26.6,106.7,1,1,0.14285714285714285,2.386294361119891,2.386294361119891
1918-1927,Lampacau（lampacao）,Lampacau,lampacao,22.2,113.5,1,1,0.14285714285714285,2.386294361119891,2.386294361119891
1918-1927,Shaanxi Province（shen-hsi）,Shaanxi Province,shen-hsi,34.3,108.9,1,1,0.14285714285714285,1.9808292530117262,1.9808292530117262
1918-1927,Zhenjiang（chinkiang）,Zhenjiang,chinkiang,32.2,119.5,1,1,0.14285714285714285,2.386294361119891,2.386294361119891
