time_window,subject_l1,subject_l2,term,term_count,article_count,share,idf,tfidf
1858-1867,Geography and Travel,Travel,overland,5,5,0.08333333333333333,2.203972804325936,11.01986402162968
1858-1867,History and Chronology,"History, Modern (20th century)",retrospect,4,4,0.2222222222222222,2.203972804325936,8.815891217303744
1858-1867,History and Chronology,"History, Modern (20th century)",events,4,4,0.2222222222222222,2.203972804325936,8.815891217303744
1858-1867,Geography and Travel,Travel,march,3,3,0.05,2.6094379124341005,7.8283137373023015
1858-1867,Geography and Travel,Travel,peking,4,4,0.06666666666666667,1.916290731874155,7.66516292749662
1858-1867,Geography and Travel,Travel,journey,5,5,0.08333333333333333,1.5108256237659907,7.554128118829953
1858-1867,Geography and Travel,Travel,february,3,3,0.05,2.203972804325936,6.611918412977808
1858-1867,Geography and Travel,Travel,visit,3,3,0.05,1.916290731874155,5.748872195622465
1858-1867,Natural Sciences,Meteorology,magnetic,2,2,0.04878048780487805,2.6094379124341005,5.218875824868201
1858-1867,Natural Sciences,Meteorology,adjacent,2,2,0.04878048780487805,2.6094379124341005,5.218875824868201
1858-1867,Natural Sciences,Meteorology,taken,2,2,0.04878048780487805,2.6094379124341005,5.218875824868201
1858-1867,Religion and Philosophy,Christianity,t'ien,2,1,0.08333333333333333,2.6094379124341005,5.218875824868201
1858-1867,Natural Sciences,Agriculture,productions,2,2,0.10526315789473684,2.6094379124341005,5.218875824868201
1858-1867,Natural Sciences,Meteorology,elements,2,2,0.04878048780487805,2.203972804325936,4.407945608651872
1858-1867,Natural Sciences,Hydrology,hankow,2,2,0.06666666666666667,2.203972804325936,4.407945608651872
1858-1867,Geography and Travel,Travel,narrative,2,2,0.03333333333333333,2.203972804325936,4.407945608651872
1858-1867,Natural Sciences,Geology,sketch,2,2,0.06666666666666667,2.203972804325936,4.407945608651872
1858-1867,Natural Sciences,Astronomy,eclipses,2,2,0.14285714285714285,2.203972804325936,4.407945608651872
1858-1867,Natural Sciences,Geology,provinces,2,2,0.06666666666666667,2.203972804325936,4.407945608651872
1858-1867,Geography and Travel,Travel,japan,3,3,0.05,1.3566749439387324,4.070024831816197
1858-1867,Geography and Travel,Travel,shanghai,3,3,0.05,1.3566749439387324,4.070024831816197
1858-1867,Natural Sciences,Meteorology,state,2,2,0.04878048780487805,1.916290731874155,3.83258146374831
1858-1867,Natural Sciences,Hydrology,kiang,2,2,0.06666666666666667,1.916290731874155,3.83258146374831
1858-1867,Natural Sciences,Zoology,birds,2,2,0.14285714285714285,1.916290731874155,3.83258146374831
1858-1867,Natural Sciences,Geology,geology,2,2,0.06666666666666667,1.916290731874155,3.83258146374831
1858-1867,Natural Sciences,Zoology,formosa,2,2,0.14285714285714285,1.6931471805599454,3.386294361119891
1858-1867,Natural Sciences,Hydrology,river,2,2,0.06666666666666667,1.5108256237659907,3.0216512475319814
1858-1867,History and Chronology,"History, Modern (20th century)",north,2,2,0.1111111111111111,1.3566749439387324,2.713349887877465
1858-1867,History and Chronology,"History, Modern (20th century)",japan,2,2,0.1111111111111111,1.3566749439387324,2.713349887877465
1858-1867,Religion and Philosophy,Buddhism,shastra,1,1,0.25,2.6094379124341005,2.6094379124341005
1858-1867,Arts and Archaeology,Numismatics,qing,1,1,0.3333333333333333,2.6094379124341005,2.6094379124341005
1858-1867,Anthropology and Social Customs,Ethnology,ethnology,1,1,0.16666666666666666,2.6094379124341005,2.6094379124341005
1858-1867,Natural Sciences,Meteorology,cyclones,1,1,0.024390243902439025,2.6094379124341005,2.6094379124341005
1858-1867,Natural Sciences,Meteorology,storms,1,1,0.024390243902439025,2.6094379124341005,2.6094379124341005
1858-1867,Geography and Travel,Travel,simoda,1,1,0.016666666666666666,2.6094379124341005,2.6094379124341005
1858-1867,Geography and Travel,Travel,hakodadi,1,1,0.016666666666666666,2.6094379124341005,2.6094379124341005
1858-1867,Natural Sciences,Meteorology,palces,1,1,0.024390243902439025,2.6094379124341005,2.6094379124341005
1858-1867,Arts and Archaeology,Music,notation,1,1,0.5,2.6094379124341005,2.6094379124341005
1858-1867,Religion and Philosophy,Philosophy,writings,1,1,0.1,2.6094379124341005,2.6094379124341005
1858-1867,Religion and Philosophy,Philosophy,mozi,1,1,0.1,2.6094379124341005,2.6094379124341005
1858-1867,Natural Sciences,Hydrology,sailing,1,1,0.03333333333333333,2.6094379124341005,2.6094379124341005
1858-1867,Natural Sciences,Hydrology,directions,1,1,0.03333333333333333,2.6094379124341005,2.6094379124341005
1858-1867,Natural Sciences,Hydrology,woosung,1,1,0.03333333333333333,2.6094379124341005,2.6094379124341005
1858-1867,Education,Education,sciences,1,1,0.25,2.6094379124341005,2.6094379124341005
1858-1867,Natural Sciences,Meteorology,thermometrical,1,1,0.024390243902439025,2.6094379124341005,2.6094379124341005
1858-1867,Natural Sciences,Zoology,lark,1,1,0.07142857142857142,2.6094379124341005,2.6094379124341005
1858-1867,"Politics, Government, and Law",Law,banishment,1,1,0.14285714285714285,2.6094379124341005,2.6094379124341005
1858-1867,"Politics, Government, and Law",Law,criminals,1,1,0.14285714285714285,2.6094379124341005,2.6094379124341005
1858-1867,Natural Sciences,Agriculture,cotton,1,1,0.05263157894736842,2.6094379124341005,2.6094379124341005
1858-1867,Natural Sciences,Meteorology,tables,1,1,0.024390243902439025,2.6094379124341005,2.6094379124341005
1858-1867,Anthropology and Social Customs,Mythology,tauist,1,1,0.125,2.6094379124341005,2.6094379124341005
1858-1867,Anthropology and Social Customs,Mythology,mythology,1,1,0.125,2.6094379124341005,2.6094379124341005
1858-1867,Anthropology and Social Customs,Mythology,form,1,1,0.125,2.6094379124341005,2.6094379124341005
1858-1867,History and Chronology,"History, Modern (20th century)",embassy,1,1,0.05555555555555555,2.6094379124341005,2.6094379124341005
1858-1867,Anthropology and Social Customs,Ethnology,sketches,1,1,0.16666666666666666,2.6094379124341005,2.6094379124341005
1858-1867,Anthropology and Social Customs,Ethnology,tsze,1,1,0.16666666666666666,2.6094379124341005,2.6094379124341005
1858-1867,Natural Sciences,Hydrology,mouths,1,1,0.03333333333333333,2.6094379124341005,2.6094379124341005
1858-1867,Natural Sciences,Hydrology,yangts,1,1,0.03333333333333333,2.6094379124341005,2.6094379124341005
