master_id,filename,title,author,year,decade,L1,L2,language,cleaned_full_text_path,analysis_text_path,model_source_column,model_token_count_before_df,model_token_count_after_df,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9
MASTER_00159,1858_01.txt,The Climate of Eastern Asia,"Fritsche, H.",1877,1870,Natural Sciences,Meteorology,en,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\1858_01.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\1858_01.txt,analysis_text,7485,1972,0.008180882909458528,0.001487917333863235,0.01820950143600648,0.0010448876502900165,0.0010914067815319048,0.38025698230798916,0.0011894274555319193,0.1724645918532914,0.4038755300553765,0.012198872216660874
MASTER_00004,1858_02.txt,"On Cyclones , or the Law of Storms","Nicolson, F. W.",1858,1850,Natural Sciences,Meteorology,en,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\1858_02.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\1858_02.txt,analysis_text,13089,3507,0.001429143753410361,2.889597987276654e-6,0.6279039835029976,4.420350198171117e-4,1.3054523620149283e-4,0.15185479875299715,1.6441268789114843e-4,3.827921760421291e-4,0.04061656864281611,0.17707283062983972
MASTER_00002,1858_03.txt,Coins of the Ta - ts'ing or present dynasty of China *,"Wylie, A.",1858,1850,Arts and Archaeology,Numismatics,en,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\1858_03.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\1858_03.txt,analysis_text,13131,3766,7.820965117795826e-6,2.3240728119439546e-5,2.2530518973899912e-5,0.05526149970179423,0.7866243039428291,6.98621366896974e-4,0.1348052175325373,5.644425851294872e-4,0.0012030270620443015,0.020789295596557483
MASTER_00003,1858_04.txt,Contribution to the ethnology of Eastern Asia,"Macgowan, D. J.",1858,1850,Anthropology and Social Customs,Ethnology,en,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\1858_04.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\1858_04.txt,analysis_text,2097,509,0.012794830807788487,1.5334303989094348e-4,0.049225985590243646,0.0015462185910142922,0.025539182768159408,0.3683533837059894,0.09810973366985526,0.05307881526389591,0.33443353529680986,0.05676497126635267
MASTER_00001,1858_05.txt,"A Buddhist Shastra , Translated from the Chinese","Edkins, J.",1858,1850,Religion and Philosophy,Buddhism,en,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\1858_05.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\1858_05.txt,analysis_text,7437,1961,1.3148894235253303e-4,6.88709587972833e-5,2.2902773972103277e-4,1.0142263699807659e-5,7.230228738573112e-4,8.161833488370507e-4,0.0010336952550840748,0.7066925537498151,0.2900021432650631,2.928716027736588e-4
MASTER_00006,1858_06.txt,Visit to Simoda and Hakodadi in Japan,"Foote, A. H.",1858,1850,Geography and Travel,Travel,en,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\1858_06.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\1858_06.txt,analysis_text,4449,1201,0.0013758440978570497,2.4250449076199587e-6,0.020937110001560143,9.735676946127762e-4,4.640549918100647e-4,0.7385967769834231,2.4464167176665514e-4,7.079126706182935e-4,9.31292382786449e-4,0.23576637446065807
MASTER_00213,1858_07_record_of_occurence.txt,Where was Ta - ts ' in ?,"Allen, H. J.",1886,1880,Geography and Travel,Geography,en,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\1858_07_record_of_occurence.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\1858_07_record_of_occurence.txt,analysis_text,5454,1538,5.808013509098448e-5,5.019279452779246e-6,0.02358777907608553,0.013206439597038376,5.316844903574784e-4,0.8903647588192223,0.0193724714075161,9.635252904843749e-4,0.04816178276185977,0.003748459142892374
MASTER_00016,1859_01.txt,Narrative of a visit to the island of Formosa,"Swinhoe, R.",1859,1850,Geography and Travel,Travel,en,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\1859_01.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\1859_01.txt,analysis_text,10353,2734,0.04526699887066546,2.6795683892360013e-5,4.8153621002106886e-4,3.1824300432677544e-4,4.3191884946812734e-4,0.16382835518927125,3.085744637765843e-5,3.724510514921753e-4,1.1699696668670162e-4,0.7891258467277985
MASTER_00010,1859_02.txt,Notices of the character and writings of Meh tsi,"Edkins, J.",1859,1850,Religion and Philosophy,Philosophy,en,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\1859_02.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\1859_02.txt,analysis_text,2439,695,1.476514709060391e-5,2.2155609714990676e-6,4.879897930365361e-5,2.221738633065751e-5,4.164252460179622e-4,0.015145168581447164,0.0012007500177116384,0.980205931960158,0.0022560030902938786,6.877240306746793e-4
MASTER_00007,1859_03.txt,Chinese bibliography,"Macgowan, D. J.",1859,1850,Literature and Language,Literature,en,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\1859_03.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\1859_03.txt,analysis_text,2850,842,2.613488033308893e-4,1.6493970181298873e-4,7.007800606455757e-4,0.07534822445184355,0.01921071030869244,0.3564806328426333,0.07241311017055745,0.004459827960906904,0.44679471785824515,0.024165707841331725
