decade,model,K,topic_id,mean_topic_proportion,article_count,article_coverage,topic_words,topic_label
1850,stm,10,0,0.0878461007602078,4,0.1212121212121212,"styan, skvortzow, orn, zool, length_breadth, ibis, swinhoe, north_manchuria","FREX: styan, skvortzow, orn, zool, length_breadth, ibis, swinhoe, north_manchuria, breadth, dorsal | Prob: species, length, birds, white, genus, leaves, manchuria, flowers, breadth, fish | Representative: Collection of birds in the Shanghai Museum, The; Oribatoidea Sinensis, Part III; The Family names; Notes on some new species of birds found on the island of Formosa"
1860,stm,10,0,0.0452784195991663,7,0.1346153846153846,"styan, skvortzow, orn, zool, length_breadth, ibis, swinhoe, north_manchuria","FREX: styan, skvortzow, orn, zool, length_breadth, ibis, swinhoe, north_manchuria, breadth, dorsal | Prob: species, length, birds, white, genus, leaves, manchuria, flowers, breadth, fish | Representative: Collection of birds in the Shanghai Museum, The; Oribatoidea Sinensis, Part III; The Family names; Notes on some new species of birds found on the island of Formosa"
1870,stm,10,0,0.0322544308302941,9,0.1475409836065573,"styan, skvortzow, orn, zool, length_breadth, ibis, swinhoe, north_manchuria","FREX: styan, skvortzow, orn, zool, length_breadth, ibis, swinhoe, north_manchuria, breadth, dorsal | Prob: species, length, birds, white, genus, leaves, manchuria, flowers, breadth, fish | Representative: Collection of birds in the Shanghai Museum, The; Oribatoidea Sinensis, Part III; The Family names; Notes on some new species of birds found on the island of Formosa"
1880,stm,10,0,0.0490396308365349,6,0.072289156626506,"styan, skvortzow, orn, zool, length_breadth, ibis, swinhoe, north_manchuria","FREX: styan, skvortzow, orn, zool, length_breadth, ibis, swinhoe, north_manchuria, breadth, dorsal | Prob: species, length, birds, white, genus, leaves, manchuria, flowers, breadth, fish | Representative: Collection of birds in the Shanghai Museum, The; Oribatoidea Sinensis, Part III; The Family names; Notes on some new species of birds found on the island of Formosa"
1890,stm,10,0,0.0377503941987279,4,0.1052631578947368,"styan, skvortzow, orn, zool, length_breadth, ibis, swinhoe, north_manchuria","FREX: styan, skvortzow, orn, zool, length_breadth, ibis, swinhoe, north_manchuria, breadth, dorsal | Prob: species, length, birds, white, genus, leaves, manchuria, flowers, breadth, fish | Representative: Collection of birds in the Shanghai Museum, The; Oribatoidea Sinensis, Part III; The Family names; Notes on some new species of birds found on the island of Formosa"
1900,stm,10,0,0.0435475950706112,2,0.0666666666666666,"styan, skvortzow, orn, zool, length_breadth, ibis, swinhoe, north_manchuria","FREX: styan, skvortzow, orn, zool, length_breadth, ibis, swinhoe, north_manchuria, breadth, dorsal | Prob: species, length, birds, white, genus, leaves, manchuria, flowers, breadth, fish | Representative: Collection of birds in the Shanghai Museum, The; Oribatoidea Sinensis, Part III; The Family names; Notes on some new species of birds found on the island of Formosa"
1910,stm,10,0,0.1279228005081016,20,0.2150537634408602,"styan, skvortzow, orn, zool, length_breadth, ibis, swinhoe, north_manchuria","FREX: styan, skvortzow, orn, zool, length_breadth, ibis, swinhoe, north_manchuria, breadth, dorsal | Prob: species, length, birds, white, genus, leaves, manchuria, flowers, breadth, fish | Representative: Collection of birds in the Shanghai Museum, The; Oribatoidea Sinensis, Part III; The Family names; Notes on some new species of birds found on the island of Formosa"
1920,stm,10,0,0.092167338145319,21,0.1707317073170731,"styan, skvortzow, orn, zool, length_breadth, ibis, swinhoe, north_manchuria","FREX: styan, skvortzow, orn, zool, length_breadth, ibis, swinhoe, north_manchuria, breadth, dorsal | Prob: species, length, birds, white, genus, leaves, manchuria, flowers, breadth, fish | Representative: Collection of birds in the Shanghai Museum, The; Oribatoidea Sinensis, Part III; The Family names; Notes on some new species of birds found on the island of Formosa"
1930,stm,10,0,0.0680982694156907,4,0.1666666666666666,"styan, skvortzow, orn, zool, length_breadth, ibis, swinhoe, north_manchuria","FREX: styan, skvortzow, orn, zool, length_breadth, ibis, swinhoe, north_manchuria, breadth, dorsal | Prob: species, length, birds, white, genus, leaves, manchuria, flowers, breadth, fish | Representative: Collection of birds in the Shanghai Museum, The; Oribatoidea Sinensis, Part III; The Family names; Notes on some new species of birds found on the island of Formosa"
1940,stm,10,0,0.0002403506556803825,0,0.0,"styan, skvortzow, orn, zool, length_breadth, ibis, swinhoe, north_manchuria","FREX: styan, skvortzow, orn, zool, length_breadth, ibis, swinhoe, north_manchuria, breadth, dorsal | Prob: species, length, birds, white, genus, leaves, manchuria, flowers, breadth, fish | Representative: Collection of birds in the Shanghai Museum, The; Oribatoidea Sinensis, Part III; The Family names; Notes on some new species of birds found on the island of Formosa"
