model,K,topic_id,rank,word,word_type
stm,10,0,1,species,prob
stm,10,0,2,length,prob
stm,10,0,3,birds,prob
stm,10,0,4,white,prob
stm,10,0,5,genus,prob
stm,10,0,6,leaves,prob
stm,10,0,7,manchuria,prob
stm,10,0,8,flowers,prob
stm,10,0,9,breadth,prob
stm,10,0,10,fish,prob
stm,10,0,11,yellow,prob
stm,10,0,12,rice,prob
stm,10,0,13,family,prob
stm,10,0,14,black,prob
stm,10,0,15,winter,prob
stm,10,0,16,brown,prob
stm,10,0,17,red,prob
stm,10,0,18,var,prob
stm,10,0,19,wild,prob
stm,10,0,20,length_breadth,prob
stm,10,0,1,styan,frex
stm,10,0,2,skvortzow,frex
stm,10,0,3,orn,frex
stm,10,0,4,zool,frex
stm,10,0,5,length_breadth,frex
stm,10,0,6,ibis,frex
stm,10,0,7,swinhoe,frex
stm,10,0,8,north_manchuria,frex
stm,10,0,9,breadth,frex
stm,10,0,10,dorsal,frex
stm,10,0,11,genus,frex
stm,10,0,12,ovate,frex
stm,10,0,13,kiangyin,frex
stm,10,0,14,birds,frex
stm,10,0,15,bull,frex
stm,10,0,16,proc,frex
stm,10,0,17,pall,frex
stm,10,0,18,slender,frex
stm,10,0,19,leaflets,frex
stm,10,0,20,ventral,frex
stm,10,1,1,lour,prob
stm,10,1,2,sin,prob
stm,10,1,3,linn,prob
stm,10,1,4,plant,prob
stm,10,1,5,cochin,prob
stm,10,1,6,canton,prob
stm,10,1,7,plants,prob
stm,10,1,8,tree,prob
stm,10,1,9,leaves,prob
stm,10,1,10,tab,prob
stm,10,1,11,cultivated,prob
stm,10,1,12,china_cochin,prob
stm,10,1,13,king,prob
stm,10,1,14,chinensis,prob
stm,10,1,15,folio,prob
stm,10,1,16,fruit,prob
stm,10,1,17,flowers,prob
stm,10,1,18,species,prob
stm,10,1,19,shi,prob
stm,10,1,20,foliis,prob
stm,10,1,1,lour,frex
stm,10,1,2,chinese_plants,frex
stm,10,1,3,flore,frex
stm,10,1,4,cultivated_china,frex
stm,10,1,5,thbg,frex
stm,10,1,6,kth,frex
stm,10,1,7,fructu,frex
stm,10,1,8,polygonum,frex
stm,10,1,9,chinense,frex
stm,10,1,10,frutex,frex
stm,10,1,11,folia,frex
stm,10,1,12,china_cochin,frex
stm,10,1,13,linn,frex
stm,10,1,14,folio,frex
stm,10,1,15,foliis,frex
stm,10,1,16,tab,frex
stm,10,1,17,dubia,frex
stm,10,1,18,jap,frex
stm,10,1,19,danes,frex
stm,10,1,20,albo,frex
stm,10,2,1,mean,prob
stm,10,2,2,temperature,prob
stm,10,2,3,sea,prob
stm,10,2,4,asia,prob
stm,10,2,5,eastern,prob
stm,10,2,6,annual,prob
stm,10,2,7,observations,prob
stm,10,2,8,peking,prob
stm,10,2,9,table,prob
stm,10,2,10,eastern_asia,prob
stm,10,2,11,northern,prob
stm,10,2,12,winter,prob
stm,10,2,13,islands,prob
stm,10,2,14,daily,prob
stm,10,2,15,latitude,prob
stm,10,2,16,summer,prob
stm,10,2,17,continent,prob
stm,10,2,18,air,prob
stm,10,2,19,magnetic,prob
stm,10,2,20,southern,prob
stm,10,2,1,temperature,frex
stm,10,2,2,magnetic,frex
stm,10,2,3,victoria,frex
stm,10,2,4,amoor,frex
stm,10,2,5,latitude,frex
stm,10,2,6,magnetism,frex
stm,10,2,7,vapour,frex
stm,10,2,8,continent,frex
stm,10,2,9,eastern_asia,frex
stm,10,2,10,nerchinsk,frex
stm,10,2,11,hourly,frex
stm,10,2,12,currents,frex
stm,10,2,13,okhotsk,frex
stm,10,2,14,maximum,frex
stm,10,2,15,cyclone,frex
stm,10,2,16,precipitation,frex
stm,10,2,17,atmospheric_pressure,frex
stm,10,2,18,mean_temperature,frex
stm,10,2,19,humidity,frex
stm,10,2,20,pressure,frex
stm,10,3,1,taels,prob
stm,10,3,2,summer,prob
stm,10,3,3,salt,prob
stm,10,3,4,cash,prob
stm,10,3,5,silver,prob
stm,10,3,6,cheo,prob
stm,10,3,7,province,prob
stm,10,3,8,road,prob
stm,10,3,9,land,prob
stm,10,3,10,spring,prob
stm,10,3,11,trade,prob
stm,10,3,12,drought,prob
stm,10,3,13,tax,prob
stm,10,3,14,provinces,prob
stm,10,3,15,chihli,prob
stm,10,3,16,autumn,prob
stm,10,3,17,honan,prob
stm,10,3,18,ing,prob
stm,10,3,19,roads,prob
stm,10,3,20,tael,prob
stm,10,3,1,taels,frex
stm,10,3,2,tax,frex
stm,10,3,3,chehkiang,frex
stm,10,3,4,tael,frex
stm,10,3,5,land_tax,frex
stm,10,3,6,tls,frex
stm,10,3,7,drought,frex
stm,10,3,8,salt,frex
stm,10,3,9,guild,frex
stm,10,3,10,cheo,frex
stm,10,3,11,likin,frex
stm,10,3,12,catties,frex
stm,10,3,13,remitted,frex
stm,10,3,14,fuhkien,frex
stm,10,3,15,honan,frex
stm,10,3,16,roads,frex
stm,10,3,17,wenchow,frex
stm,10,3,18,guilds,frex
stm,10,3,19,routes,frex
stm,10,3,20,cost,frex
stm,10,4,1,inches,prob
stm,10,4,2,coins,prob
stm,10,4,3,reverse,prob
stm,10,4,4,porcelain,prob
stm,10,4,5,black,prob
stm,10,4,6,copper,prob
stm,10,4,7,cash,prob
stm,10,4,8,white,prob
stm,10,4,9,characters,prob
stm,10,4,10,instruments,prob
stm,10,4,11,pieces,prob
stm,10,4,12,obverse,prob
stm,10,4,13,king,prob
stm,10,4,14,colour,prob
stm,10,4,15,coin,prob
stm,10,4,16,board,prob
stm,10,4,17,mint,prob
stm,10,4,18,foot,prob
stm,10,4,19,piece,prob
stm,10,4,20,game,prob
stm,10,4,1,porcelain,frex
stm,10,4,2,coins,frex
stm,10,4,3,obverse,frex
stm,10,4,4,coin,frex
stm,10,4,5,musical,frex
stm,10,4,6,musical_instruments,frex
stm,10,4,7,wares,frex
stm,10,4,8,bronze,frex
stm,10,4,9,coinage,frex
stm,10,4,10,instrument,frex
stm,10,4,11,chinese_musical,frex
stm,10,4,12,holes,frex
stm,10,4,13,reverse,frex
stm,10,4,14,chinese_musical_instruments,frex
stm,10,4,15,game,frex
stm,10,4,16,mint,frex
stm,10,4,17,brass,frex
stm,10,4,18,instruments,frex
stm,10,4,19,games,frex
stm,10,4,20,strings,frex
stm,10,5,1,government,prob
stm,10,5,2,law,prob
stm,10,5,3,foreign,prob
stm,10,5,4,shanghai,prob
stm,10,5,5,sent,prob
stm,10,5,6,shall,prob
stm,10,5,7,peking,prob
stm,10,5,8,emperor,prob
stm,10,5,9,soon,prob
stm,10,5,10,family,prob
stm,10,5,11,english,prob
stm,10,5,12,japanese,prob
stm,10,5,13,japan,prob
stm,10,5,14,foreigners,prob
stm,10,5,15,went,prob
