master_id,filename,title,author,year,decade,L1,L2,language,cleaned_full_text_path,analysis_text_path,model_source_column,model_token_count_before_df,model_token_count_after_df,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14
MASTER_00159,1858_01.txt,The Climate of Eastern Asia,"Fritsche, H.",1877,1870,Natural Sciences,Meteorology,en,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\1858_01.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\1858_01.txt,analysis_text,7485,1972,0.003488025781344808,5.8332422502427734e-5,0.021682948835817024,4.3243894424122747e-4,5.342979198408105e-4,0.3867197804143828,5.344257185013574e-4,0.21304462951584732,0.017751706597840283,0.013882468222748811,5.827129517049036e-4,0.043060405097906276,0.291136487325378,0.004098310099422068,0.0029930301525217685
MASTER_00004,1858_02.txt,"On Cyclones , or the Law of Storms","Nicolson, F. W.",1858,1850,Natural Sciences,Meteorology,en,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\1858_02.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\1858_02.txt,analysis_text,13089,3507,8.335697902495265e-5,1.0816812815646147e-6,0.523927009707499,1.7808209812096622e-4,9.87054940281707e-4,0.05130473562808622,1.5995121226104237e-4,0.015461151709688037,0.0010030043019350493,0.2909860475367726,3.0274283480014157e-5,7.741344236169241e-4,0.11373925546275826,3.24800917135721e-4,0.00104005911805814
MASTER_00002,1858_03.txt,Coins of the Ta - ts'ing or present dynasty of China *,"Wylie, A.",1858,1850,Arts and Archaeology,Numismatics,en,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\1858_03.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\1858_03.txt,analysis_text,13131,3766,1.4695738834922125e-8,3.7040074544519655e-6,2.804345985693452e-5,3.5134579344236306e-4,0.005851410153752019,0.002345834762202167,0.011466245616327957,1.7377249971901957e-4,4.139003894527255e-5,3.2853183944901346e-4,0.0042025598705267096,0.0015656769986072236,3.665858946272873e-4,0.9732435205033102,3.136386604029162e-5
MASTER_00003,1858_04.txt,Contribution to the ethnology of Eastern Asia,"Macgowan, D. J.",1858,1850,Anthropology and Social Customs,Ethnology,en,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\1858_04.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\1858_04.txt,analysis_text,2097,509,1.281183427540389e-4,6.678956354961052e-4,0.03220216452579215,0.0016593900551982192,0.017660055325785448,0.20385455646507453,0.11939233596943548,0.02366264874649499,0.12713062151377513,0.02290643295126504,0.011185339382550502,0.040532068331842926,0.09620476680942762,0.10196936204816544,0.2008442438969424
MASTER_00001,1858_05.txt,"A Buddhist Shastra , Translated from the Chinese","Edkins, J.",1858,1850,Religion and Philosophy,Buddhism,en,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\1858_05.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\1858_05.txt,analysis_text,7437,1961,6.293898308534952e-8,1.0183381641270177e-5,2.2063219639969012e-4,8.250075234428624e-6,2.7125256669532444e-4,0.11118773006671766,3.227640186485611e-4,0.7592098826637255,0.0022758402245185243,2.9357512908177268e-5,9.378470122879106e-4,0.12434727551468426,9.114048378730887e-4,5.8535655140209045e-5,2.0898133454195017e-4
MASTER_00006,1858_06.txt,Visit to Simoda and Hakodadi in Japan,"Foote, A. H.",1858,1850,Geography and Travel,Travel,en,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\1858_06.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\1858_06.txt,analysis_text,4449,1201,9.608492595858635e-6,3.196280925646408e-6,0.012173287725775202,7.067649862558635e-4,0.003054277054458461,4.7191131237389356e-4,1.913880974706728e-4,8.611224215930084e-4,8.185879211513712e-4,0.19446512171804525,3.6258418149173516e-4,3.0581711714261224e-4,0.7022874838126922,0.014582491328236455,0.06970635754979186
MASTER_00213,1858_07_record_of_occurence.txt,Where was Ta - ts ' in ?,"Allen, H. J.",1886,1880,Geography and Travel,Geography,en,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\1858_07_record_of_occurence.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\1858_07_record_of_occurence.txt,analysis_text,5454,1538,7.1369498759656015e-6,9.175379081281046e-7,0.018940999840163047,0.004772554355327939,3.9821642338705936e-4,0.014871498869180612,0.001323160035369753,0.001027008766928777,7.848134974486873e-4,0.0027690908754997483,2.786509097787546e-4,0.13915333650272785,0.7763132013666002,0.03910952699372277,2.498870760811344e-4
MASTER_00016,1859_01.txt,Narrative of a visit to the island of Formosa,"Swinhoe, R.",1859,1850,Geography and Travel,Travel,en,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\1859_01.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\1859_01.txt,analysis_text,10353,2734,3.0295074069055923e-5,3.2011975738791923e-7,2.3752903021830057e-4,2.447036454072185e-4,2.4893853451652114e-4,3.3642214036085046e-5,2.557287301505417e-5,1.178522614960135e-4,1.1340034621455437e-4,0.5903568044030466,1.974062459980888e-4,1.7491023637116274e-5,0.11340641313937586,7.12091147963512e-5,0.2948984219744157
MASTER_00010,1859_02.txt,Notices of the character and writings of Meh tsi,"Edkins, J.",1859,1850,Religion and Philosophy,Philosophy,en,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\1859_02.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\1859_02.txt,analysis_text,2439,695,9.777021505250462e-10,3.4226918302875834e-8,8.10097052775706e-5,4.504598815941678e-6,9.094756286501624e-5,0.0013535539918618038,1.6768242883609643e-4,0.9392407854958474,1.6102982945808596e-5,7.545175116756793e-5,0.001167363589990042,3.4949126725310924e-4,0.0562047528126357,2.1952550552369998e-4,0.0010287931023593758
MASTER_00007,1859_03.txt,Chinese bibliography,"Macgowan, D. J.",1859,1850,Literature and Language,Literature,en,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\1859_03.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\1859_03.txt,analysis_text,2850,842,2.0762625449784163e-5,6.893767273400602e-5,3.9093165175209915e-5,0.012855814331392525,3.7553955953492895e-4,0.002325138859631644,2.9643105739644285e-4,2.2472356137113108e-4,2.8952352680131115e-4,0.0010538195884529245,0.0019784765482761166,0.8418328201878377,0.014990280803971075,0.12309873203324626,5.499064787292846e-4
