K,topic_id,rank,theta,master_id,title,author,year,decade,L1,topic_label
15,0,1,0.9993860320678498,,,,1913,1910,Unknown,"FREX: skvortzow, styan, length_breadth, north_manchuria, genus, breadth, kiangyin, swinhoe, dorsal, ovate | Prob: species, length, leaves, white, genus, manchuria, flowers, birds, breadth, yellow | Representative: Collection of birds in the Shanghai Museum, The; The Family names; Then and now; Notes on some new species of birds found on the island of Formosa"
15,0,2,0.999330605614578,MASTER_00323,"Collection of birds in the Shanghai Museum, The","Touche, J. D. D. La",1909,1900,Natural Sciences,"FREX: skvortzow, styan, length_breadth, north_manchuria, genus, breadth, kiangyin, swinhoe, dorsal, ovate | Prob: species, length, leaves, white, genus, manchuria, flowers, birds, breadth, yellow | Representative: Collection of birds in the Shanghai Museum, The; The Family names; Then and now; Notes on some new species of birds found on the island of Formosa"
15,0,3,0.9976125337306464,MASTER_00217,The Family names,"Giles, H. A.",1886,1880,Literature and Language,"FREX: skvortzow, styan, length_breadth, north_manchuria, genus, breadth, kiangyin, swinhoe, dorsal, ovate | Prob: species, length, leaves, white, genus, manchuria, flowers, birds, breadth, yellow | Representative: Collection of birds in the Shanghai Museum, The; The Family names; Then and now; Notes on some new species of birds found on the island of Formosa"
15,0,4,0.9960629252692156,MASTER_00457,Then and now,"Hudson, E.",1923,1920,Literature and Language,"FREX: skvortzow, styan, length_breadth, north_manchuria, genus, breadth, kiangyin, swinhoe, dorsal, ovate | Prob: species, length, leaves, white, genus, manchuria, flowers, birds, breadth, yellow | Representative: Collection of birds in the Shanghai Museum, The; The Family names; Then and now; Notes on some new species of birds found on the island of Formosa"
15,0,5,0.9956088675470552,MASTER_00015,Notes on some new species of birds found on the island of Formosa,"Swinhoe, R.",1859,1850,Natural Sciences,"FREX: skvortzow, styan, length_breadth, north_manchuria, genus, breadth, kiangyin, swinhoe, dorsal, ovate | Prob: species, length, leaves, white, genus, manchuria, flowers, birds, breadth, yellow | Representative: Collection of birds in the Shanghai Museum, The; The Family names; Then and now; Notes on some new species of birds found on the island of Formosa"
15,0,6,0.9955309816189344,MASTER_00015,Notes on some new species of birds found on the island of Formosa,"Swinhoe, R.",1859,1850,Natural Sciences,"FREX: skvortzow, styan, length_breadth, north_manchuria, genus, breadth, kiangyin, swinhoe, dorsal, ovate | Prob: species, length, leaves, white, genus, manchuria, flowers, birds, breadth, yellow | Representative: Collection of birds in the Shanghai Museum, The; The Family names; Then and now; Notes on some new species of birds found on the island of Formosa"
15,0,7,0.9950245540059904,MASTER_00517,"Genus gueldenstaedtia (leguminoseae), The","Jacot, A. P.",1927,1920,Natural Sciences,"FREX: skvortzow, styan, length_breadth, north_manchuria, genus, breadth, kiangyin, swinhoe, dorsal, ovate | Prob: species, length, leaves, white, genus, manchuria, flowers, birds, breadth, yellow | Representative: Collection of birds in the Shanghai Museum, The; The Family names; Then and now; Notes on some new species of birds found on the island of Formosa"
15,0,8,0.9928644850648772,MASTER_00558,Contributions from the Herbarium of the Shantung Christian University,"Jacot, A. P.",1930,1930,Natural Sciences,"FREX: skvortzow, styan, length_breadth, north_manchuria, genus, breadth, kiangyin, swinhoe, dorsal, ovate | Prob: species, length, leaves, white, genus, manchuria, flowers, birds, breadth, yellow | Representative: Collection of birds in the Shanghai Museum, The; The Family names; Then and now; Notes on some new species of birds found on the island of Formosa"
15,0,9,0.9909233360276796,MASTER_00481,"Oribatoidea Sinensis, Part III","Jacot, A. P.",1924,1920,Natural Sciences,"FREX: skvortzow, styan, length_breadth, north_manchuria, genus, breadth, kiangyin, swinhoe, dorsal, ovate | Prob: species, length, leaves, white, genus, manchuria, flowers, birds, breadth, yellow | Representative: Collection of birds in the Shanghai Museum, The; The Family names; Then and now; Notes on some new species of birds found on the island of Formosa"
15,0,10,0.990436329226517,MASTER_00413,Formosa,,1919,1910,Geography and Travel,"FREX: skvortzow, styan, length_breadth, north_manchuria, genus, breadth, kiangyin, swinhoe, dorsal, ovate | Prob: species, length, leaves, white, genus, manchuria, flowers, birds, breadth, yellow | Representative: Collection of birds in the Shanghai Museum, The; The Family names; Then and now; Notes on some new species of birds found on the island of Formosa"
