K,topic_id,L1,mean_topic_proportion,article_count,article_coverage,topic_label
15,0,Natural Sciences,0.21046846005680955,43,0.37719298245614036,"FREX: skvortzow, styan, length_breadth, north_manchuria, genus, breadth, kiangyin, swinhoe, dorsal, ovate | Prob: species, length, leaves, white, genus, manchuria, flowers, birds, breadth, yellow | Representative: Collection of birds in the Shanghai Museum, The; The Family names; Then and now; Notes on some new species of birds found on the island of Formosa"
15,0,Unknown,0.1027931142833057,6,0.16666666666666666,"FREX: skvortzow, styan, length_breadth, north_manchuria, genus, breadth, kiangyin, swinhoe, dorsal, ovate | Prob: species, length, leaves, white, genus, manchuria, flowers, birds, breadth, yellow | Representative: Collection of birds in the Shanghai Museum, The; The Family names; Then and now; Notes on some new species of birds found on the island of Formosa"
15,0,Literature and Language,0.04548178615229448,4,0.07017543859649122,"FREX: skvortzow, styan, length_breadth, north_manchuria, genus, breadth, kiangyin, swinhoe, dorsal, ovate | Prob: species, length, leaves, white, genus, manchuria, flowers, birds, breadth, yellow | Representative: Collection of birds in the Shanghai Museum, The; The Family names; Then and now; Notes on some new species of birds found on the island of Formosa"
15,0,Anthropology and Social Customs,0.04148437408479618,6,0.06818181818181818,"FREX: skvortzow, styan, length_breadth, north_manchuria, genus, breadth, kiangyin, swinhoe, dorsal, ovate | Prob: species, length, leaves, white, genus, manchuria, flowers, birds, breadth, yellow | Representative: Collection of birds in the Shanghai Museum, The; The Family names; Then and now; Notes on some new species of birds found on the island of Formosa"
15,0,"Economy, Trade, and Technology",0.02768599692647506,4,0.12121212121212122,"FREX: skvortzow, styan, length_breadth, north_manchuria, genus, breadth, kiangyin, swinhoe, dorsal, ovate | Prob: species, length, leaves, white, genus, manchuria, flowers, birds, breadth, yellow | Representative: Collection of birds in the Shanghai Museum, The; The Family names; Then and now; Notes on some new species of birds found on the island of Formosa"
15,0,Geography and Travel,0.018720899387737033,3,0.034482758620689655,"FREX: skvortzow, styan, length_breadth, north_manchuria, genus, breadth, kiangyin, swinhoe, dorsal, ovate | Prob: species, length, leaves, white, genus, manchuria, flowers, birds, breadth, yellow | Representative: Collection of birds in the Shanghai Museum, The; The Family names; Then and now; Notes on some new species of birds found on the island of Formosa"
15,0,Arts and Archaeology,0.006886373288065405,3,0.047619047619047616,"FREX: skvortzow, styan, length_breadth, north_manchuria, genus, breadth, kiangyin, swinhoe, dorsal, ovate | Prob: species, length, leaves, white, genus, manchuria, flowers, birds, breadth, yellow | Representative: Collection of birds in the Shanghai Museum, The; The Family names; Then and now; Notes on some new species of birds found on the island of Formosa"
15,0,Religion and Philosophy,0.0025502615122688344,0,0.0,"FREX: skvortzow, styan, length_breadth, north_manchuria, genus, breadth, kiangyin, swinhoe, dorsal, ovate | Prob: species, length, leaves, white, genus, manchuria, flowers, birds, breadth, yellow | Representative: Collection of birds in the Shanghai Museum, The; The Family names; Then and now; Notes on some new species of birds found on the island of Formosa"
15,0,History and Chronology,0.0010779105120106891,0,0.0,"FREX: skvortzow, styan, length_breadth, north_manchuria, genus, breadth, kiangyin, swinhoe, dorsal, ovate | Prob: species, length, leaves, white, genus, manchuria, flowers, birds, breadth, yellow | Representative: Collection of birds in the Shanghai Museum, The; The Family names; Then and now; Notes on some new species of birds found on the island of Formosa"
15,0,"Politics, Government, and Law",0.00013112311421038084,0,0.0,"FREX: skvortzow, styan, length_breadth, north_manchuria, genus, breadth, kiangyin, swinhoe, dorsal, ovate | Prob: species, length, leaves, white, genus, manchuria, flowers, birds, breadth, yellow | Representative: Collection of birds in the Shanghai Museum, The; The Family names; Then and now; Notes on some new species of birds found on the island of Formosa"
15,0,Military,7.930540525258456e-05,0,0.0,"FREX: skvortzow, styan, length_breadth, north_manchuria, genus, breadth, kiangyin, swinhoe, dorsal, ovate | Prob: species, length, leaves, white, genus, manchuria, flowers, birds, breadth, yellow | Representative: Collection of birds in the Shanghai Museum, The; The Family names; Then and now; Notes on some new species of birds found on the island of Formosa"
