master_id,filename,title,author,year,decade,L1,L2,language,cleaned_full_text_path,analysis_text_path,model_source_column,model_token_count_before_df,model_token_count_after_df,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19
MASTER_00159,1858_01.txt,The Climate of Eastern Asia,"Fritsche, H.",1877,1870,Natural Sciences,Meteorology,en,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\1858_01.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\1858_01.txt,analysis_text,7485,1972,6.03657572283689e-4,0.0016130470448438216,0.013079531887929508,4.2021972356716235e-4,3.331181314127927e-4,0.0040495500002808785,4.834175198931445e-4,0.09044805462104155,0.0027815035890891206,2.785392421004752e-4,2.9143356890402986e-4,4.734942315805795e-4,0.13430119335887103,4.601023401338373e-5,0.001307547157118174,1.4860826846945492e-4,0.3860763658780058,0.27331874559200675,3.239761626713092e-4,0.08962198621591722
MASTER_00004,1858_02.txt,"On Cyclones , or the Law of Storms","Nicolson, F. W.",1858,1850,Natural Sciences,Meteorology,en,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\1858_02.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\1858_02.txt,analysis_text,13089,3507,0.002993527970116921,7.79279574010888e-6,0.4807878694694398,3.7103173977047737e-4,3.087871181999954e-4,0.0010707569242177806,2.7218356578068128e-5,0.0014820596716119416,7.961375376149308e-5,0.15496357324987978,7.347156847312551e-6,2.1990439290533185e-4,0.013814766074892978,1.0562706434050246e-5,7.133468588505248e-4,1.0812405635814437e-5,0.02113175010912443,0.12448507753683699,2.5765179518266397e-5,0.19748843652963793
MASTER_00002,1858_03.txt,Coins of the Ta - ts'ing or present dynasty of China *,"Wylie, A.",1858,1850,Arts and Archaeology,Numismatics,en,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\1858_03.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\1858_03.txt,analysis_text,13131,3766,7.217983529274623e-8,1.0881380257095847e-5,7.737433923192845e-8,4.842081127483734e-5,1.3480042857600153e-4,2.3608052106992958e-7,4.6209017075104174e-6,8.251146716490035e-7,1.0171614865776413e-7,3.0761207439563125e-6,1.9598549145898114e-5,0.0010382251834881832,1.2258477347763978e-5,2.4763914183918758e-5,1.0943166278025703e-5,5.312946390535822e-7,4.00272239703027e-4,1.3985412544619414e-4,0.9980516890679803,9.875187371206387e-5
MASTER_00003,1858_04.txt,Contribution to the ethnology of Eastern Asia,"Macgowan, D. J.",1858,1850,Anthropology and Social Customs,Ethnology,en,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\1858_04.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\1858_04.txt,analysis_text,2097,509,0.0021513730564655486,9.642418450293884e-5,0.029126205100431603,0.0010997175670820444,0.005974881077527132,0.013079366496016882,0.004267366896390181,0.17714221523137347,0.0222997030869936,0.005620371352835894,0.11008954896516551,0.017763094292967917,0.003090767860976673,0.008814795127877004,0.25557733355353607,6.41723415946967e-4,0.0851268279963282,0.11723004994001307,0.007670067822894877,0.13313816697467423
MASTER_00001,1858_05.txt,"A Buddhist Shastra , Translated from the Chinese","Edkins, J.",1858,1850,Religion and Philosophy,Buddhism,en,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\1858_05.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\1858_05.txt,analysis_text,7437,1961,2.2369418243311617e-6,5.810091825973211e-7,2.76475864251237e-5,9.24934089986924e-6,1.2327213035282023e-4,1.667135743021618e-5,9.219893758671164e-4,0.05083241936617757,9.82039367324234e-6,4.7613059434815345e-6,7.42537580531042e-5,0.0014790644165048965,0.5380531835774093,9.254938831244056e-4,2.965644315683328e-4,1.4183665470517102e-5,0.40677066844934967,3.2141953044634866e-4,5.820176929049693e-6,1.1069930336809073e-4
MASTER_00006,1858_06.txt,Visit to Simoda and Hakodadi in Japan,"Foote, A. H.",1858,1850,Geography and Travel,Travel,en,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\1858_06.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\1858_06.txt,analysis_text,4449,1201,0.0018715290713192747,4.407071248532817e-6,0.010317871256120156,5.170492862272752e-4,0.0011636299223955482,0.0019773754598107823,8.284261178283589e-5,6.765923603258147e-5,3.558548427027677e-4,0.15331090686599427,5.823424999707345e-5,2.018526192153931e-4,5.776420715490596e-4,4.0407694580158425e-4,0.04509887651419539,7.947621620134173e-6,0.001107100877674953,0.7416399231778801,2.794547438437482e-4,0.04095576555458883
MASTER_00213,1858_07_record_of_occurence.txt,Where was Ta - ts ' in ?,"Allen, H. J.",1886,1880,Geography and Travel,Geography,en,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\1858_07_record_of_occurence.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\1858_07_record_of_occurence.txt,analysis_text,5454,1538,8.142100172128631e-6,3.5126011350725876e-5,0.017495601352721556,0.004819486122164834,9.78024633814603e-6,3.843601372542376e-5,0.015465882351997551,2.2351636120688335e-4,2.7411289144372376e-4,3.525484954951993e-4,7.458980015660796e-4,4.4821429492975824e-4,6.781274050194128e-4,5.5369264757552455e-5,5.002801022823292e-4,2.5193499321300298e-6,0.12400246389630598,0.8321105005299996,0.0011649330489857939,0.0015690621596051771
MASTER_00016,1859_01.txt,Narrative of a visit to the island of Formosa,"Swinhoe, R.",1859,1850,Geography and Travel,Travel,en,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\1859_01.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\1859_01.txt,analysis_text,10353,2734,0.07232397093429138,3.101141382708537e-6,2.1777845420400323e-4,2.341014366925104e-4,5.690863581900671e-4,8.323492047974466e-4,1.7236569560464553e-6,7.778887500484578e-7,3.079919745678505e-5,0.7697523211693565,1.5114014220740564e-6,9.936024111258244e-5,1.1052403035372129e-4,4.961845991552595e-4,0.03240393062993457,5.297658716665161e-6,2.408028572824205e-5,0.1216988262465591,1.8278688114348742e-5,0.0011759967768256885
MASTER_00010,1859_02.txt,Notices of the character and writings of Meh tsi,"Edkins, J.",1859,1850,Religion and Philosophy,Philosophy,en,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\1859_02.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\1859_02.txt,analysis_text,2439,695,4.3764250971924676e-5,1.2172619997614604e-7,2.2691057479483297e-5,1.3934408691717752e-5,3.860123586259793e-4,5.166034606842528e-6,2.0450661522349357e-4,0.0011277725442110803,3.2104598256797192e-6,1.3981366339894577e-4,1.5932507160195336e-6,6.775160265863892e-5,0.9337373621644757,0.003586423015412441,0.05451766766798273,5.563677244220408e-6,0.003963701558124155,0.0019616176066607773,9.242682429945828e-6,2.0208365506060736e-4
MASTER_00007,1859_03.txt,Chinese bibliography,"Macgowan, D. J.",1859,1850,Literature and Language,Literature,en,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\1859_03.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\1859_03.txt,analysis_text,2850,842,1.0084984336547228e-4,7.153406068752876e-5,9.511822749984974e-5,0.04824244573535717,2.3396859678621372e-4,5.882275863267401e-4,8.980270097497015e-4,7.52689318900889e-4,2.3253343895109495e-4,0.0010636334062831133,0.04288873856910193,0.023710604987609445,0.0010722533913305706,7.255456760310486e-4,9.524297643201127e-4,1.7936788662539086e-4,0.6047446708737002,0.21970170105149278,0.039690729835533824,0.014054930740346843
