importance_rank,model,K,topic_id,topic_size,topic_size_share,article_count,article_coverage,semantic_coherence,exclusivity,interpretability,topic_words,prob_words,coverage_score_norm,size_score_norm,interpretability_score_norm,importance_score,topic_label
1,stm,20,16,60.3365259494892,0.1121496764860393,191,0.3550185873605948,-21.687431777182567,9.702151495044689,0.843132959608377,"library, vols, bithe, chinese_law, student, libraries, languages, manchu, vide, writing, literature, tones","manchu, art, characters, book, language, words, books, study, works, word, written, law",1.0,1.0,0.9357964095183008,0.9785988031727668,"FREX: library, vols, bithe, chinese_law, student, libraries, languages, manchu, vide, writing | Prob: manchu, art, characters, book, language, words, books, study, works, word | Representative: Can Chinese writing be simplified ?; Western transcription of Chinese, The; Why the sinologue should study manchu ?; Essay on Manchu literature"
2,stm,20,12,49.057058109359104,0.0911841228798496,148,0.275092936802974,-25.09982911823901,9.706812531203113,0.8228015926831933,"destiny, moral, doctrine, duke, virtue, lao_tzu, confucius, sages, mencius, universe, principles, plato","confucius, nature, heaven, king, tzu, things, mind, music, world, human, tao, virtue",0.7688172043010754,0.7988381228880457,0.8902947961167063,0.8193167077686091,"FREX: destiny, moral, doctrine, duke, virtue, lao_tzu, confucius, sages, mencius, universe | Prob: confucius, nature, heaven, king, tzu, things, mind, music, world, human | Representative: Chinese sophists, The; Chinese chess *; Wei - ch ' i *; Destiny, fate"
3,stm,20,13,53.87099194960017,0.1001319552966545,167,0.3104089219330855,-30.98701543948306,9.598257827801316,0.7163955979346469,"altar, hall, eunuchs, incense, eunuch, sacrifice, gods, god, worshipped, magistrate, offerings, prayer","emperor, heaven, god, temple, hall, city, dragon, worship, palace, shall, spirits, moon",0.870967741935484,0.8846914611235915,0.652158105431964,0.8026057694970131,"FREX: altar, hall, eunuchs, incense, eunuch, sacrifice, gods, god, worshipped, magistrate | Prob: emperor, heaven, god, temple, hall, city, dragon, worship, palace, shall | Representative: Chinese poetry and its connotations *; Family law of the Chinese, The; State religion of china during the Manchu Dynasty, The *; Marriage maker, The"
4,stm,20,11,37.42350269547658,0.0695604139321126,139,0.258364312267658,-25.60574067552262,9.76915748424102,0.8575051499315615,"tombs, tomb, monuments, monument, tablet, architecture, sung_dynasty, inscription, inscriptions, bottles, porcelain, porcelains","stone, sung, ming, han, ang, emperor, ien, ing, yuan, hsi, chou, yang",0.7204301075268817,0.5913613271994687,0.9679613815158132,0.7599176054140545,"FREX: tombs, tomb, monuments, monument, tablet, architecture, sung_dynasty, inscription, inscriptions, bottles | Prob: stone, sung, ming, han, ang, emperor, ien, ing, yuan, hsi | Representative: ON THE CHINESE COINS AND SMALL PORCELAIN BOTTLES FOUND IN EGYPT.; The Mystery of Ta - ts ' in; On the Stone figures at Chinese tombs and the offering of living sacrifices; Stone drums of the Chou Dynasty, The *"
5,stm,20,9,39.114672588756456,0.0727038523954581,127,0.2360594795539033,-32.84073815987499,9.8432225272163,0.8536632183415922,"left_bank, channel, right_bank, mile, village, bore, keang, gorge, bank, stream, journey, miles","river, feet, miles, city, bank, journey, stream, hills, island, village, distance, shan",0.6559139784946236,0.6215222279679468,0.959363135929796,0.7455997807974555,"FREX: left_bank, channel, right_bank, mile, village, bore, keang, gorge, bank, stream | Prob: river, feet, miles, city, bank, journey, stream, hills, island, village | Representative: Sailing directions for the Yang - tsze Kiang, from Woosung to Hankow; Itinerary of a jouney through the Provinces of Hoo - pih, Sze - chuen and Shen - se; The Bore of the Tsien - tang Kiang (Hang - chau Bay); Notes on a portion of the old bed of the Yellow River an the water supply of the Grand Canal"
6,stm,20,14,30.40400187140414,0.0565130146308627,128,0.2379182156133829,-25.257880232579595,9.78869510759311,0.8718208820448132,"marriage, husband, parents, children, wife, girls, wear, marry, child, woman, fox, coffin","family, law, children, wife, marriage, women, husband, son, father, death, parents, dead",0.6612903225806451,0.4661731550114592,1.0,0.7091544925307014,"FREX: marriage, husband, parents, children, wife, girls, wear, marry, child, woman | Prob: family, law, children, wife, marriage, women, husband, son, father, death | Representative: The Family law of the Chinese and its comparative relations with that of other nations; The Fish - skin Tartars; Family law of the Chinese, The; Sketches of the Miau - tsze"
7,stm,20,7,34.05557481940479,0.0633003249431315,113,0.2100371747211896,-29.227960807500924,9.61404381537426,0.7380034462989724,"myth, lunar, sanscrit, aryan, parthia, exogamy, jupiter, calendar, cycle, stars, greek, solar","king, modern, chow, sun, indian, origin, india, language, moon, word, race, greek",0.5806451612903226,0.5312965525903446,0.7005164851873348,0.6041527330226674,"FREX: myth, lunar, sanscrit, aryan, parthia, exogamy, jupiter, calendar, cycle, stars | Prob: king, modern, chow, sun, indian, origin, india, language, moon, word | Representative: A Comparative table of the ancient lunar asterisms; The Ancient language and cult of the Chows ; critical and exegetical notes on the "" Shi- king ""; THE CHINESE CALENDAR: ITS ORIGIN, HISTORY AND CONNECTIONS.; Short notes on the identification of the Yue - ti and Kiang tribes of ancient Chinese history"
8,stm,20,19,37.3409124992436,0.0694069005562148,114,0.2118959107806691,-34.86296007471098,9.576519591376217,0.6767648268391292,"coal, limestone, mineral, rocks, geological, formation, geology, sandstone, strata, desert, carboniferous, chemical","coal, sea, feet, river, miles, rocks, iron, island, mountains, surface, shan, province",0.586021505376344,0.5898883854666893,0.5634644119960492,0.5797914342796943,"FREX: coal, limestone, mineral, rocks, geological, formation, geology, sandstone, strata, desert | Prob: coal, sea, feet, river, miles, rocks, iron, island, mountains, surface | Representative: Notes on the coal and Iron Ore deposits of Central Shansi; A Sketch of the Geology of Quang -tung Province; Researches into the geology of Formosa *; China's petrified sun - rays"
9,stm,20,17,47.99814065979665,0.0892158748323357,147,0.2732342007434944,-27.85967068134141,9.141263010210643,0.4580676056875615,"treaty, commissioners, ships, settlement, forts, ward, foreigners, treaties, retrospect, party, ministers, policy","government, foreign, emperor, sent, peking, shanghai, japanese, japan, canton, soon, officers, english",0.7634408602150538,0.7799530278747219,0.0740198780667706,0.539137922052182,"FREX: treaty, commissioners, ships, settlement, forts, ward, foreigners, treaties, retrospect, party | Prob: government, foreign, emperor, sent, peking, shanghai, japanese, japan, canton, soon | Representative: Recollections of China prior to 1840; Retrospect of events in China and Japan, 1868; Retrospect of events in China and Japan, 1869, 1870; Narrative of the American Embassy to Peking"
10,stm,20,18,15.876165927758665,0.0295096020962056,35,0.0650557620817843,-47.03478409460615,9.958567890327954,0.8277974672311625,"currency, obverse, coins, coin, coinage, tael, reverse, guild, mint, obverse_reverse, annam, silver","cash, silver, coins, reverse, currency, copper, obverse, value, gold, coin, mint, tael",0.1612903225806451,0.2070787730583707,0.901475566849981,0.423281554162999,"FREX: currency, obverse, coins, coin, coinage, tael, reverse, guild, mint, obverse_reverse | Prob: cash, silver, coins, reverse, currency, copper, obverse, value, gold, coin | Representative: Coins of the Republic of China *; Currency in China *; Coinage of Corea, The *; Coins of the Ta - ts'ing or present dynasty of China *"
11,stm,20,10,16.45693100058336,0.0305890910791512,66,0.1226765799256505,-45.02744378834674,9.79920881347169,0.743944158686356,"yuan_shi, khan, rashid, tom, chap, mongols, mongol, central_western, central_western_asia, uigurs, medieval, western_asia","shi, city, yuan, mongol, khan, emperor, mongols, river, century, polo, asia, sent",0.3279569892473118,0.2174363354776568,0.7138118036661906,0.419735042797053,"FREX: yuan_shi, khan, rashid, tom, chap, mongols, mongol, central_western, central_western_asia, uigurs | Prob: shi, city, yuan, mongol, khan, emperor, mongols, river, century, polo | Representative: Notices of the mediaeval geography and history of Central and Western Asia *; Notices of Christianity in China. Extracted from Marco Polo *; Elucidations of Marco Polo's travels in North China, drawn from Chinese sources; The Intercourse of China with Central and Western Asia in the Second Century B.C."
12,stm,20,5,19.43090136930142,0.0361169170433111,61,0.1133828996282527,-43.673931412519984,9.744342456956394,0.7195741117980873,"leaflets, ventral, ovate, slender, glabrous, tibetan, hairs, apex, pagodas, bristle, lanceolate, stipules","leaves, species, flowers, tibetan, tai, slender, base, tibet, lower, white, length, upper",0.3010752688172043,0.2704751375138844,0.6592716216819082,0.4102740093376657,"FREX: leaflets, ventral, ovate, slender, glabrous, tibetan, hairs, apex, pagodas, bristle | Prob: leaves, species, flowers, tibetan, tai, slender, base, tibet, lower, white | Representative: Shantung foraminifera; Then and now; Oribatoidea Sinensis, Part III; The Family names"
13,stm,20,4,17.17860354152262,0.0319304898541312,63,0.1171003717472119,-57.00996076685888,9.900055788507885,0.7242332588702227,"wares, musical, musical_instruments, chinese_musical_instruments, chinese_musical, instrument, instruments, holes, games, bell, pipe, strings","inches, instruments, instrument, wood, musical, bamboo, colour, foot, wares, porcelain, inch, red",0.3118279569892473,0.230306889749641,0.6696987960887054,0.4039445476091979,"FREX: wares, musical, musical_instruments, chinese_musical_instruments, chinese_musical, instrument, instruments, holes, games, bell | Prob: inches, instruments, instrument, wood, musical, bamboo, colour, foot, wares, porcelain | Representative: Music of China, The *; Chinese ideas of antiques; Short notes on Chinese instruments of music *; Chinese Embroidery and Other Art Textile Work"
14,stm,20,2,9.457063391949632,0.0175781847434008,25,0.0464684014869888,-44.631307625436506,9.885616530815067,0.7994967661296711,"magnetic, temperature, victoria, magnetism, amoor, vapour, eastern_asia, continent, currents, nerchinsk, hourly, monthly","temperature, mean, asia, eastern, annual, sea, peking, observations, eastern_asia, table, northern, daily",0.1075268817204301,0.092598308751062,0.8381385779867734,0.3460879228194218,"FREX: magnetic, temperature, victoria, magnetism, amoor, vapour, eastern_asia, continent, currents, nerchinsk | Prob: temperature, mean, asia, eastern, annual, sea, peking, observations, eastern_asia, table | Representative: The Climate of Eastern Asia; Meteorological observations, April - December 1872; Periodical change of terrestrial magnetism *; Meteorological tables, from observations made in Japan"
15,stm,20,3,13.757555257803809,0.0255716640479624,46,0.0855018587360594,-58.762886065568125,9.896225086307975,0.7099808982172827,"tax, chehkiang, land_tax, drought, salt, likin, fuhkien, remitted, cheo, roads, taels, tls","summer, taels, salt, road, spring, drought, cheo, land, autumn, tax, province, roads",0.2204301075268817,0.1692947476701111,0.6378020029770285,0.3425089527246738,"FREX: tax, chehkiang, land_tax, drought, salt, likin, fuhkien, remitted, cheo, roads | Prob: summer, taels, salt, road, spring, drought, cheo, land, autumn, tax | Representative: Droughts in China, A. D. 620-1643; Chinese revenue; The Salt revenue of China; Salt administration of Ssuch'uan, The"
16,stm,20,0,15.50758806892658,0.0288245131392687,35,0.0650557620817843,-54.27727333412851,9.866608059535762,0.7223361312913024,"styan, kiangyin, swinhoe, alligator, genus, chinkiang, pall, flying_fish, temm, bird, gould, flying","genus, species, birds, bird, chinkiang, winter, family, fish, styan, black, white, brown",0.1612903225806451,0.2005054297947127,0.665453023239925,0.3424162585384276,"FREX: styan, kiangyin, swinhoe, alligator, genus, chinkiang, pall, flying_fish, temm, bird | Prob: genus, species, birds, bird, chinkiang, winter, family, fish, styan, black | Representative: Collection of birds in the Shanghai Museum, The; Collection of Chinese reptiles in the Shanghai Museum, The; Notes on some new species of birds found on the island of Formosa; Some notes on land - birds, including also general remarks on the birds observed at sea on the coast of China in 1916"
17,stm,20,15,7.27142471470227,0.0135156593210079,23,0.0427509293680297,-42.81220749425329,9.733578522600627,0.7188433954490638,"jap, infra, shi_king, hai_king, shuo_wen, shan_hai, eaten, supra, synonym, siebold, vegetable, kuo","plant, leaves, tree, king, shi, flowers, shu, fruit, plants, family, white, mentioned",0.096774193548387,0.0536188830161598,0.6576362779816131,0.2693431181820533,"FREX: jap, infra, shi_king, hai_king, shuo_wen, shan_hai, eaten, supra, synonym, siebold | Prob: plant, leaves, tree, king, shi, flowers, shu, fruit, plants, family | Representative: Chinese names of plants; Plants from Peitaiho; Java; Corea"
18,stm,20,1,4.264928278660948,0.0079273759826411,5,0.0092936802973977,-55.224571789733815,9.894262552495482,0.7328185623158628,"lour, china_cochin, linn, danes, folio, tab, foliis, martini, osbeck, chusan, flor, flore","lour, linn, sin, cochin, canton, tab, plant, china_cochin, plants, folio, chinensis, foliis",0.0,0.0,0.6889127112059924,0.2296375704019974,"FREX: lour, china_cochin, linn, danes, folio, tab, foliis, martini, osbeck, chusan | Prob: lour, linn, sin, cochin, canton, tab, plant, china_cochin, plants, folio | Representative: Early European researches into the flora of China; Contribution to the nomenclature of Chinese plants; Chinese names of plants; Bamboos in China"
19,stm,20,6,18.68692548260305,0.0347340622353216,54,0.1003717472118959,-95.2849332478768,9.835961528671955,0.4249934971400143,"garnier, tong_king, prophet, moslems, noi, moslem, mohammed, nous, hua_ching, bishop, son_king, thou","king, son, mohammed, tong, les, prophet, religion, tong_king, garnier, bishop, father, gate",0.2634408602150537,0.2572068177655169,0.0,0.1735492259935235,"FREX: garnier, tong_king, prophet, moslems, noi, moslem, mohammed, nous, hua_ching, bishop | Prob: king, son, mohammed, tong, les, prophet, religion, tong_king, garnier, bishop | Representative: Narrative of recent events in Tong - king; Corea; Legends of the ancient Mazdayacnian prophets, and the story of Zoroaster; Retrospect of events in China, 1873"
20,stm,20,8,10.510531823656963,0.0195363045049385,27,0.0501858736059479,-91.72300822934828,9.915448639311313,0.4978197549821541,"tungus, orn, goldi, skvortzow, length_breadth, zool, north_manchuria, manchuria, breadth, harbin, bull, proc","manchuria, tungus, length, breadth, northern, goldi, rice, length_breadth, fruits, russian, orn, groups",0.1182795698924731,0.111386224121189,0.1629852159971265,0.1308836700035962,"FREX: tungus, orn, goldi, skvortzow, length_breadth, zool, north_manchuria, manchuria, breadth, harbin | Prob: manchuria, tungus, length, breadth, northern, goldi, rice, length_breadth, fruits, russian | Representative: Partial bibliography of Chinese birds, A; Corea; Northern Tungus migrations in the Far East; Recent research upon the mammalia of North China"
