decade,model,K,topic_id,mean_topic_proportion,article_count,article_coverage,topic_words,topic_label
1850,stm,30,0,0.0062680640519529,2,0.0606060606060606,"styan, kiangyin, chinkiang, genus, warbler, resident, yangtse_valley, swinhoe","FREX: styan, kiangyin, chinkiang, genus, warbler, resident, yangtse_valley, swinhoe, shanghai_museum, fokien | Prob: genus, chinkiang, styan, family, winter, swinhoe, kiangyin, specimens, resident, collection | Representative: Collection of birds in the Shanghai Museum, The; Collection of Chinese reptiles in the Shanghai Museum, The; Preliminary notes on the natural history of Nanking; Two new species of Chinese snakes *"
1860,stm,30,0,0.0010459283043907,0,0.0,"styan, kiangyin, chinkiang, genus, warbler, resident, yangtse_valley, swinhoe","FREX: styan, kiangyin, chinkiang, genus, warbler, resident, yangtse_valley, swinhoe, shanghai_museum, fokien | Prob: genus, chinkiang, styan, family, winter, swinhoe, kiangyin, specimens, resident, collection | Representative: Collection of birds in the Shanghai Museum, The; Collection of Chinese reptiles in the Shanghai Museum, The; Preliminary notes on the natural history of Nanking; Two new species of Chinese snakes *"
1870,stm,30,0,0.0167436705748784,1,0.0163934426229508,"styan, kiangyin, chinkiang, genus, warbler, resident, yangtse_valley, swinhoe","FREX: styan, kiangyin, chinkiang, genus, warbler, resident, yangtse_valley, swinhoe, shanghai_museum, fokien | Prob: genus, chinkiang, styan, family, winter, swinhoe, kiangyin, specimens, resident, collection | Representative: Collection of birds in the Shanghai Museum, The; Collection of Chinese reptiles in the Shanghai Museum, The; Preliminary notes on the natural history of Nanking; Two new species of Chinese snakes *"
1880,stm,30,0,0.0006833918719111612,0,0.0,"styan, kiangyin, chinkiang, genus, warbler, resident, yangtse_valley, swinhoe","FREX: styan, kiangyin, chinkiang, genus, warbler, resident, yangtse_valley, swinhoe, shanghai_museum, fokien | Prob: genus, chinkiang, styan, family, winter, swinhoe, kiangyin, specimens, resident, collection | Representative: Collection of birds in the Shanghai Museum, The; Collection of Chinese reptiles in the Shanghai Museum, The; Preliminary notes on the natural history of Nanking; Two new species of Chinese snakes *"
1890,stm,30,0,1.130885685245459e-05,0,0.0,"styan, kiangyin, chinkiang, genus, warbler, resident, yangtse_valley, swinhoe","FREX: styan, kiangyin, chinkiang, genus, warbler, resident, yangtse_valley, swinhoe, shanghai_museum, fokien | Prob: genus, chinkiang, styan, family, winter, swinhoe, kiangyin, specimens, resident, collection | Representative: Collection of birds in the Shanghai Museum, The; Collection of Chinese reptiles in the Shanghai Museum, The; Preliminary notes on the natural history of Nanking; Two new species of Chinese snakes *"
1900,stm,30,0,0.0334022185249207,1,0.0333333333333333,"styan, kiangyin, chinkiang, genus, warbler, resident, yangtse_valley, swinhoe","FREX: styan, kiangyin, chinkiang, genus, warbler, resident, yangtse_valley, swinhoe, shanghai_museum, fokien | Prob: genus, chinkiang, styan, family, winter, swinhoe, kiangyin, specimens, resident, collection | Representative: Collection of birds in the Shanghai Museum, The; Collection of Chinese reptiles in the Shanghai Museum, The; Preliminary notes on the natural history of Nanking; Two new species of Chinese snakes *"
1910,stm,30,0,0.0369755479576714,7,0.075268817204301,"styan, kiangyin, chinkiang, genus, warbler, resident, yangtse_valley, swinhoe","FREX: styan, kiangyin, chinkiang, genus, warbler, resident, yangtse_valley, swinhoe, shanghai_museum, fokien | Prob: genus, chinkiang, styan, family, winter, swinhoe, kiangyin, specimens, resident, collection | Representative: Collection of birds in the Shanghai Museum, The; Collection of Chinese reptiles in the Shanghai Museum, The; Preliminary notes on the natural history of Nanking; Two new species of Chinese snakes *"
1920,stm,30,0,0.0006507679029763813,0,0.0,"styan, kiangyin, chinkiang, genus, warbler, resident, yangtse_valley, swinhoe","FREX: styan, kiangyin, chinkiang, genus, warbler, resident, yangtse_valley, swinhoe, shanghai_museum, fokien | Prob: genus, chinkiang, styan, family, winter, swinhoe, kiangyin, specimens, resident, collection | Representative: Collection of birds in the Shanghai Museum, The; Collection of Chinese reptiles in the Shanghai Museum, The; Preliminary notes on the natural history of Nanking; Two new species of Chinese snakes *"
1930,stm,30,0,0.007348118092995,1,0.0416666666666666,"styan, kiangyin, chinkiang, genus, warbler, resident, yangtse_valley, swinhoe","FREX: styan, kiangyin, chinkiang, genus, warbler, resident, yangtse_valley, swinhoe, shanghai_museum, fokien | Prob: genus, chinkiang, styan, family, winter, swinhoe, kiangyin, specimens, resident, collection | Representative: Collection of birds in the Shanghai Museum, The; Collection of Chinese reptiles in the Shanghai Museum, The; Preliminary notes on the natural history of Nanking; Two new species of Chinese snakes *"
1940,stm,30,0,2.0533275535161475e-07,0,0.0,"styan, kiangyin, chinkiang, genus, warbler, resident, yangtse_valley, swinhoe","FREX: styan, kiangyin, chinkiang, genus, warbler, resident, yangtse_valley, swinhoe, shanghai_museum, fokien | Prob: genus, chinkiang, styan, family, winter, swinhoe, kiangyin, specimens, resident, collection | Representative: Collection of birds in the Shanghai Museum, The; Collection of Chinese reptiles in the Shanghai Museum, The; Preliminary notes on the natural history of Nanking; Two new species of Chinese snakes *"
