master_id,filename,title,year,decade,L1,L2,model_include,model_exclusion_reason,model_unigram_count_before_df,model_token_count_before_df,model_token_count_after_df,cleaned_full_text_path,analysis_text_path
MASTER_00159,1858_01.txt,The Climate of Eastern Asia,1877,1870s,Natural Sciences,Meteorology,True,,2496,7485,1972,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\1858_01.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\1858_01.txt
MASTER_00004,1858_02.txt,"On Cyclones , or the Law of Storms",1858,1850s,Natural Sciences,Meteorology,True,,4364,13089,3507,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\1858_02.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\1858_02.txt
MASTER_00002,1858_03.txt,Coins of the Ta - ts'ing or present dynasty of China *,1858,1850s,Arts and Archaeology,Numismatics,True,,4378,13131,3766,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\1858_03.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\1858_03.txt
MASTER_00003,1858_04.txt,Contribution to the ethnology of Eastern Asia,1858,1850s,Anthropology and Social Customs,Ethnology,True,,700,2097,509,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\1858_04.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\1858_04.txt
MASTER_00001,1858_05.txt,"A Buddhist Shastra , Translated from the Chinese",1858,1850s,Religion and Philosophy,Buddhism,True,,2480,7437,1961,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\1858_05.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\1858_05.txt
MASTER_00006,1858_06.txt,Visit to Simoda and Hakodadi in Japan,1858,1850s,Geography and Travel,Travel,True,,1484,4449,1201,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\1858_06.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\1858_06.txt
MASTER_00213,1858_07_record_of_occurence.txt,Where was Ta - ts ' in ?,1886,1880s,Geography and Travel,Geography,True,,1819,5454,1538,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\1858_07_record_of_occurence.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\1858_07_record_of_occurence.txt
MASTER_00016,1859_01.txt,Narrative of a visit to the island of Formosa,1859,1850s,Geography and Travel,Travel,True,,3452,10353,2734,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\1859_01.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\1859_01.txt
MASTER_00010,1859_02.txt,Notices of the character and writings of Meh tsi,1859,1850s,Religion and Philosophy,Philosophy,True,,814,2439,695,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\1859_02.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\1859_02.txt
MASTER_00007,1859_03.txt,Chinese bibliography,1859,1850s,Literature and Language,Literature,True,,951,2850,842,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\1859_03.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\1859_03.txt
MASTER_00009,1859_04.txt,On the Musical Notation of the Chinese,1859,1850s,Arts and Archaeology,Music,True,,597,1788,441,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\1859_04.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\1859_04.txt
MASTER_00015,1859_05.txt,Lecture on Japan,1859,1850s,Geography and Travel,Travel,True,,5190,15567,4172,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\1859_05.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\1859_05.txt
MASTER_00013,1859_06.txt,On the Study of the Natural Sciences in Japan,1859,1850s,Education,Education,True,,1701,5100,1373,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\1859_06.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\1859_06.txt
,1859_07.txt,,1859,1850s,,,True,,308,921,229,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\1859_07.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\1859_07.txt
MASTER_00017,1859_08.txt,Notes on some new species of birds found on the island of Formosa,1859,1850s,Natural Sciences,Zoology,True,,1116,3345,823,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\1859_08.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\1859_08.txt
MASTER_00012,1859_09.txt,"Sailing directions for the Yang - tsze Kiang, from Woosung to Hankow",1859,1850s,Natural Sciences,Hydrology,True,,2866,8595,2462,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\1859_09.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\1859_09.txt
MASTER_00014,1859_10.txt,"Thermometrical observations, taken during a passage from Nagasaki to Shanghai",1859,1850s,Natural Sciences,Meteorology,True,,1531,4590,1306,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\1859_10.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\1859_10.txt
MASTER_00024,1859_11.txt,Sketches of the Miau - tsze,1859,1850s,Anthropology and Social Customs,Ethnology,True,,5632,16893,4674,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\1859_11.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\1859_11.txt
MASTER_00018,1860_01.txt,The Small Chinese Lark,1859,1850s,Natural Sciences,Zoology,True,,971,2910,750,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\1860_01.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\1860_01.txt
MASTER_00019,1860_02.txt,On the Banishment of Criminals in China,1859,1850s,"Politics, Government, and Law",Law,True,,1396,4185,1044,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\1860_02.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\1860_02.txt
MASTER_00020,1860_03.txt,Cotton in China,1859,1850s,Natural Sciences,Agriculture,True,,1001,3000,799,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\1860_03.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\1860_03.txt
MASTER_00022,1860_04.txt,A Sketch of the Tauist Mythology in its modern form,1859,1850s,Anthropology and Social Customs,Mythology,True,,1015,3042,904,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\1860_04.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\1860_04.txt
MASTER_00023,1860_05.txt,Narrative of the American Embassy to Peking,1859,1850s,History and Chronology,"History, Modern (20th century)",True,,6477,19428,5230,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\1860_05.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\1860_05.txt
MASTER_00021,1860_06.txt,"Meteorological tables, from observations made in Japan",1859,1850s,Natural Sciences,Meteorology,True,,252,753,205,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\1860_06.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\1860_06.txt
MASTER_00031,1860_07.txt,A Sketch of the Life of Confucius,1860,1860s,Religion and Philosophy,Confucianism,True,,3232,9693,2853,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\1860_07.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\1860_07.txt
MASTER_00028,1860_08.txt,"The Ethics of the Chinese, with special reference to the doctrine of Human Nature and Sin",1860,1860s,Religion and Philosophy,Philosophy,True,,11496,34485,9500,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\1860_08.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\1860_08.txt
MASTER_00032,1860_09.txt,Supplemental memorandum on the present state of the magnetic elements in China and places adjacent,1860,1860s,Natural Sciences,Meteorology,True,,447,1338,394,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\1860_09.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\1860_09.txt
MASTER_00034,1860_11.txt,Winds and weather at Chefoo,1860,1860s,Natural Sciences,Meteorology,True,,141,420,106,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\1860_11.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\1860_11.txt
MASTER_00065,1866_01.txt,"Notes of a Journey from Peking to Chefoo via Grand Canal , Yen -chow -foo, &c",1865,1860s,Geography and Travel,Travel,True,,4542,13623,3942,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\1866_01.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\1866_01.txt
INDEX_00062,1866_02.txt,"Account of an Overland Journey from Peking to Shanghai, made in February and March 1866",1866,1860s,Geography and Travel,Travel,True,,2496,7485,2069,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\1866_02.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\1866_02.txt
INDEX_00063,1866_03.txt,An account of a translation of a Japanese Manuscript,1866,1860s,History and Chronology,History,True,,3597,10788,2747,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\1866_03.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\1866_03.txt
MASTER_00064,1866_04.txt,Description of the Great Examination Hall at Canton,1865,1860s,Arts and Archaeology,Architecture,True,,1062,3183,913,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\1866_04.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\1866_04.txt
MASTER_00068,1866_05.txt,Notes on the opinions of the Chinese with regard to eclipses,1866,1860s,Natural Sciences,Astronomy,True,,1469,4404,1177,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\1866_05.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\1866_05.txt
MASTER_00069,1866_06.txt,Political intercourse between China and Lewchew,1866,1860s,History and Chronology,History,True,,2538,7611,2102,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\1866_06.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\1866_06.txt
