L2,rank,term,tfidf_score,raw_count,document_count,document_frequency
Meteorology,1,summer,0.34707684727548993,941,8,0.5
Meteorology,2,drought,0.27910900053216103,400,3,0.1875
Meteorology,3,bulb,0.23864502842571658,19,1,0.0625
Meteorology,4,autumn,0.2253567481922877,401,4,0.25
Meteorology,5,spring,0.20455227167243814,493,7,0.4375
Meteorology,6,chehkiang,0.19516203153324274,251,2,0.125
Meteorology,7,honan,0.17200621107318476,247,3,0.1875
Meteorology,8,observations,0.15584500265721596,376,11,0.6875
Meteorology,9,chihli,0.1496091144476145,233,4,0.25
Meteorology,10,hupeh,0.144622063207901,186,2,0.125
Meteorology,11,shensi,0.1441765951171276,207,3,0.1875
Meteorology,12,japan,0.14167843916181036,198,7,0.4375
Meteorology,13,kiangsu,0.1386106719259162,199,3,0.1875
Meteorology,14,mean,0.1379760150548305,727,8,0.5
Meteorology,15,temperature,0.1364811853459207,788,9,0.5625
Meteorology,16,shansi,0.1340571542226699,192,3,0.1875
Meteorology,17,meteorological,0.12420457902253358,54,6,0.375
Meteorology,18,wind,0.12275957116225539,190,9,0.5625
Meteorology,19,barometer,0.11568722078025767,99,6,0.375
Meteorology,20,shantung,0.11154084477466915,144,4,0.25
Meteorology,21,meteorological_observations,0.11139976201188168,22,5,0.3125
Meteorology,22,thermometer,0.11079947270905847,21,7,0.4375
Meteorology,23,chefoo,0.1102329898322044,41,4,0.25
Meteorology,24,maximum,0.1091108850875893,218,6,0.375
Meteorology,25,sun,0.10650552345260628,188,10,0.625
Numismatics,1,cash,0.22135423950825095,762,12,1.0
Numismatics,2,coins,0.1918429891019463,535,12,1.0
Numismatics,3,reverse,0.1896364569922541,555,8,0.6666666666666666
Numismatics,4,corea,0.1544662219254781,101,2,0.16666666666666666
Numismatics,5,silver,0.14660878747106704,615,12,1.0
Numismatics,6,mint,0.1096804453337888,319,10,0.8333333333333334
Numismatics,7,pao,0.10396764971106758,192,6,0.5
Numismatics,8,coinage,0.09757354961849314,200,11,0.9166666666666666
Numismatics,9,obverse,0.09453658611550127,384,9,0.75
Numismatics,10,copper,0.09429911514113357,365,12,1.0
Numismatics,11,coin,0.09322257923927126,322,12,1.0
Numismatics,12,shanghai,0.08865759199700461,199,7,0.5833333333333334
Numismatics,13,currency,0.08840248292001324,543,11,0.9166666666666666
Numismatics,14,value,0.08752006570504942,315,11,0.9166666666666666
Numismatics,15,king,0.0871316837481687,321,7,0.5833333333333334
Numismatics,16,issued,0.08456446774434882,256,11,0.9166666666666666
Numismatics,17,taels,0.08108420773951214,249,6,0.5
Numismatics,18,rev,0.07922686489078018,173,4,0.3333333333333333
Numismatics,19,annam,0.0777597063616135,317,2,0.16666666666666666
Numismatics,20,pieces,0.07747934022019254,161,10,0.8333333333333334
Numismatics,21,obv,0.0769596642794657,109,2,0.16666666666666666
Numismatics,22,nos,0.0764212352971231,121,7,0.5833333333333334
Numismatics,23,siamese,0.06948376858288044,72,2,0.16666666666666666
Numismatics,24,republic,0.06927360344034177,96,3,0.25
Numismatics,25,tael,0.06916339627794654,308,10,0.8333333333333334
Ethnology,1,tai,0.22257281023421788,174,8,0.26666666666666666
Ethnology,2,buriats,0.1806843694527168,72,2,0.06666666666666667
Ethnology,3,tungus,0.1645505556763413,477,6,0.2
Ethnology,4,miao,0.14913211653297512,141,7,0.23333333333333334
Ethnology,5,lao,0.14161612516801084,107,6,0.2
Ethnology,6,tribes,0.12233032711717733,268,26,0.8666666666666667
Ethnology,7,race,0.11220158970073763,197,22,0.7333333333333333
Ethnology,8,women,0.1035189081324458,259,24,0.8
Ethnology,9,hainan,0.10264599551783586,76,7,0.23333333333333334
Ethnology,10,northern,0.10172218617701265,384,19,0.6333333333333333
Ethnology,11,family,0.09944061595045986,241,26,0.8666666666666667
Ethnology,12,river,0.0977518305713317,523,27,0.9
Ethnology,13,shi,0.0965389906133858,639,10,0.3333333333333333
Ethnology,14,goldi,0.09596693148156424,320,4,0.13333333333333333
Ethnology,15,egypt,0.09427646142893352,65,7,0.23333333333333334
Ethnology,16,migration,0.091147176721956,113,13,0.43333333333333335
Ethnology,17,exogamy,0.08476691502738613,100,4,0.13333333333333333
Ethnology,18,culture,0.08328752667348442,90,15,0.5
Ethnology,19,kiang,0.08226999613084762,60,8,0.26666666666666666
Ethnology,20,century,0.08172740474270676,401,19,0.6333333333333333
Ethnology,21,fish,0.08146074697722526,204,15,0.5
Ethnology,22,village,0.08083838325162383,116,17,0.5666666666666667
Ethnology,23,russian,0.08069206125215425,309,9,0.3
Ethnology,24,america,0.07955165172642663,116,10,0.3333333333333333
Ethnology,25,son,0.07937028844406843,315,18,0.6
Anthropology,1,tai,0.22257281023421788,174,8,0.26666666666666666
Anthropology,2,buriats,0.1806843694527168,72,2,0.06666666666666667
Anthropology,3,tungus,0.1645505556763413,477,6,0.2
Anthropology,4,miao,0.14913211653297512,141,7,0.23333333333333334
Anthropology,5,lao,0.14161612516801084,107,6,0.2
Anthropology,6,tribes,0.12233032711717733,268,26,0.8666666666666667
Anthropology,7,race,0.11220158970073763,197,22,0.7333333333333333
Anthropology,8,women,0.1035189081324458,259,24,0.8
Anthropology,9,hainan,0.10264599551783586,76,7,0.23333333333333334
Anthropology,10,northern,0.10172218617701265,384,19,0.6333333333333333
Anthropology,11,family,0.09944061595045986,241,26,0.8666666666666667
Anthropology,12,river,0.0977518305713317,523,27,0.9
Anthropology,13,shi,0.0965389906133858,639,10,0.3333333333333333
Anthropology,14,goldi,0.09596693148156424,320,4,0.13333333333333333
Anthropology,15,egypt,0.09427646142893352,65,7,0.23333333333333334
Anthropology,16,migration,0.091147176721956,113,13,0.43333333333333335
Anthropology,17,exogamy,0.08476691502738613,100,4,0.13333333333333333
Anthropology,18,culture,0.08328752667348442,90,15,0.5
Anthropology,19,kiang,0.08226999613084762,60,8,0.26666666666666666
Anthropology,20,century,0.08172740474270676,401,19,0.6333333333333333
Anthropology,21,fish,0.08146074697722526,204,15,0.5
Anthropology,22,village,0.08083838325162383,116,17,0.5666666666666667
Anthropology,23,russian,0.08069206125215425,309,9,0.3
Anthropology,24,america,0.07955165172642663,116,10,0.3333333333333333
Anthropology,25,son,0.07937028844406843,315,18,0.6
Buddhism,1,lake,0.1585303546833008,68,2,0.2
Buddhism,2,buddha,0.1015541543283287,129,9,0.9
Buddhism,3,buddhist,0.09444756320088907,124,9,0.9
Buddhism,4,amida,0.06463192399990444,33,1,0.1
Buddhism,5,body,0.06382738263466166,72,6,0.6
Buddhism,6,tsang,0.05956860247429881,32,2,0.2
Buddhism,7,ching,0.05491874298961269,48,1,0.1
Buddhism,8,river,0.053314094954555497,30,4,0.4
