decade,rank,term,tfidf_score,raw_count,document_count,document_frequency
1870s,1,summer,0.40484451245447045,1030,27,0.4426229508196721
1870s,2,drought,0.35978302759827824,405,8,0.13114754098360656
1870s,3,bulb,0.3369830275408711,19,1,0.01639344262295082
1870s,4,shadows,0.28234579474064925,29,6,0.09836065573770492
1870s,5,king,0.27241307029583517,824,40,0.6557377049180327
1870s,6,autumn,0.25820128606563275,452,21,0.3442622950819672
1870s,7,sun,0.25057688611698303,323,33,0.5409836065573771
1870s,8,spring,0.24690585321991534,579,27,0.4426229508196721
1870s,9,observations,0.24367347634017347,389,17,0.2786885245901639
1870s,10,chehkiang,0.2426708162750497,257,8,0.13114754098360656
1870s,11,chihli,0.2407539327289186,335,10,0.16393442622950818
1870s,12,chow,0.23701125895673195,332,28,0.45901639344262296
1870s,13,size,0.22886557821149797,103,26,0.4262295081967213
1870s,14,rock,0.215145906649863,71,16,0.26229508196721313
1870s,15,stone,0.20636350513268273,253,30,0.4918032786885246
1870s,16,honan,0.20120178581971487,260,10,0.16393442622950818
1870s,17,city,0.19387924360610287,880,35,0.5737704918032787
1870s,18,black,0.1931077711869119,200,28,0.45901639344262296
1870s,19,solar,0.18471172276695472,63,12,0.19672131147540983
1870s,20,kiangsu,0.1800095239197763,208,10,0.16393442622950818
1870s,21,maximum,0.17913041090456874,217,6,0.09836065573770492
1870s,22,son,0.17523075966391127,562,37,0.6065573770491803
1870s,23,hupeh,0.1744700435978745,193,8,0.13114754098360656
1870s,24,emperor,0.17200674267802127,582,39,0.639344262295082
1870s,25,meteorological,0.16938956666122068,55,5,0.08196721311475409
1850s,1,dip,0.32994785214153066,28,4,0.12121212121212122
1850s,2,observations,0.29384650479170804,47,8,0.24242424242424243
1850s,3,love,0.22011830095806897,65,6,0.18181818181818182
1850s,4,japan,0.21981412754808982,151,9,0.2727272727272727
1850s,5,brown,0.19001957451321067,71,8,0.24242424242424243
1850s,6,bank,0.18794317536114885,227,10,0.30303030303030304
1850s,7,japanese,0.18451587565013178,192,9,0.2727272727272727
1850s,8,magnetic,0.1833821963309541,20,5,0.15151515151515152
1850s,9,river,0.17157541174861896,227,16,0.48484848484848486
1850s,10,mean,0.1672260885945334,18,6,0.18181818181818182
1850s,11,meh,0.1623972573211996,37,3,0.09090909090909091
1850s,12,library,0.1621381733474431,48,5,0.15151515151515152
1850s,13,tsi,0.15486726131169337,49,7,0.21212121212121213
1850s,14,mint,0.1506414166012533,148,1,0.030303030303030304
1850s,15,wing,0.14991431311797748,39,3,0.09090909090909091
1850s,16,shanghai,0.14973209480152608,76,18,0.5454545454545454
1850s,17,notation,0.1482663752541752,19,2,0.06060606060606061
1850s,18,works,0.14535946774561753,95,15,0.45454545454545453
1850s,19,island,0.14518453257234604,177,17,0.5151515151515151
1850s,20,bird,0.1432958828568051,36,3,0.09090909090909091
1850s,21,tail,0.13666385696669506,46,6,0.18181818181818182
1850s,22,tenths,0.12869537346419635,38,5,0.15151515151515152
1850s,23,cotton,0.11808199491521033,44,6,0.18181818181818182
1850s,24,left_bank,0.1174750793032662,102,4,0.12121212121212122
1850s,25,hills,0.11564221040091492,109,10,0.30303030303030304
1880s,1,king,0.5787684209458989,1648,48,0.5581395348837209
1880s,2,salt,0.5194332108598023,420,26,0.3023255813953488
1880s,3,emperor,0.41177807413292195,598,50,0.5813953488372093
1880s,4,lour,0.3590069196448986,2426,6,0.06976744186046512
1880s,5,river,0.35082845412231795,771,54,0.627906976744186
1880s,6,feet,0.34325827988845586,604,41,0.47674418604651164
1880s,7,une,0.3273214446079459,641,13,0.1511627906976744
1880s,8,tls,0.31512956807442294,219,11,0.12790697674418605
1880s,9,manchu,0.30582025819174014,460,21,0.2441860465116279
1880s,10,son,0.30573086221433654,415,43,0.5
1880s,11,sea,0.2723261118803025,435,45,0.5232558139534884
1880s,12,dikes,0.2678711285005971,27,5,0.05813953488372093
1880s,13,linn,0.26742697661539594,1736,5,0.05813953488372093
1880s,14,pao,0.2646389691939808,529,25,0.29069767441860467
1880s,15,son_king,0.26253800651821724,98,2,0.023255813953488372
1880s,16,tsi,0.2577588779153593,212,19,0.22093023255813954
1880s,17,rockhill,0.25542796282874014,19,2,0.023255813953488372
1880s,18,reverse,0.25439879081808053,540,8,0.09302325581395349
1880s,19,peking,0.24140155771156965,797,52,0.6046511627906976
1880s,20,plants,0.240150279907366,1040,18,0.20930232558139536
1880s,21,city,0.2392363277752337,405,51,0.5930232558139535
1880s,22,sin,0.23638575275840673,1942,21,0.2441860465116279
1880s,23,plant,0.2300697703125045,1686,16,0.18604651162790697
1880s,24,canton,0.22743691093605545,1332,35,0.4069767441860465
1880s,25,miles,0.22590219979602907,318,31,0.36046511627906974
1860s,1,river,0.40905957924940733,907,34,0.6071428571428571
1860s,2,char,0.38374061789980224,37,2,0.03571428571428571
1860s,3,plus,0.3750784513903669,415,5,0.08928571428571429
1860s,4,une,0.3299865848356025,336,6,0.10714285714285714
1860s,5,coal,0.31923214162818175,311,18,0.32142857142857145
1860s,6,lake,0.2409165344098733,201,19,0.3392857142857143
1860s,7,city,0.21288158762304774,577,39,0.6964285714285714
1860s,8,japan,0.2059713377842467,177,21,0.375
1860s,9,chine,0.2035765637080395,199,6,0.10714285714285714
1860s,10,miles,0.20062744831645343,416,31,0.5535714285714286
1860s,11,feet,0.20021017564920482,409,38,0.6785714285714286
