rank,term,tfidf_score,raw_count,document_count,document_frequency
1,river,2.068202041130119,4463,328,0.5985401459854015
2,king,1.8336530005560125,4158,301,0.5492700729927007
3,emperor,1.790493325470036,3258,321,0.5857664233576643
4,feet,1.4693621319871106,2697,297,0.541970802919708
5,city,1.4312933780381734,3365,319,0.5821167883211679
6,heaven,1.4013721967759516,2033,244,0.44525547445255476
7,shanghai,1.346551946272325,1931,235,0.42883211678832117
8,species,1.3379411001845423,1754,141,0.2572992700729927
9,genus,1.2823567786528995,694,44,0.08029197080291971
10,miles,1.2580030679945866,1810,210,0.38321167883211676
11,white,1.2474647802456587,2243,279,0.5091240875912408
12,family,1.2445780247982967,2397,303,0.5529197080291971
13,son,1.1984052155797824,2014,253,0.46167883211678834
14,wang,1.1940197369618282,1705,215,0.39233576642335766
15,characters,1.1705548466960929,1575,260,0.4744525547445255
16,peking,1.1686856933428977,2944,269,0.4908759124087591
17,black,1.154927240262094,1480,236,0.4306569343065693
18,coal,1.130881055913119,641,84,0.15328467153284672
19,government,1.1307759383516183,1841,287,0.5237226277372263
20,sea,1.1278563534441834,2132,265,0.4835766423357664
21,confucius,1.1224512289817747,1214,180,0.3284671532846715
22,temple,1.0931413300900856,1752,217,0.395985401459854
23,shih,1.0693269098967255,1411,205,0.3740875912408759
24,chow,1.0640613392956366,1323,159,0.29014598540145986
25,yuan,1.0538983291694561,1665,186,0.33941605839416056
26,land,1.041319702808667,2088,336,0.6131386861313869
27,han,1.0338137519360808,1790,286,0.5218978102189781
28,japan,1.0240168758747563,1223,162,0.2956204379562044
29,province,1.0183873983932359,2064,296,0.5401459854014599
30,var,1.0136293962355336,638,29,0.05291970802919708
31,une,1.012215571122602,1331,40,0.072992700729927
32,island,1.0116994701510844,1326,167,0.30474452554744524
33,summer,1.0077470604380707,1757,202,0.3686131386861314
34,god,1.0045673095953191,1208,177,0.32299270072992703
35,ang,1.002400150294775,1731,245,0.4470802919708029
36,yang,0.9875641230095377,1823,282,0.5145985401459854
37,book,0.9781455992218759,1637,303,0.5529197080291971
38,sun,0.9765113389531348,1447,288,0.5255474452554745
39,salt,0.9755549068939386,899,124,0.22627737226277372
40,winter,0.9644139769278557,1277,216,0.39416058394160586
41,art,0.955849691006229,1236,216,0.39416058394160586
42,stone,0.9540567924886597,1541,257,0.46897810218978103
43,shan,0.9528614678977831,1873,238,0.4343065693430657
44,law,0.9485059366056323,1556,218,0.3978102189781022
45,cash,0.9401591789759441,1304,104,0.1897810218978102
46,foreign,0.9321876621445526,1578,283,0.5164233576642335
47,tzu,0.9232726226837187,1200,126,0.22992700729927007
48,styan,0.9215185180187248,264,8,0.014598540145985401
49,century,0.9163388470236907,1811,279,0.5091240875912408
50,world,0.9049094924362276,1505,321,0.5857664233576643
51,earth,0.9004514799520564,1436,282,0.5145985401459854
52,length,0.8955663347645424,1467,262,0.4781021897810219
53,chi,0.8935801607159137,1613,248,0.45255474452554745
54,japanese,0.890947885114594,982,163,0.29744525547445255
55,sung,0.8896914549050964,1321,211,0.38503649635036497
56,words,0.8894828260788508,1414,310,0.5656934306569343
57,nature,0.883604950613054,1574,315,0.5748175182481752
58,books,0.8836014353129859,1288,284,0.5182481751824818
59,canton,0.8823708136034254,2110,156,0.2846715328467153
60,tsi,0.8775022885025934,704,80,0.145985401459854
61,hills,0.8760406376348434,1202,219,0.39963503649635035
62,death,0.8741731956472791,1523,279,0.5091240875912408
63,manchu,0.8723417382445096,1000,110,0.20072992700729927
64,language,0.8719654748229453,1207,254,0.4635036496350365
65,ming,0.8660243036600009,1424,261,0.4762773722627737
66,yellow,0.8653383026462287,1531,255,0.4653284671532847
67,written,0.8580278397630462,1411,314,0.572992700729927
68,imperial,0.8555046542914512,1487,277,0.5054744525547445
69,father,0.8545711433979839,1340,238,0.4343065693430657
70,chinkiang,0.8463363554537308,359,48,0.08759124087591241
71,district,0.8458571247058465,1382,234,0.42700729927007297
72,specimens,0.8401214366793551,743,133,0.2427007299270073
73,word,0.8353378523466546,1235,285,0.5200729927007299
74,chou,0.834685948138154,1510,177,0.32299270072992703
75,works,0.8235283089406559,1244,283,0.5164233576642335
76,observations,0.8197169908566198,689,132,0.24087591240875914
77,tai,0.8189976931437978,1163,201,0.36678832116788324
78,leaves,0.8178798951011611,1759,184,0.3357664233576642
79,collection,0.8163128951792313,705,195,0.35583941605839414
80,hsien,0.8155261495562214,928,157,0.2864963503649635
81,ien,0.8127343963599138,1112,170,0.3102189781021898
82,wei,0.8120443338746824,1259,219,0.39963503649635035
83,shall,0.8112358984964686,1623,295,0.5383211678832117
84,board,0.8096743416005383,1042,167,0.30474452554744524
85,tung,0.809524181913629,1549,234,0.42700729927007297
86,hsi,0.807388122195045,1023,162,0.2956204379562044
87,moon,0.8069552538664089,1213,190,0.3467153284671533
88,sent,0.804813284011329,1841,295,0.5383211678832117
89,trade,0.8034398073446043,1220,191,0.34854014598540145
90,empire,0.802298354241239,1383,274,0.5
91,taels,0.8018212031212836,1081,73,0.1332116788321168
92,northern,0.801677341870663,1746,263,0.47992700729927007
93,flowers,0.7953896340957927,1341,127,0.23175182481751824
94,ing,0.7949439420750976,1389,199,0.36313868613138683
95,chang,0.794069597088734,1457,245,0.4470802919708029
96,coins,0.7936960186154658,711,60,0.10948905109489052
97,plus,0.7924549716346326,1040,53,0.09671532846715329
98,chih,0.7786556097540399,942,154,0.28102189781021897
99,red,0.7786480469017133,1566,244,0.44525547445255476
100,modern,0.7781542407317411,1279,284,0.5182481751824818
