"from","to","author","subject_l2","subject_l1","time_window","article_count","weight","first_year","last_year","titles"
"A_14","S_4","Bridgman, E. C.","Anthropology","Anthropology and Social Customs","1858-1867",1,0.5,1859,1859,"Sketches of the Miau - tsze"
"A_3","S_4","Macgowan, D. J.","Anthropology","Anthropology and Social Customs","1858-1867",1,0.5,1858,1858,"Contribution to the ethnology of Eastern Asia"
"A_14","S_3","Bridgman, E. C.","Ethnology","Anthropology and Social Customs","1858-1867",1,0.5,1859,1859,"Sketches of the Miau - tsze"
"A_3","S_3","Macgowan, D. J.","Ethnology","Anthropology and Social Customs","1858-1867",1,0.5,1858,1858,"Contribution to the ethnology of Eastern Asia"
"A_34","S_25","Butcher, C. H.","Manners and customs","Anthropology and Social Customs","1858-1867",1,1,1864,1864,"Notes on the funeral rites performed at the obsequies of Takee"
"A_40","S_25","Hollingworth, H. G.","Manners and customs","Anthropology and Social Customs","1858-1867",1,1,1866,1866,"Short sketch of the Chinese game of chess, Seang - kh'e, A *"
"A_23","S_25","Jamieson, R. A.","Manners and customs","Anthropology and Social Customs","1858-1867",1,0.5,1864,1864,"Remarks upon exhibiting a To - lo Pall to the Society"
"A_1","S_17","Edkins, J.","Mythology","Anthropology and Social Customs","1858-1867",1,1,1859,1859,"A Sketch of the Tauist Mythology in its modern form"
"A_48","S_17","Watters, T.","Mythology","Anthropology and Social Customs","1858-1867",1,0.5,1867,1867,"Chinese notions about pigeons and doves"
"A_32","S_24","Bastion","Archaeology","Arts and Archaeology","1858-1867",1,1,1865,1865,"The Remains of Ancient Kambodia"
"A_38","S_28","Keer, J. G.","Architecture","Arts and Archaeology","1858-1867",1,0.5,1866,1866,"Description of the Great Examination Hall at Canton"
"A_7","S_8","Syle, E. W.","Music","Arts and Archaeology","1858-1867",1,1,1859,1859,"On the Musical Notation of the Chinese"
"A_2","S_2","Wylie, A.","Numismatics","Arts and Archaeology","1858-1867",1,1,1858,1858,"Coins of the Ta - ts'ing or present dynasty of China *"
"A_33","S_16","Jarvie, R.","Commerce","Economy, Trade, and Technology","1858-1867",1,0.333333333333333,1864,1864,"Respecting China grass"
"A_13","S_16","Robertson, D. B.","Commerce","Economy, Trade, and Technology","1858-1867",1,0.333333333333333,1859,1859,"Cotton in China"
"A_47","S_16","Simon, G. E.","Commerce","Economy, Trade, and Technology","1858-1867",1,0.333333333333333,1867,1867,"Carte agricole generale de l'Empire Chinois. Texte preface, legende et repertoire"
"A_37","S_16","Williamson, A.","Commerce","Economy, Trade, and Technology","1858-1867",2,0.5,1867,1867,"Notes on the north of China, its productions and communications | Notes on the productions, chiefly mineral of Shantung"
"A_33","S_15","Jarvie, R.","Industries","Economy, Trade, and Technology","1858-1867",1,0.333333333333333,1864,1864,"Respecting China grass"
"A_13","S_15","Robertson, D. B.","Industries","Economy, Trade, and Technology","1858-1867",1,0.333333333333333,1859,1859,"Cotton in China"
"A_47","S_15","Simon, G. E.","Industries","Economy, Trade, and Technology","1858-1867",1,0.333333333333333,1867,1867,"Carte agricole generale de l'Empire Chinois. Texte preface, legende et repertoire"
"A_37","S_15","Williamson, A.","Industries","Economy, Trade, and Technology","1858-1867",2,0.5,1867,1867,"Notes on the north of China, its productions and communications | Notes on the productions, chiefly mineral of Shantung"
"A_37","S_31","Williamson, A.","Telecommunication","Economy, Trade, and Technology","1858-1867",1,0.25,1867,1867,"Notes on the north of China, its productions and communications"
"A_38","S_11","Keer, J. G.","Education","Education","1858-1867",1,0.5,1866,1866,"Description of the Great Examination Hall at Canton"
"A_9","S_11","Pompe van Meedervoort, J. L. C.","Education","Education","1858-1867",1,1,1859,1859,"On the Study of the Natural Sciences in Japan"
"A_41","S_6","Bickmore, A. S.","Travel","Geography and Travel","1858-1867",1,0.5,1867,1867,"Sketch of a journey from Canton to Hankow through the Provinces of Kwangtung, Kwangsi, and Hunan, with geological notes *"
"A_22","S_6","Canny, J. M.","Travel","Geography and Travel","1858-1867",1,1,1864,1864,"The Sea-board of Russian Manchuria"
"A_21","S_6","Dickson, W.","Travel","Geography and Travel","1858-1867",1,1,1864,1864,"Narrative of an overland trip, through Hunan, from Canton to Hankow"
"A_1","S_6","Edkins, J.","Travel","Geography and Travel","1858-1867",1,1,1865,1865,"A Visit to the Agricultural Mongols"
"A_5","S_6","Foote, A. H.","Travel","Geography and Travel","1858-1867",1,1,1858,1858,"Visit to Simoda and Hakodadi in Japan"
"A_19","S_6","Lindau, R.","Travel","Geography and Travel","1858-1867",1,1,1864,1864,"Notes on the city of Yedo, the capital of Japan *"
"A_36","S_6","Martin, W. A. P.","Travel","Geography and Travel","1858-1867",1,1,1865,1865,"Account of an overland journey from Peking to Shanghai, February and March 1866"
"A_12","S_6","Swinhoe, R.","Travel","Geography and Travel","1858-1867",1,1,1859,1859,"Narrative of a visit to the island of Formosa"
"A_25","S_6","Wilds, E.","Travel","Geography and Travel","1858-1867",1,1,1864,1864,"Report on the appearance of the Rugged Islands"
"A_11","S_6","Williams, S. W.","Travel","Geography and Travel","1858-1867",1,1,1859,1859,"Lecture on Japan"
"A_37","S_6","Williamson, A.","Travel","Geography and Travel","1858-1867",1,1,1866,1866,"Notes of a Journey from Peking to Chefoo via Grand Canal , Yen -chow -foo, &c"
"A_2","S_6","Wylie, A.","Travel","Geography and Travel","1858-1867",1,1,1864,1864,"Overland journey from St. Petersburg to Pekin, The"
"A_45","S_32","Mayers, W. F.","Chronology, Historical","History and Chronology","1858-1867",1,1,1867,1867,"Chinese chronological tables"
"A_11","S_30","Williams, S. W.","History","History and Chronology","1858-1867",1,1,1866,1866,"Political intercourse between China and Lewchew"
"A_34","S_18","Butcher, C. H.","History, Modern (20th century)","History and Chronology","1858-1867",1,1,1866,1866,"Retrospect of events in the north of China, 1866"
"A_17","S_18","Editorial Committee","History, Modern (20th century)","History and Chronology","1858-1867",1,1,1860,1860,"Record of occurrences, 1860"
