"node_id","node_label","node_type","first_year","last_year","article_count","subject_count","subject_l1","author_count"
"A_1","Edkins, J.","author",1858,1904,14,13,NA,NA
"A_2","Wylie, A.","author",1858,1868,5,3,NA,NA
"A_3","Macgowan, D. J.","author",1858,1886,10,10,NA,NA
"A_4","Nicolson, F. W.","author",1858,1858,1,1,NA,NA
"A_5","Foote, A. H.","author",1858,1858,1,1,NA,NA
"A_6","Shadwell, C. F. A.","author",1859,1860,2,1,NA,NA
"A_7","Syle, E. W.","author",1859,1859,1,1,NA,NA
"A_8","Ward, J.","author",1859,1859,1,1,NA,NA
"A_9","Pompe van Meedervoort, J. L. C.","author",1859,1860,2,2,NA,NA
"A_10","Fedorovitch, J.","author",1859,1859,1,1,NA,NA
"A_11","Williams, S. W.","author",1859,1874,5,3,NA,NA
"A_12","Swinhoe, R.","author",1859,1872,6,6,NA,NA
"A_13","Robertson, D. B.","author",1859,1859,1,3,NA,NA
"A_14","Bridgman, E. C.","author",1859,1859,1,2,NA,NA
"A_15","John, G.","author",1860,1860,1,1,NA,NA
"A_16","Shock, W. H.","author",1860,1860,1,1,NA,NA
"A_17","Editorial Committee","author",1860,1874,5,2,NA,NA
"A_18","Courtney, C. F. A.","author",1860,1860,1,1,NA,NA
"A_19","Lindau, R.","author",1864,1864,1,1,NA,NA
"A_20","Henderson, J.","author",1864,1864,2,2,NA,NA
"A_21","Dickson, W.","author",1864,1864,1,1,NA,NA
"A_22","Canny, J. M.","author",1864,1864,1,1,NA,NA
"A_23","Jamieson, R. A.","author",1864,1864,3,4,NA,NA
"A_24","Edwards","author",1864,1864,1,1,NA,NA
"A_25","Wilds, E.","author",1864,1864,1,1,NA,NA
"A_26","Hollingworth and Piry","author",1864,1864,1,1,NA,NA
"A_27","Gamble, W.","author",1864,1864,1,1,NA,NA
"A_28","Lamprey","author",1864,1865,2,2,NA,NA
"A_29","Kingsmill, T. W.","author",1865,1910,23,15,NA,NA
"A_30","Brown, S. R.","author",1865,1865,1,1,NA,NA
"A_31","Collins, V. D.","author",1865,1865,1,1,NA,NA
"A_32","Bastion","author",1865,1865,1,1,NA,NA
"A_33","Jarvie, R.","author",1864,1864,1,3,NA,NA
"A_34","Butcher, C. H.","author",1864,1866,2,2,NA,NA
"A_35","Stronach, W. T.","author",1864,1864,1,1,NA,NA
"A_36","Martin, W. A. P.","author",1864,1906,4,3,NA,NA
"A_37","Williamson, A.","author",1866,1867,3,6,NA,NA
"A_38","Keer, J. G.","author",1866,1866,1,2,NA,NA
"A_39","McCartee, D. B.","author",1866,1866,1,1,NA,NA
"A_40","Hollingworth, H. G.","author",1866,1866,1,1,NA,NA
"A_41","Bickmore, A. S.","author",1867,1868,2,2,NA,NA
"A_42","Gardener, C. T.","author",1867,1893,3,5,NA,NA
"A_43","Pryer, W. B.","author",1867,1867,1,1,NA,NA
"A_44","Ellias, N.","author",1867,1868,2,1,NA,NA
"A_45","Mayers, W. F.","author",1867,1878,5,5,NA,NA
"A_46","Forrest, R. J.","author",1867,1867,1,3,NA,NA
"A_47","Simon, G. E.","author",1867,1870,4,6,NA,NA
"A_48","Watters, T.","author",1867,1875,4,4,NA,NA
"A_49","The Hankow Times","author",1867,1867,1,1,NA,NA
"A_50","Jenkins, B.","author",1868,1868,1,1,NA,NA
"A_51","Preston, C. F.","author",1868,1868,1,1,NA,NA
"A_52","Markham, J.","author",1869,1870,1,1,NA,NA
"A_53","Eitel, E. J.","author",1869,1870,1,3,NA,NA
"A_54","Himly, K.","author",1869,1870,1,1,NA,NA
"A_55","Moule, G. E.","author",1869,1901,5,6,NA,NA
"A_56","Smith, F. P.","author",1869,1870,1,4,NA,NA
"A_57","North China Daily News","author",1869,1870,1,1,NA,NA
"A_58","Stent, G. C.","author",1871,1877,3,4,NA,NA
