"subject_raw","subject_raw_norm","subject_split","subject_l2","subject_l1","mapping_note","article_rows"
"","","unknown","Unknown","Unknown","Blank or unmapped subject",85
"literature and language","literature and language","literature and language","Language and languages","Literature and Language","Protected compound mapped to LCSH language term",52
"travel and general descriptions","travel and general descriptions","travel","Travel","Geography and Travel","",33
"zoology","zoology","zoology","Zoology","Natural Sciences","",33
"social customs","social customs","social customs","Manners and customs","Anthropology and Social Customs","LCSH standard form",23
"ethnology and anthropology","ethnology and anthropology","anthropology","Anthropology","Anthropology and Social Customs","",21
"ethnology and anthropology","ethnology and anthropology","ethnology","Ethnology","Anthropology and Social Customs","",21
"geology","geology","geology","Geology","Natural Sciences","",18
"meteorology","meteorology","meteorology","Meteorology","Natural Sciences","",17
"history","history","history","History","History and Chronology","",16
"botany","botany","botany","Botany","Natural Sciences","",16
"contemporary history","contemporary history","contemporary history","History, Modern (20th century)","History and Chronology","Use 20th century, not docx 21st century",15
"philosophy","philosophy","philosophy","Philosophy","Religion and Philosophy","",14
"religion","religion","religion","Religion","Religion and Philosophy","",13
"religion of China","religion of china","religion of china","China--Religion","Religion and Philosophy","ASCII form of China--Religion",10
"arts and archaeology","arts and archaeology","archaeology","Archaeology","Arts and Archaeology","",9
"hydrology","hydrology","hydrology","Hydrology","Natural Sciences","",9
"Christianity","christianity","christianity","Christianity","Religion and Philosophy","",9
"arts and archaeology","arts and archaeology","arts","Art","Arts and Archaeology","LCSH standard form",9
"geography and travels - Asia","geography and travels - asia","asia","Asia","Geography and Travel","",8
"geography","geography","geography","Geography","Geography and Travel","",8
"geography and travels - Asia","geography and travels - asia","geography","Geography","Geography and Travel","",8
"geography and travels - Asia","geography and travels - asia","travels","Travel","Geography and Travel","",8
"government, political economy and political theory","government, political economy and political theory","government","Government","Politics, Government, and Law","",8
"Buddhism","buddhism","buddhism","Buddhism","Religion and Philosophy","",8
"coinage","coinage","coinage","Numismatics","Arts and Archaeology","LCSH standard form",8
"government, political economy and political theory","government, political economy and political theory","political theory","Political science--Philosophy","Politics, Government, and Law","LCSH-style subdivision",8
"government, political economy and political theory","government, political economy and political theory","political economy","Economics","Economy, Trade, and Technology","User-reviewed category",8
"literature","literature","literature","Literature","Literature and Language","",7
"astronomy","astronomy","astronomy","Astronomy","Natural Sciences","",7
"inscriptions","inscriptions","inscriptions","Unknown","Unknown","User-reviewed as Unknown",7
"mythology","mythology","mythology","Mythology","Anthropology and Social Customs","",6
