time_window,subject_l1,subject_l2,strength,article_count,author_count,degree,betweenness
1858-1867,Anthropology and Social Customs,Anthropology,1.0,2,2,2,36.5
1858-1867,Anthropology and Social Customs,Ethnology,1.0,2,2,2,36.5
1858-1867,Anthropology and Social Customs,Manners and customs,2.5,3,3,3,85.19999999999999
1858-1867,Anthropology and Social Customs,Mythology,1.5,2,2,2,106.84047619047618
1858-1867,Arts and Archaeology,Archaeology,1.0,1,1,1,0.0
1858-1867,Arts and Archaeology,Architecture,0.5,1,1,1,0.0
1858-1867,Arts and Archaeology,Music,1.0,1,1,1,0.0
1858-1867,Arts and Archaeology,Numismatics,1.0,1,1,1,0.0
1858-1867,"Economy, Trade, and Technology",Commerce,1.499999999999999,5,4,4,71.0
1858-1867,"Economy, Trade, and Technology",Industries,1.499999999999999,5,4,4,71.0
1858-1867,"Economy, Trade, and Technology",Telecommunication,0.25,1,1,1,0.0
1858-1867,Education,Education,1.5,2,2,2,146.0
1858-1867,Geography and Travel,Travel,12.5,13,12,12,1018.6083333333331
1858-1867,History and Chronology,"Chronology, Historical",1.0,1,1,1,0.0
1858-1867,History and Chronology,History,1.5,2,1,1,0.0
1858-1867,History and Chronology,"History, Modern (20th century)",6.0,6,5,5,282.6047619047619
1858-1867,Literature and Language,Language and languages,4.333333333333333,5,5,5,743.2404761904761
1858-1867,Literature and Language,Literature,0.833333333333333,2,1,1,0.0
1858-1867,Natural Sciences,Agriculture,1.499999999999999,5,4,4,71.0
1858-1867,Natural Sciences,Astronomy,2.0,2,1,1,0.0
1858-1867,Natural Sciences,Botany,1.25,2,2,2,74.0
1858-1867,Natural Sciences,Chemistry,1.0,1,1,1,0.0
1858-1867,Natural Sciences,Geology,6.0,8,7,7,942.1595238095235
1858-1867,Natural Sciences,Hydrology,5.25,6,6,6,455.50952380952356
1858-1867,Natural Sciences,Medicine,1.0,1,1,1,0.0
1858-1867,Natural Sciences,Meteorology,9.25,10,8,8,530.2440476190475
1858-1867,Natural Sciences,Zoology,5.5,6,4,4,158.61666666666667
