L1,rank,term,tfidf_score,raw_count,document_count,document_frequency
Natural Sciences,1,river,0.7657215289405407,1339,72,0.631578947368421
Natural Sciences,2,coal,0.7571849616530925,434,26,0.22807017543859648
Natural Sciences,3,species,0.7499153698201988,1512,62,0.543859649122807
Natural Sciences,4,feet,0.5823038586716326,957,71,0.6228070175438597
Natural Sciences,5,summer,0.4942837687913675,1169,62,0.543859649122807
Natural Sciences,6,soochow,0.4862531624725227,146,9,0.07894736842105263
Natural Sciences,7,birds,0.45172557046823675,595,33,0.2894736842105263
Natural Sciences,8,miles,0.44876271654511685,652,57,0.5
Natural Sciences,9,leaves,0.4356381177355782,1345,45,0.39473684210526316
Natural Sciences,10,black,0.43310772104671325,514,60,0.5263157894736842
Natural Sciences,11,flowers,0.4243508597205102,921,21,0.18421052631578946
Natural Sciences,12,island,0.4152714582066425,716,51,0.4473684210526316
Natural Sciences,13,sea,0.4127474660338795,974,66,0.5789473684210527
Natural Sciences,14,lour,0.40987196772911744,2442,6,0.05263157894736842
Natural Sciences,15,drought,0.4091070949233277,416,12,0.10526315789473684
Natural Sciences,16,genus,0.40313188621164514,451,32,0.2807017543859649
Natural Sciences,17,limestone,0.3880729950397137,176,18,0.15789473684210525
Natural Sciences,18,linn,0.38231356706557207,1881,13,0.11403508771929824
Natural Sciences,19,specimens,0.3745236768261455,399,51,0.4473684210526316
Natural Sciences,20,shanghai,0.371386039337033,580,69,0.6052631578947368
Natural Sciences,21,white,0.36365364390073057,864,73,0.6403508771929824
Natural Sciences,22,sun,0.35394783415718756,428,53,0.4649122807017544
Natural Sciences,23,shadows,0.3494352416099053,27,5,0.043859649122807015
Natural Sciences,24,spring,0.34872980953742677,769,55,0.4824561403508772
Natural Sciences,25,plants,0.34692395813148125,1159,47,0.41228070175438597
Arts and Archaeology,1,coins,0.49746681594244135,564,16,0.25396825396825395
Arts and Archaeology,2,cash,0.4501405496059845,787,23,0.36507936507936506
Arts and Archaeology,3,art,0.41853177245244,582,41,0.6507936507936508
Arts and Archaeology,4,reverse,0.36304723096992075,560,12,0.19047619047619047
Arts and Archaeology,5,music,0.32991548801007065,464,21,0.3333333333333333
Arts and Archaeology,6,silver,0.3233732244769061,655,23,0.36507936507936506
Arts and Archaeology,7,bottles,0.31811747562688525,99,2,0.031746031746031744
Arts and Archaeology,8,copper,0.255060662458893,523,24,0.38095238095238093
Arts and Archaeology,9,mint,0.25204037823782255,320,11,0.1746031746031746
Arts and Archaeology,10,bronze,0.24145823789931953,253,29,0.4603174603174603
Arts and Archaeology,11,coin,0.23560054822453347,323,13,0.20634920634920634
Arts and Archaeology,12,coinage,0.2288374604408651,202,13,0.20634920634920634
Arts and Archaeology,13,corea,0.22356179643250737,104,4,0.06349206349206349
Arts and Archaeology,14,obverse,0.21390391706916626,384,9,0.14285714285714285
Arts and Archaeology,15,characters,0.21307736511002429,395,43,0.6825396825396826
Arts and Archaeology,16,currency,0.21245428576788242,544,12,0.19047619047619047
Arts and Archaeology,17,temple,0.21161103910507217,486,37,0.5873015873015873
Arts and Archaeology,18,stone,0.20875066832079608,461,37,0.5873015873015873
Arts and Archaeology,19,porcelain,0.19703183364556562,273,20,0.31746031746031744
Arts and Archaeology,20,king,0.19611970472936718,499,35,0.5555555555555556
Arts and Archaeology,21,value,0.18905314459494796,425,36,0.5714285714285714
Arts and Archaeology,22,issued,0.17688053218901412,269,20,0.31746031746031744
Arts and Archaeology,23,ing,0.1746452088780209,330,30,0.47619047619047616
Arts and Archaeology,24,greek,0.1697654018395387,130,12,0.19047619047619047
Arts and Archaeology,25,city,0.1670697489095986,366,35,0.5555555555555556
Anthropology and Social Customs,1,king,0.5128457069761657,841,54,0.6136363636363636
Anthropology and Social Customs,2,char,0.3995414370875741,38,3,0.03409090909090909
Anthropology and Social Customs,3,game,0.39845760011973796,315,14,0.1590909090909091
Anthropology and Social Customs,4,tungus,0.353164427644964,573,7,0.07954545454545454
Anthropology and Social Customs,5,family,0.32648924885921354,740,63,0.7159090909090909
Anthropology and Social Customs,6,son,0.32427515768482323,691,50,0.5681818181818182
Anthropology and Social Customs,7,tai,0.3183264771570454,297,24,0.2727272727272727
Anthropology and Social Customs,8,black,0.3075264951528974,488,50,0.5681818181818182
Anthropology and Social Customs,9,white,0.26991326268755006,486,50,0.5681818181818182
Anthropology and Social Customs,10,emperor,0.25753792756443733,631,53,0.6022727272727273
Anthropology and Social Customs,11,board,0.25553721710654315,217,27,0.3068181818181818
Anthropology and Social Customs,12,rice,0.25172914941552926,507,37,0.42045454545454547
Anthropology and Social Customs,13,river,0.2430793919267328,767,62,0.7045454545454546
