rank,term,tfidf_score,raw_count,document_count,document_frequency
1,north_china,0.45423342291933266,643,126,0.22992700729927007
2,yellow_river,0.42178483923081267,435,99,0.18065693430656934
3,ming_dynasty,0.36267416167373334,366,138,0.2518248175182482
4,han_dynasty,0.3585034772683697,362,136,0.24817518248175183
5,length_breadth,0.3442851087292472,315,22,0.040145985401459854
6,sung_dynasty,0.34257157681996697,398,118,0.21532846715328466
7,royal_asiatic,0.3300331766163109,139,59,0.10766423357664233
8,marco_polo,0.31981654555061606,347,76,0.1386861313868613
9,heaven_earth,0.29768593882329875,254,96,0.17518248175182483
10,son_king,0.29768543569633765,113,15,0.02737226277372263
11,lao_tzu,0.28741338819657386,193,26,0.04744525547445255
12,chinese_history,0.28320033253052834,224,104,0.1897810218978102
13,meteorological_observations,0.28080865123060594,27,9,0.016423357664233577
14,land_tax,0.27986584265078635,243,22,0.040145985401459854
15,ang_dynasty,0.26975447810897557,219,87,0.15875912408759124
16,yuan_shih,0.2604657386888402,83,20,0.0364963503649635
17,far_east,0.25898233578145924,178,75,0.13686131386861314
18,left_bank,0.25786163828585384,258,44,0.08029197080291971
19,china_japan,0.2569142674997432,236,62,0.11313868613138686
20,china_branch,0.2565370757037264,107,49,0.08941605839416059
21,united_states,0.25375636404635815,186,65,0.11861313868613138
22,eldest_son,0.24929860432514633,114,31,0.05656934306569343
23,chinese_art,0.24792907408228973,121,32,0.058394160583941604
24,ancient_chinese,0.24474722511098823,322,67,0.12226277372262774
25,feet_high,0.24063004027573673,321,97,0.177007299270073
26,branch_royal,0.24039450165557247,92,42,0.07664233576642336
27,filial_piety,0.2398559285174324,236,65,0.11861313868613138
28,north_west,0.23581793813286475,288,127,0.23175182481751824
29,china_branch_royal,0.2330583697899653,87,41,0.07481751824817519
30,branch_royal_asiatic,0.23276338985022532,91,41,0.07481751824817519
31,north_manchuria,0.22939019079807554,151,5,0.009124087591240875
32,sun_rays,0.2286469791384254,37,18,0.032846715328467155
33,grand_canal,0.22861008511146202,192,51,0.09306569343065693
34,right_bank,0.22170960283878632,211,34,0.06204379562043796
35,central_asia,0.21993043565948983,211,77,0.14051094890510948
36,nien_hao,0.2108095211609096,48,9,0.016423357664233577
37,weights_measures,0.20859634054242646,39,16,0.029197080291970802
38,shanghai_museum,0.20745355259624598,57,19,0.03467153284671533
39,wang_shih,0.20731964008854703,90,11,0.020072992700729927
40,shih_huang,0.20710788135836286,91,36,0.06569343065693431
41,chinese_plants,0.20578171777502471,311,13,0.023722627737226276
42,spring_summer,0.20433794428072888,188,25,0.04562043795620438
43,eastern_asia,0.2042781513053065,492,50,0.09124087591240876
44,took_place,0.20274274541168893,266,145,0.2645985401459854
45,east_west,0.19591078902009737,236,122,0.22262773722627738
46,north_south,0.1944234117230009,185,104,0.1897810218978102
47,chinese_characters,0.19371338829020862,174,77,0.14051094890510948
48,professor_giles,0.19356594350440862,39,8,0.014598540145985401
49,chinese_law,0.19316487247985195,168,15,0.02737226277372263
50,south_china,0.19307220525028637,187,63,0.11496350364963503
51,lat_long,0.1921476118531117,116,29,0.05291970802919708
52,point_view,0.18783896658188992,169,100,0.18248175182481752
53,south_west,0.18714344626692783,232,109,0.1989051094890511
54,retrospect_events,0.1871288436219795,93,10,0.01824817518248175
55,south_east,0.1854409520919593,244,106,0.19343065693430658
56,chuang_tzu,0.1847528790641506,70,19,0.03467153284671533
57,sun_moon,0.18244582525235423,153,83,0.15145985401459855
58,right_left,0.17737183854884073,162,71,0.12956204379562045
59,north_east,0.1761746752539753,253,96,0.17518248175182483
60,son_heaven,0.1754159158128214,160,49,0.08941605839416059
61,chih_yuan,0.17400387637201228,26,11,0.020072992700729927
62,modern_chinese,0.1728779642797088,130,53,0.09671532846715329
63,chou_dynasty,0.17237343282466436,135,62,0.11313868613138686
64,tang_dynasty,0.17215478884942376,178,85,0.1551094890510949
65,folk_lore,0.16940399792361852,101,22,0.040145985401459854
66,chow_dynasty,0.1689206698503587,117,52,0.0948905109489051
67,yuan_dynasty,0.16830690171701837,105,49,0.08941605839416059
68,ien_lung,0.1681144134975053,123,44,0.08029197080291971
69,second_son,0.1656496936803024,55,25,0.04562043795620438
70,chinese_literature,0.16331187631943803,142,81,0.1478102189781022
71,china_cochin,0.1601496522619649,713,7,0.012773722627737226
72,chinese_government,0.15998833924367256,149,67,0.12226277372262774
73,new_species,0.15777506195897828,113,26,0.04744525547445255
74,sap_ques,0.15643412877780355,63,5,0.009124087591240875
75,events_china,0.15593042588408035,74,10,0.01824817518248175
76,bank_river,0.15557708533996673,128,50,0.09124087591240876
77,wen_wang,0.1553313461866581,77,40,0.072992700729927
78,retrospect_events_china,0.15470663596223744,72,8,0.014598540145985401
79,shan_tung,0.1530201914839412,123,29,0.05291970802919708
80,chien_lung,0.15167401828368368,50,18,0.032846715328467155
81,yang_ming,0.15083959697793314,90,5,0.009124087591240875
82,summer_autumn,0.14989404182883817,124,20,0.0364963503649635
83,tien_tsin,0.14925640240773153,66,13,0.023722627737226276
84,ssuch_uan,0.14866149858085562,93,12,0.021897810218978103
85,hang_chow,0.14781822957475388,109,20,0.0364963503649635
86,chinese_language,0.1475854259406487,126,73,0.1332116788321168
87,north_china_branch,0.1457092254516813,66,29,0.05291970802919708
88,taken_place,0.14540706973509013,138,105,0.19160583941605838
89,wang_chung,0.14425361460512087,61,6,0.010948905109489052
90,old_chinese,0.14280467541149802,74,49,0.08941605839416059
91,manchu_chinese,0.14213543704647816,121,16,0.029197080291970802
92,west_china,0.14128827220874743,97,61,0.11131386861313869
93,tong_king,0.1377770092296998,283,9,0.016423357664233577
94,mrs_ayscough,0.13636649435107473,39,7,0.012773722627737226
95,ninth_month,0.13522096053118393,39,10,0.01824817518248175
96,ssu_uan,0.13482613087051307,83,21,0.03832116788321168
97,ang_hsi,0.13434229931648353,93,40,0.072992700729927
98,chu_hsi,0.13280750998291246,84,24,0.043795620437956206
99,study_chinese,0.13254100462661636,100,47,0.08576642335766424
100,left_hand,0.1324455499246204,113,56,0.10218978102189781
