time_window,subject_l1,weighted_article_count,article_count,subject_l2_count,author_count,share
1858-1867,Anthropology and Social Customs,6.0,7,4,7,0.07228915662650602
1858-1867,Arts and Archaeology,3.5,4,4,4,0.04216867469879518
1858-1867,"Economy, Trade, and Technology",3.249999999999998,5,3,4,0.03915662650602407
1858-1867,Education,1.5,2,1,2,0.018072289156626505
1858-1867,Geography and Travel,12.5,13,1,12,0.15060240963855423
1858-1867,History and Chronology,8.5,9,3,6,0.10240963855421686
1858-1867,Literature and Language,5.166666666666666,6,2,5,0.06224899598393573
1858-1867,Natural Sciences,32.75,37,9,27,0.39457831325301207
1858-1867,"Politics, Government, and Law",2.0,2,1,2,0.024096385542168676
1858-1867,Religion and Philosophy,7.833333333333333,9,5,7,0.09437751004016064
1868-1877,Anthropology and Social Customs,8.5,10,4,9,0.13492063492063494
1868-1877,Arts and Archaeology,4.333333333333333,5,2,5,0.06878306878306878
1868-1877,"Economy, Trade, and Technology",3.166666666666666,4,3,2,0.05026455026455026
1868-1877,Education,1.0,1,1,1,0.015873015873015876
1868-1877,Geography and Travel,7.083333333333333,10,3,9,0.11243386243386244
1868-1877,History and Chronology,14.75,16,3,11,0.23412698412698416
1868-1877,Literature and Language,6.166666666666666,7,2,6,0.09788359788359789
1868-1877,Military,1.0,1,1,1,0.015873015873015876
1868-1877,Natural Sciences,13.166666666666664,16,8,12,0.20899470899470898
1868-1877,Religion and Philosophy,3.833333333333333,5,3,5,0.06084656084656085
1878-1887,Anthropology and Social Customs,6.166666666666666,7,4,4,0.07520325203252033
1878-1887,Arts and Archaeology,3.25,4,2,4,0.03963414634146342
1878-1887,"Economy, Trade, and Technology",5.4999999999999964,9,4,6,0.06707317073170728
1878-1887,Education,0.333333333333333,1,1,1,0.0040650406504065
1878-1887,Geography and Travel,15.33333333333333,16,3,11,0.18699186991869918
1878-1887,History and Chronology,6.5,7,3,5,0.07926829268292684
1878-1887,Literature and Language,18.833333333333332,20,2,12,0.2296747967479675
1878-1887,Military,1.0,1,1,1,0.012195121951219514
1878-1887,Natural Sciences,17.249999999999996,20,7,13,0.21036585365853658
1878-1887,"Politics, Government, and Law",3.499999999999998,5,3,3,0.042682926829268275
1878-1887,Religion and Philosophy,4.333333333333333,5,4,5,0.052845528455284556
1888-1897,Anthropology and Social Customs,6.5,8,3,6,0.13541666666666669
1888-1897,Arts and Archaeology,5.083333333333333,8,2,7,0.10590277777777779
1888-1897,"Economy, Trade, and Technology",5.166666666666665,10,4,6,0.10763888888888887
1888-1897,Geography and Travel,2.333333333333333,3,2,2,0.04861111111111111
1888-1897,History and Chronology,5.616666666666665,11,1,9,0.11701388888888888
1888-1897,Literature and Language,7.566666666666665,11,2,8,0.15763888888888888
1888-1897,Natural Sciences,7.283333333333333,10,5,7,0.15173611111111113
1888-1897,"Politics, Government, and Law",3.749999999999997,8,4,5,0.07812499999999994
1888-1897,Religion and Philosophy,4.7,6,5,6,0.09791666666666668
1898-1907,Anthropology and Social Customs,9.833333333333332,11,4,7,0.26576576576576577
1898-1907,Arts and Archaeology,4.0,5,4,5,0.10810810810810813
1898-1907,"Economy, Trade, and Technology",4.333333333333332,8,3,7,0.11711711711711711
1898-1907,Geography and Travel,2.916666666666666,5,2,4,0.07882882882882883
1898-1907,History and Chronology,4.0,4,2,4,0.10810810810810813
1898-1907,Natural Sciences,3.583333333333333,6,4,5,0.09684684684684686
1898-1907,"Politics, Government, and Law",3.333333333333332,5,3,5,0.09009009009009007
1898-1907,Religion and Philosophy,5.0,6,4,6,0.13513513513513517
1908-1917,Anthropology and Social Customs,6.5,7,4,5,0.08904109589041095
1908-1917,Arts and Archaeology,22.083333333333332,24,9,12,0.3025114155251141
1908-1917,Geography and Travel,3.25,5,1,4,0.04452054794520548
1908-1917,History and Chronology,5.833333333333333,8,3,8,0.07990867579908675
1908-1917,Literature and Language,7.5,8,2,7,0.10273972602739725
1908-1917,Natural Sciences,12.0,13,6,10,0.1643835616438356
1908-1917,"Politics, Government, and Law",2.0,2,1,2,0.0273972602739726
1908-1917,Religion and Philosophy,13.833333333333332,16,6,10,0.18949771689497716
1918-1927,Anthropology and Social Customs,18.166666666666664,22,5,20,0.14533333333333334
1918-1927,Arts and Archaeology,7.333333333333333,9,4,6,0.05866666666666667
1918-1927,"Economy, Trade, and Technology",0.75,2,3,2,0.006000000000000001
1918-1927,Geography and Travel,12.083333333333329,15,3,13,0.09666666666666664
1918-1927,History and Chronology,7.833333333333333,12,4,10,0.06266666666666668
1918-1927,Literature and Language,20.5,21,3,13,0.164
1918-1927,Natural Sciences,30.499999999999996,31,6,19,0.244
1918-1927,"Politics, Government, and Law",1.5,2,3,2,0.012000000000000002
1918-1927,Religion and Philosophy,26.333333333333332,28,7,20,0.21066666666666667
1928-1932,Anthropology and Social Customs,3.5,4,4,4,0.0660377358490566
1928-1932,Arts and Archaeology,3.5,4,3,4,0.0660377358490566
1928-1932,"Economy, Trade, and Technology",1.0,1,1,1,0.018867924528301886
1928-1932,Education,0.5,1,1,1,0.009433962264150943
1928-1932,Geography and Travel,5.749999999999996,7,3,7,0.10849056603773577
1928-1932,History and Chronology,6.25,9,4,9,0.1179245283018868
1928-1932,Literature and Language,8.5,9,2,9,0.16037735849056603
1928-1932,Natural Sciences,11.0,11,6,8,0.20754716981132076
1928-1932,"Politics, Government, and Law",2.0,2,2,2,0.03773584905660377
1928-1932,Religion and Philosophy,11.0,12,4,11,0.20754716981132076
