time_window,subject_l1,subject_l2,weighted_article_count,article_count,author_count,share
1858-1867,Anthropology and Social Customs,Anthropology,1.0,2,2,0.012048192771084338
1858-1867,Anthropology and Social Customs,Ethnology,1.0,2,2,0.012048192771084338
1858-1867,Anthropology and Social Customs,Manners and customs,2.5,3,3,0.030120481927710843
1858-1867,Anthropology and Social Customs,Mythology,1.5,2,2,0.018072289156626505
1858-1867,Arts and Archaeology,Archaeology,1.0,1,1,0.012048192771084338
1858-1867,Arts and Archaeology,Architecture,0.5,1,1,0.006024096385542169
1858-1867,Arts and Archaeology,Music,1.0,1,1,0.012048192771084338
1858-1867,Arts and Archaeology,Numismatics,1.0,1,1,0.012048192771084338
1858-1867,"Economy, Trade, and Technology",Commerce,1.499999999999999,5,4,0.01807228915662649
1858-1867,"Economy, Trade, and Technology",Industries,1.499999999999999,5,4,0.01807228915662649
1858-1867,"Economy, Trade, and Technology",Telecommunication,0.25,1,1,0.0030120481927710845
1858-1867,Education,Education,1.5,2,2,0.018072289156626505
1858-1867,Geography and Travel,Travel,12.5,13,12,0.15060240963855423
1858-1867,History and Chronology,"Chronology, Historical",1.0,1,1,0.012048192771084338
1858-1867,History and Chronology,History,1.5,2,1,0.018072289156626505
1858-1867,History and Chronology,"History, Modern (20th century)",6.0,6,5,0.07228915662650602
1858-1867,Literature and Language,Language and languages,4.333333333333333,5,5,0.05220883534136546
1858-1867,Literature and Language,Literature,0.833333333333333,2,1,0.010040160642570278
1858-1867,Natural Sciences,Agriculture,1.499999999999999,5,4,0.01807228915662649
1858-1867,Natural Sciences,Astronomy,2.0,2,1,0.024096385542168676
1858-1867,Natural Sciences,Botany,1.25,2,2,0.015060240963855422
1858-1867,Natural Sciences,Chemistry,1.0,1,1,0.012048192771084338
1858-1867,Natural Sciences,Geology,6.0,8,7,0.07228915662650602
1858-1867,Natural Sciences,Hydrology,5.25,6,6,0.06325301204819277
1858-1867,Natural Sciences,Medicine,1.0,1,1,0.012048192771084338
1858-1867,Natural Sciences,Meteorology,9.25,10,8,0.11144578313253012
1858-1867,Natural Sciences,Zoology,5.5,6,4,0.06626506024096386
1858-1867,"Politics, Government, and Law",Law,2.0,2,2,0.024096385542168676
1858-1867,Religion and Philosophy,Buddhism,1.5,2,2,0.018072289156626505
1858-1867,Religion and Philosophy,Christianity,2.333333333333333,3,3,0.028112449799196783
1858-1867,Religion and Philosophy,Confucianism,1.0,1,1,0.012048192771084338
1858-1867,Religion and Philosophy,Judaism,1.0,1,1,0.012048192771084338
1858-1867,Religion and Philosophy,Philosophy,2.0,2,2,0.024096385542168676
1868-1877,Anthropology and Social Customs,Anthropology,2.25,6,5,0.03571428571428571
1868-1877,Anthropology and Social Customs,Ethnology,2.25,6,5,0.03571428571428571
1868-1877,Anthropology and Social Customs,Manners and customs,3.0,3,3,0.047619047619047616
1868-1877,Anthropology and Social Customs,Mythology,1.0,1,1,0.015873015873015872
1868-1877,Arts and Archaeology,Archaeology,2.0,2,2,0.031746031746031744
1868-1877,Arts and Archaeology,Music,2.333333333333333,3,3,0.037037037037037035
1868-1877,"Economy, Trade, and Technology",Commerce,0.583333333333333,2,1,0.009259259259259255
1868-1877,"Economy, Trade, and Technology",Economics,2.0,2,1,0.031746031746031744
1868-1877,"Economy, Trade, and Technology",Industries,0.583333333333333,2,1,0.009259259259259255
1868-1877,Education,Education,1.0,1,1,0.015873015873015872
1868-1877,Geography and Travel,Geography,1.583333333333333,3,3,0.025132275132275127
1868-1877,Geography and Travel,Navigation,0.5,1,1,0.007936507936507936
1868-1877,Geography and Travel,Travel,5.0,6,6,0.07936507936507936
1868-1877,History and Chronology,Biography,2.0,2,2,0.031746031746031744
1868-1877,History and Chronology,History,4.75,6,6,0.07539682539682539
1868-1877,History and Chronology,"History, Modern (20th century)",8.0,8,5,0.12698412698412698
1868-1877,Literature and Language,Language and languages,5.583333333333333,7,6,0.08862433862433862
1868-1877,Literature and Language,Literature,0.583333333333333,2,2,0.009259259259259255
1868-1877,Military,Military art and science,1.0,1,1,0.015873015873015872
1868-1877,Natural Sciences,Agriculture,0.583333333333333,2,1,0.009259259259259255
1868-1877,Natural Sciences,Botany,0.333333333333333,1,1,0.0052910052910052855
1868-1877,Natural Sciences,Chemistry,0.25,1,1,0.003968253968253968
1868-1877,Natural Sciences,Geology,3.083333333333333,5,4,0.04894179894179894
1868-1877,Natural Sciences,Hydrology,1.333333333333333,2,2,0.02116402116402116
1868-1877,Natural Sciences,Medicine,2.0,2,1,0.031746031746031744
1868-1877,Natural Sciences,Meteorology,3.5,4,3,0.05555555555555555
1868-1877,Natural Sciences,Zoology,2.083333333333333,4,4,0.03306878306878307
1868-1877,Religion and Philosophy,Buddhism,1.333333333333333,2,2,0.02116402116402116
1868-1877,Religion and Philosophy,Confucianism,0.5,1,1,0.007936507936507936
1868-1877,Religion and Philosophy,Religion,2.0,2,2,0.031746031746031744
1878-1887,Anthropology and Social Customs,Anthropology,0.333333333333333,1,1,0.0040650406504065
1878-1887,Anthropology and Social Customs,Ethnology,0.333333333333333,1,1,0.0040650406504065
1878-1887,Anthropology and Social Customs,Manners and customs,4.5,5,3,0.05487804878048781
1878-1887,Anthropology and Social Customs,Mythology,1.0,1,0,0.012195121951219514
1878-1887,Arts and Archaeology,Numismatics,3.0,3,3,0.03658536585365854
1878-1887,Arts and Archaeology,Porcelain,0.25,1,1,0.0030487804878048786
1878-1887,"Economy, Trade, and Technology",Commerce,1.249999999999999,4,3,0.01524390243902438
1878-1887,"Economy, Trade, and Technology",Economics,1.9999999999999991,4,3,0.02439024390243902
1878-1887,"Economy, Trade, and Technology",Industries,1.249999999999999,4,3,0.01524390243902438
1878-1887,"Economy, Trade, and Technology",Telecommunication,1.0,1,1,0.012195121951219514
1878-1887,Education,Education,0.333333333333333,1,1,0.0040650406504065
1878-1887,Geography and Travel,Geography,5.999999999999999,8,5,0.07317073170731707
1878-1887,Geography and Travel,Navigation,0.666666666666666,2,1,0.008130081300813
1878-1887,Geography and Travel,Travel,8.666666666666666,10,7,0.10569105691056911
1878-1887,History and Chronology,Biography,1.0,1,1,0.012195121951219514
1878-1887,History and Chronology,"Chronology, Historical",2.0,2,2,0.02439024390243903
1878-1887,History and Chronology,History,3.5,4,3,0.0426829268292683
1878-1887,Literature and Language,Language and languages,17.666666666666664,19,12,0.21544715447154472
1878-1887,Literature and Language,Literature,1.166666666666666,3,2,0.01422764227642276
1878-1887,Military,Military art and science,1.0,1,1,0.012195121951219514
1878-1887,Natural Sciences,Agriculture,1.249999999999999,4,3,0.01524390243902438
1878-1887,Natural Sciences,Astronomy,1.0,1,1,0.012195121951219514
1878-1887,Natural Sciences,Botany,3.333333333333333,4,3,0.04065040650406505
1878-1887,Natural Sciences,Geology,5.333333333333333,6,4,0.06504065040650407
1878-1887,Natural Sciences,Hydrology,1.0,1,1,0.012195121951219514
1878-1887,Natural Sciences,Meteorology,4.0,4,4,0.04878048780487806
1878-1887,Natural Sciences,Zoology,1.333333333333333,2,2,0.016260162601626015
1878-1887,"Politics, Government, and Law",Government,0.9999999999999989,3,2,0.0121951219512195
1878-1887,"Politics, Government, and Law",Law,1.5,2,1,0.01829268292682927
1878-1887,"Politics, Government, and Law",Political science--Philosophy,0.9999999999999989,3,2,0.0121951219512195
1878-1887,Religion and Philosophy,Buddhism,1.0,1,1,0.012195121951219514
1878-1887,Religion and Philosophy,Confucianism,1.0,1,1,0.012195121951219514
1878-1887,Religion and Philosophy,Philosophy,1.0,1,1,0.012195121951219514
1878-1887,Religion and Philosophy,Religion,1.333333333333333,2,2,0.016260162601626015
1888-1897,Anthropology and Social Customs,Anthropology,1.75,4,3,0.036458333333333336
1888-1897,Anthropology and Social Customs,Ethnology,1.75,4,3,0.036458333333333336
1888-1897,Anthropology and Social Customs,Manners and customs,3.0,4,3,0.06250000000000001
1888-1897,Arts and Archaeology,Architecture,2.5,3,3,0.05208333333333334
